q,r,grid,mass,ticks,active
100,636,4833907245367200,335695542329840,1813190185311120,1
256,636,15468503185175040,1019574818220812,2359200807210996,1
294,636,6767470143514080,499314334584190,4386922504747650,1
338,636,12568158837954720,899227568428326,6378701459165658,1
372,636,29970224921276640,2033917399317392,8255896471889136,1
384,636,7734251592587520,535657581763574,2809421280755082,1
100,635,11583136229464800,815599325672864,5050212599531232,1
306,635,2316627245892960,162731184017574,985555609535322,1
100,634,28912237675120800,2162095937158714,20563093340515782,1
100,633,19244423184386400,1368677345949316,9248980057261308,1
100,632,7205257969509600,519055891801894,3879489305480922,1
256,632,23056825502430720,1536487862523766,4571433329274378,1
282,632,67729424913390240,4930223108397758,39686356175497794,1
294,632,10087361157313440,766571048311778,7944531414388254,1
306,632,1441051593901920,102248037760080,677420003277360,1
320,632,5764206375607680,427786063579134,3893696503054722,1
332,632,119607282293859360,8475848210608440,55549308092894280,1
366,632,87904147228017120,6456410015636718,55137242073044754,1
416,632,2882103187803840,206274435457110,1466876682582570,1
512,632,46113651004861440,3188535733656514,16423147200914622,1
100,631,57550857958994400,4019000179509722,22993579473134886,1
256,631,184162745468782080,12353018652042994,41589193203580302,1
294,631,80571201142592160,5891225008036634,48862370935939302,1
100,630,91205797082400,6482770550192,43591356332496,1
220,630,18241159416480,1304895793732,9243797339196,1
256,630,291858550663680,19832181580458,81993236914134,1
294,630,127688115915360,9313200509578,75979168441974,1
320,630,72964637665920,5359952421510,45818451891450,1
332,630,1514016231567840,107205441024750,697877858287890,1
366,630,1112710724405280,77420813313010,426668341098510,1
372,630,565475941910880,40601614295438,295997932969074,1
384,630,145929275331840,10492855947570,77332823369550,1
416,630,36482318832960,2604710993944,18167517286632,1
440,630,18241159416480,1285246261944,8005876836552,1
520,630,18241159416480,1329636129658,10802438502534,1
567,630,164170434748320,11714332584458,81321213827574,1
100,629,3374614492048800,236880650342412,1425023003376756,1
256,629,10798766374556160,733806075947694,3034717286480082,1
294,629,4724460288868320,357548430213888,3627709948001664,1
320,629,2699691593639040,200240880092614,1816409071278522,1
366,629,41170296802995360,2979455992008526,23024540284555698,1
416,629,1349845796819520,96229490140190,663074691553890,1
520,629,674922898409760,49086184477556,392738028446988,1
100,628,14319310141936800,1003213987167314,5925240623793582,1
220,628,2863862028387360,200556481061856,1179610193347488,1
294,628,20047034198711520,1466556289473202,12204909441965646,1
306,628,2863862028387360,199680374396070,1124415473402970,1
338,628,37230206369035680,2606621006402192,15296297927195376,1
100,627,91205797082400,6687275640222,56475177004386,1
100,626,28547414486791200,1892832091761568,5058763833813984,1
220,626,5709482897358240,386254350798216,1496092510854648,1
250,626,142737072433956000,9925175366315068,54337758342025284,1
256,626,91351726357731840,5824766981234128,1553414386822704,1
271,626,1547269865184083040,105067170321842988,430152269539776084,1
282,626,268345696175837280,18388990105568434,85123591947462222,1
294,626,39966380281507680,2824710673101788,18091251279381924,1
306,626,5709482897358240,383680349669308,1333930439733444,1
320,626,22837931589432960,1598866196215578,9376844003849574,1
346,626,987740541242975520,68794556151592430,383094872578421010,1
366,626,348278456738852640,23600496833065264,93717473527701072,1
372,626,176993969818105440,11867253413220304,39661085760457392,1
