mask_hex,rank,joint,active_rows,equality_rows,failure_pair_signature
0038940c,8,0,385,0,7
0080728a,8,0,387,0,7
22506180,8,0,376,0,4
11003981,8,0,317,0,0
34128a00,8,0,365,0,4
0804c21a,8,0,1,0,0
08984038,8,0,243,0,0
00224a85,8,0,33,0,0
35900810,8,0,370,0,4
005c410a,8,0,83,0,0
08021247,8,0,20,0,0
0a1402c8,8,0,4,0,0
0a6810c0,8,0,355,0,6
340120c4,8,0,242,0,0
08914602,8,0,192,0,0
01129211,8,0,377,0,6
281a0070,8,0,185,0,0
34508300,8,0,350,0,0
0244c80c,8,0,129,0,0
00e04245,8,0,18,0,0
1100511c,8,0,56,0,0
25089048,8,0,382,0,7
00389806,8,0,263,0,4
0c432401,8,0,376,0,1
11300c09,8,0,391,0,7
02c43108,8,0,163,0,0
13285100,8,0,391,0,7
14100233,8,0,13,0,0
11a18220,8,0,2,0,0
040c2161,8,0,89,0,0
30c14300,8,0,342,0,5
30203310,8,0,187,0,0
100429a2,8,0,1,0,0
0688a009,8,0,390,0,6
061a2041,8,0,345,0,0
28700406,8,0,18,0,0
21509401,8,0,391,0,7
05520860,8,0,234,0,0
2204c0a2,8,0,48,0,0
20192103,8,0,286,0,0
2e018802,8,0,248,0,0
2088b280,8,0,385,0,6
049a00a2,8,0,198,0,0
00822685,8,0,301,0,0
05145018,8,0,391,0,7
0c1cc020,8,0,369,0,0
11045809,8,0,391,0,7
000662c8,8,0,232,0,0
10451700,8,0,127,0,0
03654100,8,0,273,0,0
0b20a208,8,0,366,0,2
05850422,8,0,194,0,0
21202c60,8,0,26,0,0
13840144,8,0,114,0,0
26108061,8,0,307,0,4
061c8014,8,0,359,0,4
02489a10,8,0,12,0,0
04468182,8,0,8,0,0
03044681,8,0,383,0,6
17300005,8,0,391,0,7
0a260141,8,0,99,0,0
0a4020b8,8,0,34,0,0
20406868,8,0,8,0,0
02515810,8,0,157,0,0
050420b2,8,0,278,0,0
2b088c00,8,0,391,0,7
0068211a,8,0,10,0,0
02305884,8,0,387,0,6
020c28c8,8,0,149,0,0
20414036,8,0,9,0,0
12029205,8,0,123,0,0
09103203,8,0,387,0,7
02076220,8,0,33,0,0
02c40d80,8,0,89,0,0
019d0030,8,0,7,0,0
24448805,8,0,256,0,0
25a20088,8,0,341,0,4
31182140,8,0,379,0,3
0842106c,8,0,11,0,0
29102c20,8,0,335,0,3
042aa820,8,0,103,0,0
2101b081,8,0,381,0,6
08027821,8,0,276,0,0
2408a418,8,0,390,0,7
19501012,8,0,336,0,1
16e02100,8,0,376,0,4
0a284054,8,0,67,0,0
000e2816,8,0,116,0,0
009920a1,8,0,145,0,0
00241896,8,0,47,0,0
300bc200,8,0,202,0,0
000cb211,8,0,270,0,0
20463005,8,0,331,0,0
