q,r,grid,cells,pair_ticks,classes
100,636,4833907245367200,8581,3551293150396992,2498
256,636,15468503185175040,8893,11364459473126760,2463
294,636,6767470143514080,8969,4972018880949120,2547
338,636,12568158837954720,9053,9233735032312560,2522
372,636,29970224921276640,9101,22014473535774720,2503
384,636,7734251592587520,9149,5681469688254360,2491
100,635,11583136229464800,8593,8510152337767080,2457
306,635,2316627245892960,8929,1702010880874304,2436
100,634,28912237675120800,8597,21241830140490960,2484
100,633,19244423184386400,8597,14138809526377536,2488
100,632,7205257969509600,8581,5293323874670832,2479
256,632,23056825502430720,8893,16938219458160000,2454
282,632,67729424913390240,8933,49760362791539400,2453
294,632,10087361157313440,8969,7411122482924160,2545
306,632,1441051593901920,8917,1058732391556840,2472
320,632,5764206375607680,9021,4235076040523328,2509
332,632,119607282293859360,9037,87874179608975760,2470
366,632,87904147228017120,9101,64582607757387720,2489
416,632,2882103187803840,9213,2117578110721920,2508
512,632,46113651004861440,9405,33880347736194960,2539
100,631,57550857958994400,8593,42282356057421480,2479
256,631,184162745468782080,8905,135303311369256030,2461
294,631,80571201142592160,8981,59195168186394240,2541
100,630,91205797082400,8509,67008340713600,2479
220,630,18241159416480,8709,13401668142720,2488
256,630,291858550663680,8821,214426690283520,2464
294,630,127688115915360,8897,93811676999040,2534
320,630,72964637665920,8949,53606672570880,2519
332,630,1514016231567840,8965,1112338455845760,2472
366,630,1112710724405280,9029,817501756705920,2492
372,630,565475941910880,9029,415451712424320,2505
384,630,145929275331840,9077,107213345141760,2489
416,630,36482318832960,9141,26803336285440,2513
440,630,18241159416480,9109,13401668142720,2564
520,630,18241159416480,9269,13401668142720,2473
567,630,164170434748320,9443,120912828132096,2582
100,629,3374614492048800,8557,2479303131865560,2467
256,629,10798766374556160,8869,7933783434587010,2450
294,629,4724460288868320,8945,3471032048964480,2534
320,629,2699691593639040,8997,1983448253756970,2507
366,629,41170296802995360,9077,30247546749660240,2486
416,629,1349845796819520,9189,991723758399990,2514
520,629,674922898409760,9317,495861510721500,2481
100,628,14319310141936800,8581,10519416047492352,2481
220,628,2863862028387360,8789,2104034824329984,2493
294,628,20047034198711520,8977,14728433288849280,2541
306,628,2863862028387360,8925,2104060681843120,2456
338,628,37230206369035680,9061,27352818997313040,2522
100,627,91205797082400,8529,67008103221696,2486
100,626,28547414486791200,8581,20973424509077040,2487
220,626,5709482897358240,8781,4194708591632832,2492
250,626,142737072433956000,8861,104867904309360192,2454
256,626,91351726357731840,8893,67115740193021520,2457
271,626,1547269865184083040,8921,1136768207795700480,2471
282,626,268345696175837280,8933,197152188226593600,2448
294,626,39966380281507680,8969,29363054900699520,2542
306,626,5709482897358240,8917,4194717262415680,2460
320,626,22837931589432960,9021,16778935048255380,2521
346,626,987740541242975520,9069,725690650945740480,2483
366,626,348278456738852640,9101,255878298027992640,2489
372,626,176993969818105440,9101,130036882346891520,2490
384,626,45675863178865920,9149,33557652939851040,2485
410,626,234088798791687840,9181,171982862738406720,2493
412,626,588076738427898720,9197,432054890178912000,2502
433,626,2472206094556117920,9245,1816315240117538160,2536
444,626,211250867202254880,9245,155204470581800640,2510
445,626,508143977864883360,9261,373330604493454608,2521
506,626,131318106639239520,9389,96478676644633920,2538
512,626,182703452715463680,9405,134231480386043040,2532
520,626,5709482897358240,9341,4194714969660600,2484
538,626,1535850899389366560,9453,1128382486223952960,2559
542,626,1547269865184083040,9461,1136773419555533760,2556
100,625,2280144927060000,8573,1671020496545400,2448
210,625,2280144927060000,8793,1675208517840000,2511
220,625,2280144927060000,8773,1675166214594600,2484
256,625,36482318832960000,8885,26803299058584048,2461
265,625,120847681134180000,8893,88787540519758080,2490
294,625,15961014489420000,8961,11726459624880000,2531
320,625,9120579708240000,9013,6700857338144970,2527
366,625,139088840550660000,9093,102187669952432064,2484
384,625,18241159416480000,9141,13401660387125010,2495
530,625,120847681134180000,9413,88786237579799760,2516
100,624,91205797082400,8549,67004522574528,2460
210,624,18241159416480,8769,13401668142720,2502
256,624,291858550663680,8861,214350327502080,2440
260,624,18241159416480,8829,13376850238752,2422
282,624,857334492574560,8901,629896300234740,2439
320,624,72964637665920,8989,53600945362272,2493
332,624,1514016231567840,9005,1112326524161160,2481
372,624,565475941910880,9069,415387281327480,2516
384,624,145929275331840,9117,107241981184800,2465
100,623,8117315940333600,8565,5963742323510400,2476
210,623,1623463188066720,8785,1192798100510016,2512
256,623,25975411009067520,8877,19083975435233280,2476
260,623,1623463188066720,8845,1192748464702080,2449
294,623,11364242316467040,8953,8349239252914560,2545
306,623,1623463188066720,8901,1192748464702080,2465
383,623,621786401029553760,9129,456822661980896640,2514
384,623,12987705504533760,9133,9541987717616640,2514
538,623,436711597589947680,9437,320849337004859520,2555
100,622,28365002892626400,8573,20839482281361744,2485
210,622,5673000578525280,8793,4167918792385920,2519
220,622,5673000578525280,8773,4167891718308864,2496
248,622,175863017934283680,8853,129204738026844480,2489
260,622,5673000578525280,8853,4167944564824656,2444
282,622,266631027190688160,8925,195892679600217600,2460
294,622,39711004049676960,8961,29175431546701440,2538
306,622,5673000578525280,8909,4167909059874560,2471
332,622,470859048017598240,9029,345935770693793280,2496
370,622,209901021405435360,9093,154213888762821888,2505
384,622,45384004628202240,9141,33343210738377540,2503
520,622,5673000578525280,9333,4167914496979464,2489
538,622,1526037155623300320,9445,1121174622374526720,2571
100,621,6293199998685600,8573,4623583781873056,2484
210,621,1258639999737120,8793,924715101847680,2516
220,621,1258639999737120,8773,924713597732288,2486
256,621,20138239995793920,8885,14795462311149520,2461
260,621,1258639999737120,8853,924714306402040,2444
294,621,8810479998159840,8961,6473005712933760,2552
384,621,10069119997896960,9141,7397658770021520,2489
100,620,2827379709554400,8533,2079492173478720,2454
210,620,565475941910880,8753,415451712424320,2492
220,620,565475941910880,8733,415045601268480,2461
256,620,9047615070574080,8845,6647208785361144,2446
260,620,565475941910880,8813,415337168252160,2402
282,620,26577369269811360,8885,19526292528702960,2430
294,620,3958331593376160,8921,2908161986970240,2524
306,620,565475941910880,8869,415450495860400,2438
315,620,565475941910880,8963,415451712424320,2521
320,620,2261903767643520,8973,1662551386816320,2493
366,620,34494032456563680,9053,25342616502643440,2476
384,620,4523807535287040,9101,3323582677014600,2474
588,620,3958331593376160,9509,2908161986970240,2541
100,619,56456388394005600,8569,41478311809142208,2484
210,619,11291277678801120,8789,8295632580343680,2510
220,619,11291277678801120,8769,8295617351175336,2484
256,619,180660442860817920,8881,132730330686563610,2461
260,619,11291277678801120,8849,8295628284937224,2439
265,619,598437716976459360,8889,439668228943367424,2489
271,619,3059936250955103520,8909,2248118662884494400,2458
282,619,530690050903652640,8921,389895227634232320,2448
294,619,79038943751607840,8957,58069428062405760,2536
306,619,11291277678801120,8905,8295622847832320,2455
313,619,3534169913464750560,8993,2596535231258928960,2467
315,619,11291277678801120,8999,8295632580343680,2538
316,619,892010936625288480,8993,655354694645731080,2479
320,619,45165110715204480,9009,33182493094518768,2509
332,619,937176047340492960,9025,688536666564266520,2472
366,619,688767938406868320,9089,506034083759043840,2488
372,619,350029608042834720,9089,257164516923514200,2494
381,619,1433992265207742240,9129,1053546826777885440,2530
383,619,4324559350980828960,9133,3177229511882986560,2489
384,619,90330221430408960,9137,66365083909534410,2485
416,619,22582555357602240,9201,16591249052913150,2518
420,619,11291277678801120,9209,8295632580343680,2590
440,619,11291277678801120,9169,8295635118538404,2574
512,619,361320885721635840,9393,265460172770642850,2532
520,619,11291277678801120,9329,8295638307552288,2478
530,619,598437716976459360,9409,439668228943367424,2516
538,619,3037353695597501280,9441,2231525722515289200,2540
100,618,9394197099487200,8557,6901846684548816,2476
210,618,1878839419897440,8777,1380371818700160,2513
220,618,1878839419897440,8757,1380366178267440,2493
256,618,30061430718359040,8869,22086026655152460,2451
260,618,1878839419897440,8837,1380374682304464,2442
294,618,13151875939282080,8945,9662602730901120,2556
313,618,588076738427898720,8981,432056627432189760,2467
320,618,7515357679589760,8997,5521490377038636,2514
366,618,114609204613743840,9077,84206403626304960,2488
372,618,58244022016820640,9077,42792457051103760,2541
520,618,1878839419897440,9317,1380371341432776,2482
100,617,56273976799840800,8565,41344239287431080,2473
210,617,11254795359968160,8785,8268829244058240,2506
220,617,11254795359968160,8765,8268824167668792,2487
260,617,11254795359968160,8845,8268827812256088,2440
282,617,528975381918503520,8917,388635284694536880,2452
294,617,78783567519777120,8953,57881804708407680,2542
320,617,45019181439872640,9005,33075293709447990,2508
366,617,686542516958057760,9085,504398894111352240,2482
383,617,4310586622867805280,9129,3166962345011424960,2498
384,617,90038362879745280,9133,66150641708060910,2484
416,617,22509590719936320,9197,16537653118858410,2511
520,617,11254795359968160,9325,8268832823563620,2477
100,616,91205797082400,8453,67008340713600,2521
186,616,565475941910880,8621,415451712424320,2472
210,616,18241159416480,8673,13404488359080,2534
220,616,18241159416480,8653,13401668142720,2510
256,616,291858550663680,8765,214426690283520,2488
260,616,18241159416480,8733,13401668142720,2469
271,616,4943354201866080,8793,3631852066677120,2484
294,616,127688115915360,8841,93811676999040,2564
313,616,5709482897358240,8877,4194722128671360,2495
316,616,1441051593901920,8877,1058731783274880,2511
332,616,1514016231567840,8909,1112338455845760,2507
338,616,237135072414240,8925,174221685855360,2542
350,616,91205797082400,8925,66994803675072,2510
366,616,1112710724405280,8973,817501756705920,2516
383,616,6986364056511840,9017,5132838898661760,2521
384,616,145929275331840,9021,107213345141760,2523
409,616,7460634201340320,9069,5481282270372480,2536
416,616,36482318832960,9085,26803336285440,2543
420,616,18241159416480,9093,13400540056176,2618
440,616,18241159416480,9053,13401668142720,2620
520,616,18241159416480,9213,13401668142720,2510
100,615,3739437680378400,8533,2747248902117720,2442
186,615,23184513618346080,8701,17033334075117360,2422
210,615,747887536075680,8753,549468393851520,2496
260,615,747887536075680,8813,549489870883800,2424
294,615,5235212752529760,8921,3846278756960640,2527
416,615,1495775072151360,9165,1098937145653578,2503
520,615,747887536075680,9293,549464814346140,2466
100,614,28000179704296800,8557,20571597825931152,2469
186,614,173601114166640160,8725,127543923893305920,2427
210,614,5600035940859360,8777,4114312119815040,2500
256,614,89600575053749760,8869,65828761249190940,2454
260,614,5600035940859360,8837,4114303529002128,2427
294,614,39200251586015520,8945,28800184838705280,2535
416,614,11200071881718720,9189,8228642137156980,2511
520,614,5600035940859360,9317,4114313551617192,2470
100,613,55909153611511200,8557,41075963950012992,2482
210,613,11181830722302240,8777,8215222571487360,2519
260,613,11181830722302240,8837,8215226866893816,2450
100,612,91205797082400,8533,67010287215872,2460
186,612,565475941910880,8701,415484559650160,2448
192,612,72964637665920,8717,53599373187360,2432
210,612,18241159416480,8753,13401668142720,2501
220,612,18241159416480,8733,13401933574848,2476
248,612,565475941910880,8813,415450495860400,2480
256,612,291858550663680,8845,214427298565480,2427
260,612,18241159416480,8813,13401743008192,2435
271,612,4943354201866080,8873,3631847200421440,2446
282,612,857334492574560,8885,629907600241920,2426
294,612,127688115915360,8921,93811676999040,2526
313,612,5709482897358240,8957,4194717262415680,2457
316,612,1441051593901920,8957,1058736649530560,2476
320,612,72964637665920,8973,53607037540056,2505
325,612,91205797082400,8949,67008256489944,2479
332,612,1514016231567840,8989,1112353054612800,2460
346,612,3155720579051040,9021,2318483722434880,2469
366,612,1112710724405280,9053,817530954240000,2474
372,612,565475941910880,9053,415407916123200,2504
384,612,145929275331840,9101,107198746374720,2469
416,612,36482318832960,9165,26803289494520,2496
444,612,674922898409760,9197,495934715115840,2496
519,612,3155720579051040,9365,2318479464461160,2528
520,612,18241159416480,9293,13401611993616,2471
567,612,164170434748320,9467,120615013284480,2559
592,612,674922898409760,9485,495862329562600,2537
100,611,4286672462872800,8553,3149386286330592,2486
186,611,26577369269811360,8721,19526192302552320,2442
192,611,3429337970298240,8737,2519518383505200,2441
210,611,857334492574560,8773,629878402707840,2517
256,611,13717351881192960,8865,10078040125303920,2466
260,611,857334492574560,8833,629971469847720,2448
294,611,6001341448021920,8941,4409148818954880,2558
313,611,268345696175837280,8977,197151653687123520,2469
100,610,5563553622026400,8533,4086019709291520,2480
192,610,4450842897621120,8717,3270031844727648,2461
210,610,1112710724405280,8753,817501756705920,2528
256,610,17803371590484480,8845,13079953653582816,2481
260,610,1112710724405280,8813,817444484619840,2445
100,609,91205797082400,8551,67008340713600,2459
192,609,72964637665920,8735,53606672570880,2430
210,609,18241159416480,8771,13397817088656,2488
260,609,18241159416480,8831,13401668142720,2421
100,608,182411594164800,8549,134024518660032,2447
192,608,72964637665920,8733,53671982844480,2428
210,608,36482318832960,8769,26803336285440,2481
220,608,36482318832960,8749,26803781582760,2479
260,608,36482318832960,8829,26803637717472,2432
294,608,255376231830720,8937,187623353998080,2520
520,608,36482318832960,9309,26802582705360,2480
100,607,55361918829016800,8545,40674137266867104,2484
192,607,44289535063213440,8729,32539188205764240,2458
210,607,11072383765803360,8765,8134812562631040,2513
260,607,11072383765803360,8825,8134805403620280,2449
100,606,9211785505322400,8541,6767904456833520,2467
186,606,57113070132998880,8701,41965090177570560,2413
192,606,7369428404257920,8725,5414692731788340,2442
210,606,1842357101064480,8761,1353568482414720,2492
220,606,1842357101064480,8741,1353572994760896,2469
256,606,29477713617031680,8853,21657033673875600,2455
260,606,1842357101064480,8821,1353560846136576,2434
294,606,12896499707451360,8929,9474979376903040,2532
320,606,7369428404257920,8981,5414258418468900,2508
366,606,112383783164933280,9061,82569911038655040,2507
384,606,14738856808515840,9109,10828408258607940,2486
416,606,3684714202128960,9173,2707141737503280,2492
520,606,1842357101064480,9301,1353570868751640,2469
100,605,1003263767906400,8513,737049444604200,2483
192,605,802611014325120,8697,589672129182318,2454
210,605,200652753581280,8733,147418349569920,2528
260,605,200652753581280,8793,147423556123200,2451
520,605,200652753581280,9273,147416722522020,2493
100,604,13772075359442400,8533,10119152892296448,2464
192,604,11017660287553920,8725,8094514491063000,2433
210,604,2754415071888480,8761,2023651889550720,2501
260,604,2754415071888480,8821,2023686252802368,2459
294,604,19280905503219360,8929,14165563226855040,2542
306,604,2754415071888480,8877,2023653106114640,2443
520,604,2754415071888480,9301,2023626117111984,2494
100,603,6110788404520800,8533,4489569168604520,2471
192,603,4888630723616640,8717,3591608284274010,2436
210,603,1222157680904160,8753,897911765562240,2502
260,603,1222157680904160,8813,897911606473112,2429
294,603,8555103766329120,8921,6285382358935680,2539
416,603,2444315361808320,9165,1795822934540250,2502
100,602,3921849274543200,8537,2881358650684800,2478
192,602,3137479419634560,8721,2305086920547840,2448
210,602,784369854908640,8729,576420637560768,2503
220,602,784369854908640,8737,576271730136960,2487
256,602,12549917678538240,8849,9220347682191360,2454
260,602,784369854908640,8817,576271730136960,2451
294,602,5490588984360480,8925,4033902110958720,2543
350,602,3921849274543200,9009,2881060835837184,2493
409,602,320807270657633760,9153,235695137626016640,2530
420,602,784369854908640,9177,576333774896880,2606
100,601,54814684046522400,8533,40271919701733720,2486
210,601,10962936809304480,8753,8054402553774720,2517
260,601,10962936809304480,8813,8054403985576872,2446
96,600,182411594164800,8413,133681639723632,2370
100,600,91205797082400,8421,67318564513200,2452
186,600,2827379709554400,8589,2077407469545408,2400
192,600,364823188329600,8605,268145043422256,2411
210,600,91205797082400,8641,67008340713600,2490
256,600,1459292753318400,8733,1072232723033472,2458
260,600,91205797082400,8701,66984477344400,2418
366,600,5563553622026400,8941,4087583237241504,2473
384,600,729646376659200,8989,535768910861184,2478
520,600,91205797082400,9181,66951068627520,2462
96,599,21852908980943040,8521,16055260479738480,2435
100,599,54632272452357600,8529,40137847180022592,2493
