index,q,r,body_hex,witness_count,witness_fnv
0,96,595,0019f408,2,1744885390643448
1,96,595,045e1401,2,f4f327e07a1af5d8
2,96,595,052e6080,1,74f3da7165f34a86
3,96,595,052e6400,1,74f3da7165f34a86
4,96,595,056e4400,1,74f3da7165f34a86
5,96,595,065e1400,3,203461aab07ee840
6,96,595,071e4200,2,bed30abf47da9e5a
7,96,595,0c5c1401,1,e21250e5e18c72dc
8,96,595,0d9c1400,1,e21250e5e18c72dc
9,96,595,0dc85001,2,ebad47094524482b
10,96,595,2d841088,1,c614638906e43a08
11,96,595,2d841408,1,c614638906e43a08
12,96,595,2f841008,1,c614638906e43a08
13,96,595,2f861000,1,c614638906e43a08
14,96,595,35003409,1,75c39d928520ee1a
15,96,595,35124240,3,1d43ff40e40a9d83
16,96,599,155a1400,5,f60069fd53424e7a
17,100,595,0d989008,1,3c49e4e41bd264b3
18,100,595,1b085600,1,d0e1c70e3c5b5791
19,100,595,23047600,1,d0e1c70e3c5b5791
20,100,595,2500f401,1,c691dcae56696315
21,100,602,27c09008,1,75826a547bdf4ee
22,100,626,04dc1600,2,a766c9f428f59f33
23,100,626,0570240a,1,62ff87eaed3f4b0b
24,100,626,05744402,1,728ab52b165a74ad
25,100,626,0b1c5200,1,d0e1c70e3c5b5791
26,100,626,0b9c1200,1,d0e1c70e3c5b5791
27,100,626,1538c200,1,4ae09b8204c38f2f
28,100,626,21344481,1,86854d28fc0a76ff
29,100,626,25344081,2,b1eb8f52fff1f510
30,100,626,25541404,2,5c86b958ad66c92d
31,100,626,25541600,2,5c86b958ad66c92d
32,100,626,35306001,1,765439334108c406
33,186,612,178a3000,6,1364613023f54426
34,192,595,2546d000,1,5cbf5fd9349144cb
35,210,595,05d81088,3,15ddd795b3dc20e7
36,210,595,0e385400,1,5facf77572dd4fb3
37,210,595,0f185400,1,5facf77572dd4fb3
38,210,595,25105484,2,3724a467b2831137
39,210,595,2510b404,2,c9daf04f7746eaeb
40,210,595,2f105400,1,5facf77572dd4fb3
41,210,595,37809080,1,6ec95fadd9b443d9
42,210,596,05183608,1,a3d5f562052701a6
43,210,596,07087088,1,4ad67602d6908711
44,210,596,07107088,1,4ad67602d6908711
45,210,596,0e187400,1,5facf77572dd4fb3
46,210,602,07da1000,1,bfee72340ad0a9c6
47,210,612,061a9280,2,e1384af3f018fdb1
48,210,613,05d81088,1,2b8e7462568dfd3
49,210,613,07485088,1,fc7336c8dd9ad554
50,210,613,0f9c1000,1,15884abbd8ac5442
51,210,613,158ab000,1,10d4f4667cefa76d
52,210,613,1f981000,1,15884abbd8ac5442
53,210,614,05d81088,2,634c57787a4c1e88
54,210,614,061a9280,1,8c9589de2abb35dd
55,210,614,1608d600,1,8c9589de2abb35dd
56,210,614,1618d200,1,8c9589de2abb35dd
57,210,616,07087088,2,e17f6b1f0e7dc025
58,210,616,0e187400,1,5facf77572dd4fb3
59,210,619,05584288,1,3b878e15a0fd6015
60,210,619,05983088,1,2b8e7462568dfd3
61,210,619,05b82088,1,2b8e7462568dfd3
62,210,619,05d81088,2,882ea07adb4ce3dc
63,210,619,067a6000,1,d5d667aa2386c680
64,210,619,07087009,2,554110cbac072530
65,210,619,07087088,2,554110cbac072530
66,210,619,07087208,1,fc7336c8dd9ad554
67,210,619,070a5208,1,fc7336c8dd9ad554
68,210,619,07107088,1,4ad67602d6908711
69,210,619,07127001,1,4ad67602d6908711
70,210,619,07485088,1,fc7336c8dd9ad554
71,210,619,0f107001,1,4ad67602d6908711
72,210,619,0f183400,2,9aac18360e5a843c
73,210,619,0f382400,3,a7766217bbbea519
74,210,619,16ba2000,2,a73fda443b4400c3
75,210,619,26543400,2,e5d895b13bef06d0
76,256,595,2d10b008,1,1d868fd11bd5290c
77,256,619,1510e088,1,1fe171898554c1b
78,256,626,04746408,1,7b1d4998c28e7368
79,256,626,07443408,6,888c2c046b568743
80,256,636,24762400,1,62ff87eaed3f4b0b
81,260,612,07087088,4,382a2d48968fd818
82,260,612,27481088,2,641af03c95a4d7a5
83,294,617,1c183401,1,c473df51e202b5f7
