q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,595,2446,c7ed8e5abe0c08c9,228,2218,110889,c995d9284deb5c41,1,219,16,4a09ec74ee891748
96,596,3502,2d38450213d4e149,373,3129,1521,84b8fe893623760f,3,242,0,cbf29ce484222325
96,597,3471,ee30434eccee528d,365,3106,2676,468c9a1ecd837ad9,1,209,0,cbf29ce484222325
96,598,3661,da3593d458739f59,398,3263,393,8957ead9d754b759,4,166,0,cbf29ce484222325
96,599,3157,15ea318400b5158,324,2833,9879,159c396e5fa91046,1,223,1,4855624e5669260c
96,600,3672,297e4aba1bd41565,385,3287,671,c3fd103e71b62cf6,3,206,0,cbf29ce484222325
100,595,2778,5bbf44ce880468f2,248,2530,109048,8efa8be4055e0940,1,282,4,b595af0cd03a3520
100,596,3751,3a7e47228ae4cccd,382,3369,1045,574cab0b45ac2159,2,233,0,cbf29ce484222325
100,597,3709,59165cc27e2748e7,365,3344,2551,a7848e96f1847112,2,232,0,cbf29ce484222325
100,598,3756,ea678331fb0ce81e,379,3377,1083,affe53d610cfb34,3,232,0,cbf29ce484222325
100,599,3573,abe0cfaa29620462,343,3230,7010,7166d6cc816667d7,1,243,0,cbf29ce484222325
100,600,3868,9f24ed6a7579c5ae,405,3463,252,aaabdf4c69eaa7a4,2,147,0,cbf29ce484222325
100,601,3778,13e3b1b9aabc2d57,370,3408,1993,fa0caf786245397a,2,236,0,cbf29ce484222325
100,602,3082,ff18466d114af637,283,2799,34693,a217e830117942ba,1,249,1,e07694c9b8b60748
100,603,3743,6ac55d0b733880e9,364,3379,2696,b1ce7b390481be6a,1,249,0,cbf29ce484222325
100,604,3639,98c519ae36c36baa,354,3285,3449,a2e38ef5cd27cdcf,2,223,0,cbf29ce484222325
100,605,3268,ee954a789188b835,320,2948,13491,6805624f29b7478f,1,230,0,cbf29ce484222325
100,606,3714,cbda2767b0db8080,356,3358,3031,7c298114d19c77cd,2,240,0,cbf29ce484222325
100,607,3676,7ca33ae5f667249b,353,3323,4869,4d36563e216963e6,2,232,0,cbf29ce484222325
100,608,3712,2cf0dd77b067dccc,357,3355,3616,7774f7acf3a865ee,1,232,0,cbf29ce484222325
100,609,3758,cc7a314511627223,375,3383,1823,501cabef4f49993d,2,229,0,cbf29ce484222325
100,610,3861,891627b2a0e0c3c5,412,3449,98,673d38b67457c79b,3,233,0,cbf29ce484222325
100,611,3731,ecfd3ed8dbcb67d6,365,3366,2755,7e1534b55e30a663,2,239,0,cbf29ce484222325
100,612,3641,87d51886666192f6,359,3282,3687,cb0703c84a9ece78,2,230,0,cbf29ce484222325
100,613,3790,623e3ef88cad7b03,378,3412,1542,3a5f4b1610d9f1d9,2,235,0,cbf29ce484222325
100,614,3486,6de1de7c605c1898,337,3149,8380,d6d211d398cc8f44,1,230,0,cbf29ce484222325
100,615,3782,4cdd34064725a424,373,3409,2031,cadaebf8efe599cb,2,234,0,cbf29ce484222325
100,616,3767,b1186453a651f95,369,3398,2035,831354b0fb95e758,2,230,0,cbf29ce484222325
100,617,3477,2db898b2d9cebfad,335,3142,9135,e371573e080079c9,1,241,0,cbf29ce484222325
100,618,3734,9cc580c86a23a9d1,377,3357,1566,a427ac6c6b52d707,2,232,0,cbf29ce484222325
100,619,2976,861d2d202f06ceed,277,2699,36804,a2f9de18231153ea,1,247,0,cbf29ce484222325
