w0,w1,w2,w3,count8,least8,count9,least9,weight
cf83bc0ee8dc8e6e,0006a00000683c40,0000000000000000,0000000000000020,0,,1,02c0a324,48
8b5de104e0800a40,000fc7c003bc2a0e,0000000000000000,00000000000000c0,0,,1,02818325,47
cf83b806e8dc0e6e,0006a00030683c00,0000000000000000,0000000000000020,0,,1,0241a324,46
835de000e0808240,000fc7c003bc2a4e,0000000000000000,00000000000000c0,0,,1,02a08325,45
835de000e0800240,000fcfc003bc2a0e,0000000000000000,00000000000000c0,0,,1,02218325,44
8b41e40cf0809a40,0007c3c0003e2a42,0000000000000000,00000000000000c0,0,,1,02c08925,43
c381b800f8dc826e,0006a000002a3cc0,0000000000000000,0000000000000020,0,,1,02e0a124,41
8b41e40ce0808a40,0007cbc0003c2a42,0000000000000000,00000000000000c0,0,,1,02408b25,41
835ce000a0808040,000fcfc0039c224e,0000000000000000,00000000000000c0,0,,1,022083a5,41
4e83140af85c962e,0006a000006a14c0,0000000000000000,0000000000000020,0,,1,02c0a12c,41
c381b800e8dc826e,0006a00030283c40,0000000000000000,0000000000000020,0,,1,0260a324,40
8b41e40ce0808a40,0007c3c0003c2a42,0000000000000000,00000000000000c0,0,,1,02c08325,40
6c0211ba005e242f,0008340407401548,0000000000000080,0000000000000020,0,,1,0290832c,40
60000000fe5e832f,00000000303f95c3,0000000000000000,0000000000000020,0,,1,1260812c,39
4e83140ae85c862e,0006a00030681440,0000000000000000,0000000000000020,0,,1,0240a32c,39
c381b800e8fc027e,0006a00000283c00,0000000000000000,0000000000000020,0,,1,02e1a202,38
42911060e85ca22e,0006b00031281460,0000000000000000,0000000000000020,0,,1,0220a32c,38
0a514508f0009200,000fcfc0033e004a,0000000000000000,0000000000000000,0,,1,0200813f,38
8b41e004e0800a40,0007cbc0003c2a02,0000000000000000,00000000000000c0,0,,1,02418325,37
8341e000f0808240,0007c3c0003e2a42,0000000000000000,00000000000000c0,0,,1,02e08125,37
0a514508f0009200,000fc7c0033e004a,0000000000000000,0000000000000000,0,,1,0280812f,37
8b40e40ca0808840,0007cbc0001c2242,0000000000000000,00000000000000c0,0,,1,024083a5,36
8b1da50cf0809a40,0006800001aa2844,0000000000000000,0000000000000000,0,,1,0280a127,36
8341e000e0808240,0007cbc0003c2a42,0000000000000000,00000000000000c0,0,,1,02608325,36
70201230005e602f,0008340583001558,0000000000000000,0000000000000020,0,,1,00b0832c,36
400001eae85ca62e,000000003d681460,0000000000000080,0000000000000000,0,,1,1200a32c,36
0f83ba07e9f84efc,0000000000000000,0000000000000000,0000000000000002,0,,1,20c12216,36
cc02380e00dc1c6e,0000200030403cc0,0000000000000000,0000000000000020,0,,1,0250a924,35
c00001ae00dc2c6e,0000000035c03c44,0000000000000080,0000000000000020,0,,1,1210a324,35
6000000002000100,0009fff8331d952b,0000000000000000,0000000000000000,0,,1,0228832c,35
0f83bc0ef8dc9e6e,0000000000000000,0000000000000000,0000000000000000,0,,1,22c0a124,35
0a514508e0008200,000fcfc0033c004a,0000000000000000,0000000000000000,0,,2,0200832f,35
c000000ee8dc8e6e,0000000030683c40,0000000000000000,0000000000000020,0,,1,1240a324,34
42811000f85c822e,0006a000302a14c0,0000000000000000,0000000000000020,0,,1,0260a12c,34
0a514508e0008200,000fc7c0033c004a,0000000000000000,0000000000000000,0,,1,0280832d,34
cc02380e00dc1c6e,0000200000403cc0,0000000000000000,0000000000000020,0,,1,02d0a124,33
cc02380e00dc0c6e,0000200030403c40,0000000000000000,0000000000000020,0,,1,0250a324,33
cc02380600dc1c6e,0000200030403c80,0000000000000000,0000000000000020,0,,1,0251a124,33
8b1da50ce0808a40,0006800001a82844,0000000000000000,0000000000000000,0,,2,0200a327,33
600001ba005e342f,00000000074015c8,0000000000000080,0000000000000020,0,,1,1290812c,33
600001ba005e242f,0000000037401548,0000000000000080,0000000000000020,0,,1,1210832c,33
0f83bc0ee8dc8e6e,0000000000000000,0000000000000000,0000000000000000,0,,2,2240a324,33
0a514100f0001200,000fc7c0033e000a,0000000000000000,0000000000000000,0,,1,0281812d,33
0a504508b0009000,000fc7c0031e004a,0000000000000000,0000000000000000,0,,1,028081ad,33
02514000f0008200,000fcfc0033e004a,0000000000000000,0000000000000000,0,,1,0220812f,33
c00c382000dc206e,0000300031803c44,0000000000000000,0000000000000020,0,,1,0230a324,32
c0000006e8dc0e6e,0000000030683c00,0000000000000000,0000000000000220,0,,1,1241a320,32
60001030005e202f,00083404330015c8,0000000000000000,0000000000000020,0,,1,0230892c,32
4c0211aa005c342e,00003000054014c0,0000000000000080,0000000000000020,0,,1,0290a12c,32
4c0211aa005c242e,0000300035401440,0000000000000080,0000000000000020,0,,1,0210a32c,32
0f83b806e8fc0e7e,0000000000000000,0000000000000000,0000000000000000,0,,1,22c1a202,32
02514000f0008200,000fc7c0033e004a,0000000000000000,0000000000000000,0,,1,02a0812d,32
e000380000de006f,0000200430003fc0,0000000000000000,0000000000000020,0,,1,02708924,31
c00c382000dc206e,0000300001803cc4,0000000000000000,0000000000000020,0,,1,02b0a124,31
c0000200e8fc427e,0000000180283c00,0000000000000000,0000000000000022,0,,1,10e1a202,31
c0000001e9fc02fe,0000000000287c00,0000000000000000,0000000000000120,0,,1,12e12202,31
c0000000f8dc826e,00000000302a3cc0,0000000000000000,0000000000000020,0,,1,1260a124,31
8b1ca50cb0809840,00068000018a2044,0000000000000000,0000000000000000,0,,1,0280a1a5,31
6c02100a005e142f,00002004304015c0,0000000000000000,0000000000000020,0,,1,0250892c,31
60001030005e202f,0008340433001588,0000000000000000,0000000000000020,0,,1,0231812c,31
60001030005e202f,0008340433001548,0000000000000000,0000000000000020,0,,1,0230832c,31
60000200015e40af,00000001800055d0,0000000000000401,0000000000004824,0,,1,10f0012c,31
40000060f85ca22e,00000000312a14e0,0000000000000000,0000000000000020,0,,1,1220a12c,31
0e9315eae85ca62e,0000000000000000,0000000000000000,0000000000000000,0,,1,2200a32c,31
0a514100e0000200,000fcfc0033c000a,0000000000000000,0000000000000000,0,,1,0201832d,31
0a504508a0008000,000fcfc0031c004a,0000000000000000,0000000000000000,0,,1,020083ad,31
0a414408f0009200,0007cbc0003e0042,0000000000000000,0000000000000000,0,,2,0240812f,31
0381ba01e9fc42fe,0000000000000000,0000000000000000,0000000000000002,0,,2,20e12206,31
02514000f0000200,000fcfc0033e000a,0000000000000000,0000000000000000,0,,1,0221812d,31
02514000e0008200,000fcfc0033c004a,0000000000000000,0000000000000000,0,,1,0220832d,31
e000380000de006f,0000200430003f40,0000000000000000,0000000000000020,0,,1,02708324,30
c0003a0001f840fc,0000200180007c00,0000000000000000,0000000000000422,0,,1,00f12212,30
c0003a0001f440fa,0000200180007c00,0000000000000000,0000000000000422,0,,1,00f12242,30
c0003a0001dc40ee,0000200180007c00,0000000000000000,0000000000000422,0,,1,00f12302,30
60001030005e202f,00083404030015c8,0000000000000000,0000000000000020,0,,1,02b0812c,30
6000000002000100,0001ebf8301f9583,0000000000000000,0000000000000000,0,,1,0268812c,30
4000000af85c962e,00000000306a14c0,0000000000000000,0000000000000000,0,,1,1240a12c,30
24c3540006000100,0007e3fc00018180,0000000000000000,0000000000000000,0,,1,02c4812c,30
0f83b806e8dc0e6e,0000000000000000,0000000000000000,0000000000000000,0,,2,2241a320,30
0a514100e0000200,000fc7c0033c000a,0000000000000000,0000000000000000,0,,1,02818329,30
0a504508a0008000,000fc7c0031c004a,0000000000000000,0000000000000000,0,,1,028083a9,30
0a414408f0009200,0007c3c0003e0042,0000000000000000,0000000000000000,0,,1,02c0812d,30
02514000e0008200,000fc7c0033c004a,0000000000000000,0000000000000000,0,,1,02a08329,30
02514000e0000200,000fcfc0033c000a,0000000000000000,0000000000000200,0,,1,02218329,30
e000380000de006f,0000200400003fc0,0000000000000000,0000000000000020,0,,1,02f08124,29
c0000006e8dc0e6e,0000000000683c00,0000000000000000,0000000000000020,0,,1,12c1a300,29
c0000000e8fc027e,0000000030283c00,0000000000000000,0000000000000220,0,,1,1261a202,29
8b1da104e0800a40,0006800001a82804,0000000000000000,0000000000000000,0,,1,0201a325,29
8b01a40cf0809a40,00068000002a2840,0000000000000000,0000000000000000,0,,3,0240a127,29
8b01a40ce0808a40,0006800100282840,0000000000000800,0000000000000002,0,,1,00c0a325,29
8340e000a0800040,0007cbc0001c2202,0000000000000000,00000000000000c0,0,,1,02618a81,29
831da000f0808240,0006800001aa2844,0000000000000000,0000000000000000,0,,2,0220a127,29
6c02100a005e142f,00002004004015c0,0000000000000000,0000000000000020,0,,1,02d0812c,29
6c02100a005e042f,0000200430401540,0000000000000000,0000000000000020,0,,1,0250832c,29
60000230005e602f,00000001830015d8,0000000000000000,0000000000000020,0,,1,10b0812c,29
4c02120a005c542e,00002001804014c0,0000000000000800,0000000000000020,0,,1,00d0a12c,29
40000201e97c42be,0000000180285400,0000000000000000,0000000000000020,0,,1,10e1220a,29
20c1500006000100,0007ebfc00018180,0000000000000000,0000000000000020,0,,1,0264812c,29
0381ba01e9f842fc,0000000000000000,0000000000000000,0000000000000002,0,,2,20612216,29
0381ba01e9dc42ee,0000000000000000,0000000000000000,0000000000000002,0,,1,20e12302,29
02504000b0008000,000fcfc0031e004a,0000000000000000,0000000000000000,0,,1,022081ad,29
c0003a0000fc407e,0000200180003c00,0000000000000000,0000000000000022,0,,1,00f1a202,28
c000020001fc40fe,0000000180007c00,0000000000000000,0000000000000422,0,,1,10f12202,28
c000020001dc40ee,00000003f0007c40,0000000000000000,0000000000000000,0,,1,10702324,28
c000000e00dc1c6e,0000000030403cc0,0000000000000000,0000000000000020,0,,1,1250a124,28
c0000000e8fc827e,0000000000283c40,0000000000000000,0000000000000020,0,,1,12e0a202,28
8b1ca50ca0808840,0006800001882044,0000000000000000,0000000000000000,0,,2,0200a3a5,28
70201200005e402f,00002005800015d0,0000000000000000,0000000000000020,0,,1,00f0812c,28
400001aa005c342e,00000000354014c0,0000000000000080,0000000000000020,0,,1,1210a12c,28
4000000ae85c862e,0000000030681440,0000000000000000,0000000000000220,0,,1,1240a328,28
0c0e39ae00dc3c6e,0000000000000000,0000000000000000,0000000000000000,0,,1,2290a124,28
0a414408e0008200,0007cbc0003c0042,0000000000000000,0000000000000000,0,,1,0240832d,28
0381ba01c9f442fa,0000000000000000,0000000000000000,0000000000000002,0,,1,20e12242,28
0381ba00e8fc427e,0000000000000000,0000000000000000,0000000000000002,0,,1,20e1a202,28
0381b801e9fc02fe,0000000000000000,0000000000000000,0000000000000000,0,,1,22e12202,28
03800001e9fc0000,0006a00000287c00,0000000000000000,0000000000000120,0,,1,02e32202,28
02514000e0000200,000fc7c0033c000a,0000000000000000,0000000000000000,0,,1,02a18309,28
c0000201a9ec40f6,0000000180087000,0000000000000000,0000000000000002,0,,1,10e12282,27
c000020001f840fc,00000003f0007c00,0000000000000000,0000000000000000,0,,1,10712212,27
c000020001f440fa,0000000180007c40,0000000000000000,0000000000000422,0,,1,10f02242,27
c000020001dc40ee,00000003f0007c00,0000000000000000,0000000000000000,0,,1,10712302,27
c000020001dc40ee,0000000180007c40,0000000000000000,0000000000000422,0,,1,10f02302,27
c000020000fc407e,00000003b0003c00,0000000000000000,0000000000000022,0,,1,1071a202,27
c000002001fc20fe,0000000001807c04,0000000000000000,0000000000000020,0,,1,12b12202,27
c0000000e8dc026e,0000000030283c00,0000000000000000,0000000000000220,0,,1,1261a300,27
8b01a40ce0808a40,0006800000282840,0000000000000000,0000000000000200,0,,1,0240ab21,27
831da000e0808240,0006800001a82844,0000000000000000,0000000000000000,0,,2,0220a325,27
60001030004e2027,00083404230011c8,0000000000000000,0000000000000000,0,,1,023081ac,27
40000220015c60ae,00000003f1005440,0000000000000000,0000000000000020,0,,1,1030232c,27
0e83140af85c962e,0000000000000000,0000000000000000,0000000000000000,0,,1,2240a12c,27
0c0e39ae00dc2c6e,0000000000000000,0000000000000000,0000000000000000,0,,1,2210a324,27
0c023a0601fc4cfe,0000000000000000,0000000000000000,0000000000000002,0,,1,20d12206,27
0a504100a0000000,000fcfc0031c000a,0000000000000000,0000000000000000,0,,2,020183a9,27
0a414408e0008200,0007c3c0003c0042,0000000000000000,0000000000000000,0,,1,02c08329,27
0a414000f0001200,0007cbc0003e0002,0000000000000000,0000000000000000,0,,1,0241812d,27
0a404408b0009000,0007cbc0001e0042,0000000000000000,0000000000000000,0,,1,024081ad,27
02504000a0008000,000fcfc0031c004a,0000000000000000,0000000000000000,0,,2,022083a9,27
02414000f0008200,0007cbc0003e0042,0000000000000000,0000000000000000,0,,1,0260812d,27
00000207e9fc4efe,0000000000000000,0000000000000000,0000000000000002,0,,1,30c12206,27
e000000000de006f,0000000030003fc0,0000000000000000,0000000000000020,0,,1,12708124,26
c0003a0001ec40f6,0000200180007000,0000000000000000,0000000000000002,0,,1,00f12282,26
c000380001fc00fe,0000200000007c00,0000000000000000,0000000000000020,0,,1,02f12202,26
c000020601ec4cf6,0000000080407000,0000000000000000,0000000000000002,0,,1,10d12a80,26
c000020001f440fa,0000000180007c00,0000000000000000,0000000000000422,0,,1,10f12240,26
c000020001dc40ee,0000000180007c00,0000000000000000,0000000000000422,0,,1,10f12300,26
c000002001dc20ee,0000000001807c44,0000000000000000,0000000000000020,0,,1,12b02302,26
c000002000dc206e,0000000031803cc4,0000000000000000,0000000000000020,0,,1,1230a124,26
c000000e00fc0c7e,0000000000403c40,0000000000000000,0000000000000020,0,,2,12d0a202,26
c000000e00dc0c6e,0000000030403c40,0000000000000000,0000000000000020,0,,1,1250a320,26
c000000600fc0c7e,0000000030403c00,0000000000000000,0000000000000020,0,,1,1251aa00,26
c000000001fc00fe,0000000070007c40,0000000000000000,0000000000000020,0,,1,12702a02,26
8b01a40ce0808a40,0006800000282840,0000000000000000,0000000000000000,0,,2,0240a325,26
60000200005e402f,00000003b00015d0,0000000000000000,0000000000000020,0,,1,1070812c,26
60000030005e202f,00000000330015c8,0000000000000000,0000000000000020,0,,1,1230812c,26
4c02100a005c142e,00002000304014c0,0000000000000000,0000000000000020,0,,1,0250a12c,26
