q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,595,2662,1c2e795fe5b5c5d9,228,2434,110889,c995d9284deb5c41,1,231,0,cbf29ce484222325
100,595,3176,948dbcd29074d90e,248,2928,109048,8efa8be4055e0940,1,312,0,cbf29ce484222325
147,595,7485,c5e59ad3ebfe6c04,418,7067,44,2da50d4031cc12,40,298,0,cbf29ce484222325
186,595,6792,b3c2d5eda4d109e,407,6385,271,233e4b04a6089e10,8,338,0,cbf29ce484222325
192,595,4073,fd30733e7f24e85d,320,3753,13992,4f9b43efe6098e0d,1,245,0,cbf29ce484222325
206,595,5486,2ebe0f15f408009,394,5092,694,fedb90e9b086cde0,4,247,0,cbf29ce484222325
210,595,3737,ee38108b9e427e57,271,3466,63302,f520fbc2305991f7,1,300,0,cbf29ce484222325
220,595,6916,7f4c24bdfdac8676,412,6504,192,c9334d5549099d97,12,312,0,cbf29ce484222325
244,595,6793,fa7d85c1639a365,417,6376,50,23e7a1d8fcb8359,12,195,0,cbf29ce484222325
256,595,3631,130d71b7c8d461d6,366,3265,1864,3425aa4b01988aa,1,243,0,cbf29ce484222325
260,595,6804,56ce44b1cbc38f6c,394,6410,653,c2bb71a90ebbf8f6,11,313,0,cbf29ce484222325
265,595,8331,72c39d11b59bf240,420,7911,7,fa4bd48eab47073e,23,204,0,cbf29ce484222325
294,595,6389,841ea12883197bd4,399,5990,536,42fc4cba6d0c766b,8,252,0,cbf29ce484222325
296,595,8118,ca60cb651950e0b1,420,7698,10,1813ce557ac44329,148,309,0,cbf29ce484222325
306,595,7031,f4e5fc8694f5067a,414,6617,93,b04c400d171b2c5e,13,350,0,cbf29ce484222325
320,595,6859,17a11c2a81a4c341,411,6448,166,17fc891da1b7323d,20,346,0,cbf29ce484222325
332,595,7195,7f33a22249d45000,416,6779,61,6843bd9f5d3ba163,26,266,0,cbf29ce484222325
338,595,7895,770812b70b649c28,418,7477,13,3d073718271e07b2,76,322,0,cbf29ce484222325
346,595,7897,13afad8bed925f00,420,7477,6,bf5f21c4019b8a65,64,161,0,cbf29ce484222325
366,595,4955,688a349707edc4bd,384,4571,902,68d97b7843946f68,5,279,0,cbf29ce484222325
370,595,8016,5af21755e5b1cdbe,418,7598,52,796d78dc24f93aa,20,309,0,cbf29ce484222325
372,595,7546,7ba9e89e0b33c660,418,7128,23,b55ad287f69e9991,45,351,0,cbf29ce484222325
384,595,6599,5c051ee1385bf535,417,6182,32,5f81e50679decd50,13,173,0,cbf29ce484222325
416,595,6998,92916fa205f7e67e,401,6597,495,c7975ca8df20fb7e,10,374,0,cbf29ce484222325
420,595,8249,ba89fad2363f9bdb,420,7829,24,50d763002d8e3373,63,402,0,cbf29ce484222325
440,595,7497,a7bc6442b66c6ed6,417,7080,87,9fcb484bb8b46c56,12,257,0,cbf29ce484222325
512,595,6624,c1f1c1c1c2f32928,419,6205,19,5c78647e7da45886,22,263,0,cbf29ce484222325
520,595,7861,dbb5315b646f28a3,416,7445,58,2473fbd208659dc4,21,297,0,cbf29ce484222325
