q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,595,2322,d2b1e07e7f7f06f2,228,2094,110889,c995d9284deb5c41,1,214,29,4f324cc34815cbc0
96,596,3197,c9da4c0adcb9d3e2,373,2824,1521,84b8fe893623760f,3,230,0,cbf29ce484222325
96,597,3171,bd09e2287634cc2e,365,2806,2676,468c9a1ecd837ad9,1,197,0,cbf29ce484222325
96,598,3313,1c817be65e6e2a9e,398,2915,393,8957ead9d754b759,2,150,0,cbf29ce484222325
96,599,2915,365fded9666e822d,324,2591,9879,159c396e5fa91046,1,215,7,10cbe8bcf93b58df
96,600,3320,a2c493a2ba17b14a,385,2935,671,c3fd103e71b62cf6,2,200,0,cbf29ce484222325
100,595,2630,72d65d550670d5da,248,2382,109048,8efa8be4055e0940,1,275,20,e55a9406c62f7132
100,596,3396,22725556dc3dd711,382,3014,1045,574cab0b45ac2159,2,216,0,cbf29ce484222325
100,597,3374,6f159a08634e97a3,365,3009,2551,a7848e96f1847112,1,217,0,cbf29ce484222325
100,598,3390,46e19b163a30c75e,379,3011,1083,affe53d610cfb34,2,217,0,cbf29ce484222325
100,599,3263,7ec5b7de3d2e1a9a,343,2920,7010,7166d6cc816667d7,1,229,0,cbf29ce484222325
100,600,3465,bf7ba288b0a88bac,405,3060,252,aaabdf4c69eaa7a4,2,133,0,cbf29ce484222325
100,601,3413,ea367ac6ea950018,370,3043,1993,fa0caf786245397a,1,217,0,cbf29ce484222325
100,602,2878,f61884c600922c8d,283,2595,34693,a217e830117942ba,1,244,12,c732300b0356a2b7
100,603,3387,567e942eb44839e8,364,3023,2696,b1ce7b390481be6a,1,227,0,cbf29ce484222325
100,604,3320,9ff7aeb19276617d,354,2966,3449,a2e38ef5cd27cdcf,1,204,0,cbf29ce484222325
100,605,3035,2505cb954b97b76c,320,2715,13491,6805624f29b7478f,1,220,0,cbf29ce484222325
100,606,3373,b438ca95d7340304,356,3017,3031,7c298114d19c77cd,1,223,0,cbf29ce484222325
100,607,3353,6daba1816a090b31,353,3000,4869,4d36563e216963e6,1,217,0,cbf29ce484222325
100,608,3377,ad69fdd7eb2cb630,357,3020,3616,7774f7acf3a865ee,1,216,1,ebff07c51eef71d1
100,609,3398,4875396c997657f3,375,3023,1823,501cabef4f49993d,1,209,0,cbf29ce484222325
100,610,3459,439437cd17d35dcb,412,3047,98,673d38b67457c79b,2,209,0,cbf29ce484222325
100,611,3388,b81788a42e12dabf,365,3023,2755,7e1534b55e30a663,1,223,0,cbf29ce484222325
100,612,3312,4b3d520fd655973a,359,2953,3687,cb0703c84a9ece78,1,215,0,cbf29ce484222325
100,613,3420,9d453d629ba5343a,378,3042,1542,3a5f4b1610d9f1d9,2,217,0,cbf29ce484222325
100,614,3223,c8e880f4aebe8875,337,2886,8380,d6d211d398cc8f44,1,218,0,cbf29ce484222325
100,615,3413,48042ca992c43bbf,373,3040,2031,cadaebf8efe599cb,1,218,0,cbf29ce484222325
100,616,3407,cd46d70251e73cb8,369,3038,2035,831354b0fb95e758,1,210,0,cbf29ce484222325
100,617,3213,8e6e23672a2aa2d2,335,2878,9135,e371573e080079c9,1,234,0,cbf29ce484222325
100,618,3389,1bac0380ef90afe,377,3012,1566,a427ac6c6b52d707,1,216,0,cbf29ce484222325
