q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,595,2457,716a436cd0b7f1cf,228,2229,110889,c995d9284deb5c41,1,220,0,cbf29ce484222325
96,596,3531,daa753ad3d39bdcf,373,3158,1521,84b8fe893623760f,3,243,0,cbf29ce484222325
96,597,3495,7bd7ae276639b6e3,365,3130,2676,468c9a1ecd837ad9,1,210,0,cbf29ce484222325
96,598,3692,6c361d23d09eaa8b,398,3294,393,8957ead9d754b759,4,167,0,cbf29ce484222325
96,599,3176,130b4b2e176f2fb7,324,2852,9879,159c396e5fa91046,1,224,0,cbf29ce484222325
96,600,3697,66086c1c859bc176,385,3312,671,c3fd103e71b62cf6,3,206,0,cbf29ce484222325
100,595,2791,68bb38e243a32ec7,248,2543,109048,8efa8be4055e0940,1,283,0,cbf29ce484222325
100,596,3778,ba018c2d2ae7eafd,382,3396,1045,574cab0b45ac2159,2,233,0,cbf29ce484222325
100,597,3729,ce8ae01f7829eb9a,365,3364,2551,a7848e96f1847112,2,232,0,cbf29ce484222325
100,598,3787,f55d48c4d801ffa,379,3408,1083,affe53d610cfb34,3,232,0,cbf29ce484222325
100,599,3591,e4c042ddff40626d,343,3248,7010,7166d6cc816667d7,1,243,0,cbf29ce484222325
100,600,3902,3733e2879bf67845,405,3497,252,aaabdf4c69eaa7a4,4,150,0,cbf29ce484222325
100,601,3802,cfba0cff0d9a8ec8,370,3432,1993,fa0caf786245397a,2,236,0,cbf29ce484222325
100,602,3099,1efb1afcbb55b0c5,283,2816,34693,a217e830117942ba,1,249,0,cbf29ce484222325
100,603,3764,a65d62f147742262,364,3400,2696,b1ce7b390481be6a,1,249,0,cbf29ce484222325
100,604,3661,a5ff78a0b1db9faa,354,3307,3449,a2e38ef5cd27cdcf,2,223,0,cbf29ce484222325
100,605,3287,c085189b3b4157d2,320,2967,13491,6805624f29b7478f,1,230,0,cbf29ce484222325
100,606,3738,8d1062370aab3b69,356,3382,3031,7c298114d19c77cd,2,240,0,cbf29ce484222325
