q,r,active,active_fnv,active_joint,active_nonjoint,exposed,exposed_fnv,minimum_hits,maximum_hits,failures,failure_fnv
96,595,2652,2d6c5b4eb0ba9f91,228,2424,110889,c995d9284deb5c41,1,231,116,fedacdbff3f31981
100,595,3167,2ef953a344b7f42f,248,2919,109048,8efa8be4055e0940,1,312,13,3ac9ac8b4b9ad93f
147,595,7475,4076d2cb40625324,418,7057,44,2da50d4031cc12,40,298,0,cbf29ce484222325
186,595,6782,483256b031d5ecaa,407,6375,271,233e4b04a6089e10,7,338,0,cbf29ce484222325
192,595,4063,5632df2c6bddabed,320,3743,13992,4f9b43efe6098e0d,1,245,0,cbf29ce484222325
206,595,5476,753b226eff0437c1,394,5082,694,fedb90e9b086cde0,3,247,0,cbf29ce484222325
210,595,3727,3067753a1673905b,271,3456,63302,f520fbc2305991f7,1,300,16,a6a226f12c168d3a
220,595,6906,52545114e5bfdb92,412,6494,192,c9334d5549099d97,12,312,0,cbf29ce484222325
244,595,6783,a85812108890d3c5,417,6366,50,23e7a1d8fcb8359,11,193,0,cbf29ce484222325
256,595,3623,bf20b8677a0b0e0a,366,3257,1864,3425aa4b01988aa,1,243,0,cbf29ce484222325
260,595,6794,e1b71ee16670247c,394,6400,653,c2bb71a90ebbf8f6,11,313,0,cbf29ce484222325
265,595,8321,72ba972f681ebe88,420,7901,7,fa4bd48eab47073e,22,204,0,cbf29ce484222325
294,595,6380,aa48423b1fc65711,399,5981,536,42fc4cba6d0c766b,8,252,0,cbf29ce484222325
296,595,8108,ab40aee0e6639d39,420,7688,10,1813ce557ac44329,148,309,0,cbf29ce484222325
306,595,7021,aa146000df24e9ce,414,6607,93,b04c400d171b2c5e,13,350,0,cbf29ce484222325
320,595,6849,7ee6b3e85056cb09,411,6438,166,17fc891da1b7323d,19,346,0,cbf29ce484222325
332,595,7185,541be7cf8dc29248,416,6769,61,6843bd9f5d3ba163,25,266,0,cbf29ce484222325
338,595,7885,8a2f925ee1686ca0,418,7467,13,3d073718271e07b2,76,322,0,cbf29ce484222325
346,595,7887,31fc337f0bf5e148,420,7467,6,bf5f21c4019b8a65,64,161,0,cbf29ce484222325
366,595,4945,8b7ffcdb3c6fbacd,384,4561,902,68d97b7843946f68,4,279,0,cbf29ce484222325
370,595,8006,c32a441903770dca,418,7588,52,796d78dc24f93aa,19,309,0,cbf29ce484222325
372,595,7536,3dd20279131f1128,418,7118,23,b55ad287f69e9991,45,351,0,cbf29ce484222325
384,595,6589,ff8d70388eb8a195,417,6172,32,5f81e50679decd50,13,173,0,cbf29ce484222325
416,595,6988,b346e3c76e25088a,401,6587,495,c7975ca8df20fb7e,8,374,0,cbf29ce484222325
420,595,8239,2c2b82f9b5907d47,420,7819,24,50d763002d8e3373,60,402,0,cbf29ce484222325
440,595,7487,cfcba7fd3679e1f2,417,7070,87,9fcb484bb8b46c56,12,257,0,cbf29ce484222325
512,595,6614,8f54eb9eebdeb9a0,419,6195,19,5c78647e7da45886,22,263,0,cbf29ce484222325
520,595,7851,17f35b24e89258ff,416,7435,58,2473fbd208659dc4,20,297,0,cbf29ce484222325
