mask_hex	word_hi	word_lo	cover	multiplicity
08422a82	0000000000000000	d4c689cdb3f7dec1	37	4
0843a880	0000000000000000	d4c4c08db3f3d6c0	31	1
08622882	0000000000000000	d4c6c9cc31f606c0	29	1
08432881	0000000000000000	9444c98821668c81	22	1
0842a4c0	0000000000000000	c4c6408131710600	19	2
08c0ac40	0000000000000000	0fd0069171010600	19	1
1842a880	0000000000000000	0006c08c0073d6c0	19	1
00c08ec0	0000000000000000	0ce0049179010700	18	2
0842a881	0000000000000000	9446c08821628480	18	1
08462882	0000000000000000	d482c041b280c800	18	4
18422881	0000000000000000	0006c98800668c81	17	1
082a2282	0000000000000000	c44e89cc00000000	14	1
0044acc0	0000000000000000	ec82400370000000	13	2
08c48c40	0000000000000000	0fb0020178000000	13	1
18422c80	0000000000000000	0006498000750600	13	1
006a8c40	0000000000000000	c477608000000000	12	3
01c0d204	00000001c7002b06	0000000000000000	12	2
04c18320	0000000000000000	03f0001c03800000	12	1
080a2a81	0000000000000000	844e898800000008	12	1
08226083	0000000000000000	900ec90000260000	12	1
082a8441	0000000000000000	847f608000000000	12	1
08c4a880	0000000000000000	0c800001f280c000	12	1
002a84c2	0000000000000000	c46f408000000000	11	2
0048acc0	0000000000000000	cc46449000000000	11	1
004cac40	0000000000000000	cf12620000000000	11	1
0060ccc0	0000000000000000	e007400200380000	11	1
00c88e40	0000000000000000	0f70069000000000	11	3
01609124	000000010720430e	0000000000000000	11	1
01685044	00000001cb204070	0000000000000000	11	1
082a2482	0000000000000000	c44e498000000000	11	1
08828641	0000000000000000	0670008029000500	11	1
31c05002	0000000000003f76	0000000000000000	11	4
0008a6c1	0000000000000000	8c4e049000000000	10	1
016050c4	00000001cd204440	0000000000000000	10	2
01e05042	00000001c7000470	0000000000000000	10	7
080e8281	0000000000000000	842b800004002010	10	1
0822c4c0	0000000000000000	c00f400000380000	10	1
082e8440	0000000000000000	c43b600000000000	10	1
11605014	0000000000204776	0000000000000000	10	5
18468880	0000000000000000	0003c0000008e030	10	1
2844a880	0000000000000000	00000003f280c000	10	1
0004a6c1	0000000000000000	ac0a000260000000	9	1
000a6096	0000000000000000	c00ec90000000000	9	4
00246096	0000000000000000	f00ac00200000000	9	2
0024c4c2	0000000000000000	e00b400200080000	9	1
0026a4c0	0000000000000000	c48a400030000000	9	1
00286486	0000000000000000	c00e590000000000	9	2
00486096	0000000000000000	c006d90000000000	9	3
004c8641	0000000000000000	8e33200000000000	9	1
0060e640	0000000000000000	e006200200300000	9	1
0064c442	0000000000000000	e003600200080000	9	4
00686442	0000000000000000	c006790000000000	9	1
0160d084	00000001c5204300	0000000000000000	9	3
0168d004	00000001c3204006	0000000000000000	9	2
01c05007	0000000086003a24	0000000000000000	9	2
01e05090	00000001c5000740	0000000000000000	9	1
08062a81	0000000000000000	940a800020008800	9	1
0822c441	0000000000000000	800f600000280000	9	1
18426201	0000000000000000	0006a90000260000	9	1
18462006	0000000000000000	0002e2400000c800	9	4
20c0a680	0000000000010000	0000000171010600	9	1
21a0d100	0000000107100306	0000000000000000	9	1
28e01408	0000000030830512	0000000000000000	9	1
31485004	0000000000205876	0000000000000000	9	1
31a05002	0000000000100776	0000000000000000	9	2
000ca641	0000000000000000	8e1a200000000000	8	1
0020360b	0000000e30430000	0000000000000000	8	3
0024e442	0000000000000000	e00a600200000000	8	1
002ac442	0000000000000000	c00f600000000000	8	2
002e2086	0000000000000000	c40ac04000000000	8	2
004c84d0	0000000000000000	cc23400000000000	8	2
006a6003	0000000000000000	8006e90000000000	8	1
0080a649	00000000204a8000	0800040040000000	8	1
00e01419	0000000630c30000	0000000000000000	8	1
01605604	0000000008000736	0000000000000000	8	4
0160d044	00000001c7204000	0000000000000000	8	2
082a4481	0000000000000000	800f490000000000	8	1
0842e201	0000000000000000	9006a00000220000	8	1
08e05408	0000000630000512	0000000000000000	8	1
10413209	0000001e00470000	0000000000000000	8	1
1041a209	0000001a00478000	0000000000000000	8	1
11601424	00000000000007b6	0000000000000000	8	22
18412209	0000001e00078000	0000000000000000	8	1
18e01408	0000000600030512	0000000000000000	8	1
19c04044	0000000000003c71	0000000000000000	8	9
21481406	00000000088010b6	0000000000000000	8	1
21a0d080	00000001c5100300	0000000000000000	8	1
21a8d000	00000001c3100006	0000000000000000	8	1
31c84002	0000000000001877	0000000000000000	8	4
0000e6c1	0000000000000000	a00e000200200000	7	1
000c86c1	0000000000000000	8c2b000000000000	7	1
000ca4c2	0000000000000000	cc0a400000000000	7	5
002c6016	0000000000000000	c00ae00000000000	7	4
004ea201	0000000000000000	8612a00000000000	7	1
00601649	0000000c30c20000	0000000000000000	7	2
006ea001	0000000000000000	8412e00000000000	7	1
00c82682	0000000000000000	0c40059000000000	7	2
0128d084	00000001c1304000	0000000000000000	7	4
01a0d042	00000001c7100000	0000000000000000	7	6
01e09240	00000001c7000008	0000000000000000	7	1
0806c281	0000000000000000	900b800000080000	7	1
0846c081	0000000000000000	9003c00000080000	7	1
0846e800	0000000000000000	d002e00000000000	7	1
084ca880	0000000000000000	cc02c00000000000	7	1
08e01448	0000000430820410	0000000000000000	7	1
1024c007	0000000000000000	000be00000080000	7	1
10482609	0000001e00400000	0000140000000000	7	1
10488cc0	0000000000000000	0007449000000000	7	1
10605608	0000000e00000512	0000000000000000	7	3
11405284	0000000000206740	0000000000000000	7	3
11681044	00000000002040f8	0000000000000000	7	4
1800b209	0000001a000f0000	0000000000000000	7	1
18062a80	0000000000000000	000a80400000c800	7	1
1842e001	0000000000000000	0006e00000220000	7	1
18442a80	0000000000000000	000280600000c800	7	1
18613200	0000000e00070008	0000000000000000	7	1
1940d800	0000000000006b06	0000000000000000	7	1
2000a649	00000000204a8000	0000000240000000	7	1
2040a4c8	0000000000000000	0000000350110200	7	1
2040a609	0000000020438000	0000000240000000	7	1
2080a609	00000000204b8000	0000000040000000	7	1
2080c524	0000000020088306	0000000000000000	7	1
28605408	0000000038000512	0000000000000000	7	1
30601428	0000000000430512	0000000000000000	7	4
3180d002	0000000000102b06	0000000000000000	7	2
0008a649	0000001800480000	0800040000000000	6	1
002cc083	0000000000000000	800bc00000000000	6	5
00706007	0000000000000000	3000180000060000	6	3
00708125	0000000000000000	3000000008020180	6	1
0080c525	0000000220088204	0000000000000000	6	1
0160142c	0000000008800512	0000000000000000	6	34
01611640	00000000088004b0	0000000000000000	6	4
0806e201	0000000000000000	900aa00000000000	6	1
080ac281	0000000000000000	800f800000000000	6	1
08407209	0000001e30000000	0000000000000000	6	1
08603049	0000000c30060000	0000000000000000	6	1
08685408	0000000e08000012	0000000000000000	6	1
08a05444	0000000430000430	0000000000000000	6	3
10086609	0000001e00080000	0000100000000000	6	1
1008a609	0000001a00480000	0000040000000000	6	1
1060e440	0000000000000000	0006600000300000	6	1
10681608	0000000e00400012	0000000000000000	6	1
1080a609	00000002004b8000	0000000000000000	6	1
10e09408	0000000200430102	0000000000000000	6	1
1806a880	0000000000000000	000ac0000000c000	6	1
18609408	0000000a00030102	0000000000000000	6	1
19e01040	00000000000004f8	0000000000000000	6	1
206484c0	0000000000000000	0000000278080000	6	1
20884524	0000000000081036	0000000000000000	6	6
20e09408	0000000020430102	0000000000000000	6	1
29405408	0000000008001512	0000000000000000	6	1
30c0a408	0000000000438000	0000000000010200	6	1
31681008	000000000020405a	0000000000000000	6	1
31c04082	0000000000002741	0000000000000000	6	6
38805408	0000000000081512	0000000000000000	6	1
38c04408	0000000000009512	0000000000000000	6	1
0020b249	0000000820460000	0000000000000000	5	1
0020e449	0000000820008000	2000000200000000	5	1
00681609	0000000e00c00000	0000000000000000	5	1
00807407	0000000630080000	0000000000000000	5	2
00c06609	0000000630008000	0000000000000000	5	12
00ea2402	0000000000000000	0450018000000000	5	1
01401a85	0000000084002280	0000000000000000	5	1
01611601	00000000008002a4	0000000000000000	5	5
01681045	00000000828000a0	0000000000000000	5	1
0840e209	0000001a20008000	0000000000000000	5	2
08686408	0000000e00000000	4000100000000000	5	1
08806449	0000000430088000	0000000000000000	5	1
088a0681	0000000000000000	0460018000000000	5	4
08a05049	0000000436000000	0000000000000000	5	1
08c06441	0000000430008000	0000010000000000	5	8
08e81408	0000000600800012	0000000000000000	5	1
1000e609	0000001a00088000	0000000000000000	5	2
100ea440	0000000000000000	000a620000000000	5	1
10443016	0000000000000000	000002200000c800	5	4
104c2086	0000000000000000	0002c06000000000	5	3
104c8c40	0000000000000000	0003620000000000	5	2
10a0d404	0000000200000306	0000000000000000	5	5
10e01448	0000000400420410	0000000000000000	5	1
1120d084	0000000000304300	0000000000000000	5	3
18601448	0000000c00020410	0000000000000000	5	1
18e05040	0000000400000470	0000000000000000	5	1
19601048	0000000000004458	0000000000000000	5	1
2028140e	0000000008c00012	0000000000000000	5	6
20406096	0000000000000000	0000000200360000	5	1
20481096	0000000000000000	0000000004002016	5	2
22081017	0000000000000000	000000000400001e	5	10
28606408	0000000030008000	0000000200100000	5	1
28804449	0000000030089000	0000000000000000	5	1
28c02409	0000000030038000	0000000000000000	5	1
3000b209	00000000004f0000	0000000000000000	5	1
3128d000	0000000000304006	0000000000000000	5	1
316010c0	00000000002044c0	0000000000000000	5	1
