class	least_mask_hex	multiplicity	cover	w2	w1	w0
0	02123083	690	1	0000000000000000	0000000000000000	0000000000000001
1	12861006	124	1	0000000000000000	0000000000000000	0000000000000002
2	12c08007	97	1	0000000000000000	0000000000000000	0000000000000004
3	32c80003	13	2	0000000000000000	0000000000000000	0000000000000006
4	32c01003	2	3	0000000000000000	0000000000000000	0000000000000007
5	0200a127	908	1	0000000000000000	0000000000000000	0000000000000008
6	0a022a81	19	2	0000000000000000	0000000000000000	0000000000000009
7	12808321	53	2	0000000000000000	0000000000000000	000000000000000c
8	32880007	26	3	0000000000000000	0000000000000000	000000000000000e
9	12048017	566	1	0000000000000000	0000000000000000	0000000000000010
10	12061007	163	2	0000000000000000	0000000000000000	0000000000000012
11	12408125	42	2	0000000000000000	0000000000000000	0000000000000014
12	32480007	13	3	0000000000000000	0000000000000000	0000000000000016
13	32009007	30	3	0000000000000000	0000000000000000	000000000000001c
14	32080017	16	4	0000000000000000	0000000000000000	000000000000001e
15	01648124	355	1	0000000000000000	0000000000000000	0000000000000020
16	00b0812c	27	1	0000000000000000	0000000000000000	0000000000000040
17	105084c1	127	1	0000000000000000	0000000000000000	0000000000000100
18	10f08801	2	2	0000000000000000	0000000000000000	0000000000000180
19	30f08800	1	3	0000000000000000	0000000000000000	00000000000001c0
20	10a084c8	20	1	0000000000000000	0000000000000000	0000000000000200
21	30c08441	1	2	0000000000000000	0000000000000000	0000000000000500
22	30a22480	1	2	0000000000000000	0000000000000000	0000000000000600
23	30a084c0	2	3	0000000000000000	0000000000000000	0000000000000700
24	00163281	707	1	0000000000000000	0000000000000000	0000000000000800
25	00523281	29	2	0000000000000000	0000000000000000	0000000000000801
26	1012b088	82	1	0000000000000000	0000000000000000	0000000000001000
27	1052a088	28	2	0000000000000000	0000000000000000	0000000000001040
28	18523080	9	3	0000000000000000	0000000000000000	0000000000001801
29	10cc8003	43	1	0000000000000000	0000000000000000	0000000000002000
30	308c0007	39	2	0000000000000000	0000000000000000	0000000000002002
31	30c88003	1	2	0000000000000000	0000000000000000	0000000000002004
32	104c9003	91	2	0000000000000000	0000000000000000	0000000000002010
33	300c0017	109	3	0000000000000000	0000000000000000	0000000000002012
34	30480096	1	4	0000000000000000	0000000000000000	0000000000002016
35	10063288	99	1	0000000000000000	0000000000000000	0000000000004000
36	18068888	11	2	0000000000000000	0000000000000000	0000000000004020
37	0006b281	59	1	0000000000000000	0000000000000000	0000000000008000
38	00463281	47	2	0000000000000000	0000000000000000	0000000000008800
39	08c23081	1	3	0000000000000000	0000000000000000	0000000000008801
40	10c49003	17	2	0000000000000000	0000000000000000	000000000000a000
41	30449003	10	3	0000000000000000	0000000000000000	000000000000a010
42	30c41003	1	4	0000000000000000	0000000000000000	000000000000a802
43	1006b280	88	2	0000000000000000	0000000000000000	000000000000c000
44	10463082	74	3	0000000000000000	0000000000000000	000000000000c800
45	30c49002	6	3	0000000000000000	0000000000000000	000000000000e000
46	10c23480	27	1	0000000000000000	0000000000000000	0000000000010000
47	1082a488	22	2	0000000000000000	0000000000000000	0000000000010200
48	3080a4c0	8	3	0000000000000000	0000000000000000	0000000000010600
49	308086c0	2	4	0000000000000000	0000000000000000	0000000000010700
50	18423088	2	3	0000000000000000	0000000000000000	0000000000015000
51	18c23080	1	6	0000000000000000	0000000000000000	000000000001d801
52	1050c803	138	1	0000000000000000	0000000000000000	0000000000020000
53	1052a801	8	2	0000000000000000	0000000000000000	0000000000020080
54	2072a080	4	3	0000000000000000	0000000000000000	00000000000200c0
55	18528201	10	3	0000000000000000	0000000000000000	0000000000020180
56	1052a880	5	4	0000000000000000	0000000000000000	00000000000210c0
57	20106407	266	1	0000000000000000	0000000000000000	0000000000040000
58	38320480	1	2	0000000000000000	0000000000000000	0000000000040100
59	20126083	117	2	0000000000000000	0000000000000000	0000000000060000
60	28702003	1	3	0000000000000000	0000000000000000	0000000000060080
61	2006c441	6	1	0000000000000000	0000000000000000	0000000000080000
62	1000e4c8	144	1	0000000000000000	0000000000000000	0000000000100000
63	10622488	22	2	0000000000000000	0000000000000000	0000000000100200
64	18422488	14	3	0000000000000000	0000000000000000	0000000000110200
65	38422088	1	6	0000000000000000	0000000000000000	0000000000115240
66	2002e441	3	1	0000000000000000	0000000000000000	0000000000200000
67	2002e281	5	2	0000000000000000	0000000000000000	0000000000220000
68	20026681	6	2	0000000000000000	0000000000000000	0000000000240000
69	20226083	12	3	0000000000000000	0000000000000000	0000000000260000
70	2002c4c1	2	2	0000000000000000	0000000000000000	0000000000280000
71	2002e4c0	12	2	0000000000000000	0000000000000000	0000000000300000
72	2042e280	5	3	0000000000000000	0000000000000000	0000000000320000
73	20226482	28	3	0000000000000000	0000000000000000	0000000000340000
74	20426086	20	4	0000000000000000	0000000000000000	0000000000360000
75	2062c440	3	3	0000000000000000	0000000000000000	0000000000380000
76	002094c3	599	1	0000000000000000	0000000000000000	0000000000400000
77	0842b081	1	2	0000000000000000	0000000000000000	0000000000408000
78	08423281	4	4	0000000000000000	0000000000000000	0000000000408801
79	18423480	2	2	0000000000000000	0000000000000000	0000000000410000
80	1842b080	1	5	0000000000000000	0000000000000000	000000000041d000
81	18423280	3	7	0000000000000000	0000000000000000	000000000041d801
82	3042a480	1	6	0000000000000000	0000000000000000	0000000000710600
83	30622480	1	6	0000000000000000	0000000000000000	0000000000740600
84	30422680	3	7	0000000000000000	0000000000000000	0000000000750600
85	2421220a	244	1	0000000000000000	0000000000000000	0000000000800000
86	240086c1	629	1	0000000000000000	0000000000000000	0000000001000000
87	24212282	48	2	0000000000000000	0000000000000000	0000000001800000
88	0401b288	622	1	0000000000000000	0000000000000000	0000000002000000
89	24018328	394	2	0000000000000000	0000000000000000	0000000002800000
90	24012216	58	3	0000000000000000	0000000000000000	0000000003800000
91	02848321	140	1	0000000000000000	0000000000000000	0000000004000000
92	228c0007	22	2	0000000000000000	0000000000000000	0000000004000002
93	02c08321	35	2	0000000000000000	0000000000000000	0000000004000004
94	22c80016	5	3	0000000000000000	0000000000000000	0000000004000006
95	02808127	30	3	0000000000000000	0000000000000000	000000000400000c
96	22881007	3	4	0000000000000000	0000000000000000	000000000400000e
97	02048127	182	2	0000000000000000	0000000000000000	0000000004000010
98	220c0017	51	3	0000000000000000	0000000000000000	0000000004000012
99	02408127	36	3	0000000000000000	0000000000000000	0000000004000014
100	22480096	6	4	0000000000000000	0000000000000000	0000000004000016
101	02008327	45	4	0000000000000000	0000000000000000	000000000400001c
102	22081017	10	5	0000000000000000	0000000000000000	000000000400001e
103	208c9003	2	2	0000000000000000	0000000000000000	0000000004002000
104	200c8017	11	3	0000000000000000	0000000000000000	0000000004002010
105	200c1017	11	4	0000000000000000	0000000000000000	0000000004002012
106	20481096	2	5	0000000000000000	0000000000000000	0000000004002016
107	001684c1	378	1	0000000000000000	0000000000000000	0000000008000000
108	005284c1	226	2	0000000000000000	0000000000000000	0000000008000100
109	00f08103	7	3	0000000000000000	0000000000000000	0000000008000180
110	28560081	1	2	0000000000000000	0000000000000000	0000000008000800
111	20708103	11	4	0000000000000000	0000000000000000	0000000008020180
112	28520481	1	3	0000000000000000	0000000000000000	0000000008040100
113	2026048a	25	1	0000000000000000	0000000000000000	0000000010000000
114	20a2048a	22	2	0000000000000000	0000000000000000	0000000010000200
115	2022248a	31	3	0000000000000000	0000000000000000	0000000010100200
116	20662088	2	2	0000000000000000	0000000000000000	0000000010800000
