LRC14_SIGNATURE372_DETACHED_LITERAL_AUDIT_V1
JOINT 421 FNV 20d63dd42fe8150e FIBRE 54 FNV 47ab2af18f07ff59 WITNESS 4 FNV 2f59f31ad0512a75
DELETE_INDICES 20 50 399 401 DELETE_MASKS 19801c80 19104884 3880b200 118c0540 APPEND 19801608 11842450 01180c85 11803211
REBUILT 421 FNV f63671c303bbafe4 BODY_UNIVERSE 14307150 CHECKS 406361173 MAX_PREFIX 421 FAILURES 0 ROW_FNV 7239db05659ba187
PAIR 27,186 GRID 1696427825732640 CELLS 7549 FAILURE_CLASSES 2298 PAIR_TICKS 1246044913473360 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 8055290006946 MIN_MASK 0b044881 MAX_MARGIN 1547063440472466 LEDGER_FNV 1935cbea4ce5c9f2
PAIR 28,38 GRID 18241159416480 CELLS 7261 FAILURE_CLASSES 2196 PAIR_TICKS 13401668142720 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 37057227480 MIN_MASK 21948006 MAX_MARGIN 22175336156400 LEDGER_FNV e83e7fb6a45b3472
PAIR 28,72 GRID 18241159416480 CELLS 7285 FAILURE_CLASSES 2266 PAIR_TICKS 13401668142720 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 161998992792 MIN_MASK 30c48500 MAX_MARGIN 18006247147392 LEDGER_FNV 90e74ce1e4db3ac9
PAIR 28,77 GRID 18241159416480 CELLS 7343 FAILURE_CLASSES 2219 PAIR_TICKS 13325522301000 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 809654264874 MIN_MASK 19c00c40 MAX_MARGIN 20618871904512 LEDGER_FNV b09ef53ae701fafc
PAIR 28,79 GRID 1441051593901920 CELLS 7345 FAILURE_CLASSES 2226 PAIR_TICKS 1058731783274880 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 58211844184368 MIN_MASK 01e08c40 MAX_MARGIN 1577004955381044 LEDGER_FNV 4a9b427685bfeef7
PAIR 28,127 GRID 2316627245892960 CELLS 7441 FAILURE_CLASSES 2254 PAIR_TICKS 1702011854125440 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 2278325278152 MIN_MASK 28820c81 MAX_MARGIN 2361172034427822 LEDGER_FNV fda7152bce92dde5
PAIR 28,161 GRID 419546666579040 CELLS 7497 FAILURE_CLASSES 2224 PAIR_TICKS 307493830163520 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 18711959078232 MIN_MASK 08c0a980 MAX_MARGIN 494467556222304 LEDGER_FNV 9f5a6842bb8a24f7
PAIR 28,232 GRID 18241159416480 CELLS 7637 FAILURE_CLASSES 2268 PAIR_TICKS 13401668142720 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 268604389872 MIN_MASK 28820c81 MAX_MARGIN 24241232353968 LEDGER_FNV 7861f44b20e08be9
PAIR 28,263 GRID 4797424926534240 CELLS 7713 FAILURE_CLASSES 2258 PAIR_TICKS 3524638721535360 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 181643634618642 MIN_MASK 19c00c40 MAX_MARGIN 5235351911871354 LEDGER_FNV eddd4f556afea161
PAIR 28,311 GRID 5673000578525280 CELLS 7809 FAILURE_CLASSES 2296 PAIR_TICKS 4167918792385920 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 671510888315568 MIN_MASK 08c0a980 MAX_MARGIN 6935754558111624 LEDGER_FNV 351ee37fa658deca
PAIR 28,385 GRID 18241159416480 CELLS 7959 FAILURE_CLASSES 2290 PAIR_TICKS 13396591753272 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 151356238488 MIN_MASK 18868880 MAX_MARGIN 19681557720930 LEDGER_FNV 331d025390cd1538
PAIR 28,462 GRID 18241159416480 CELLS 8029 FAILURE_CLASSES 2354 PAIR_TICKS 13424229873600 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 901556680248 MIN_MASK 03648840 MAX_MARGIN 19412379371448 LEDGER_FNV d5a1427fc3e17f1d
PAIR 28,495 GRID 18241159416480 CELLS 8169 FAILURE_CLASSES 2331 PAIR_TICKS 13401668142720 ACTIVITY_TESTS 421 EQUALITIES 0 MIN_MARGIN 469704769884 MIN_MASK 08c0a980 MAX_MARGIN 18223149700224 LEDGER_FNV 4b428dc9808a4540
