scenario,deleted,obligations,obligation_fnv,witnesses,witness_fnv,deck_size,deck_fnv
1,1,32,1b9be30b945d1f97,2,bba0d34db7d3b89a,422,b536ea997bb20d4f
2,21,235,9d3ecac607ebedc9,20,3257b4f3c1de01bb,420,fdcf8f462e2c8eca
3,22,286,2cfa241851da3834,21,d8603c538cd7df54,420,16cf8895edb612cb
4,1,4,62caa0b8e1f1041d,1,7da398510a109775,421,a3ab67436adb3ee3
5,2,36,3ed04efdbe393203,2,10ee6d9993fd08e9,421,957400df69371e0d
6,22,243,3f75a2c0b58549d,21,ade2053aa736d266,420,8ff4b1effc800cc6
7,23,294,16648dce4b7da47c,22,e6081eab35b0ac98,420,876ab5647cb7f8ba
8,1,15,1c270637bfbf5901,1,6e355f8a61f632c6,421,3a1f42b711e10db
9,2,47,5debbc0692baba67,3,8f67299b4e40d90d,422,ad1bd6415bb989ea
10,22,275,f736e0cc3c1016ff,21,34d939a23523350a,420,4ae9919df1fe0f19
11,23,327,d92a0f99d3ed124f,23,ed6f9cda13677a11,421,10da415b642ab388
12,2,19,fafd0fe40de894a1,2,d7579dbe48bc8a2a,421,c1aefac2e285412e
13,3,51,25dfd2098af514fb,3,53dae8b7ae09e55e,421,1a4436a0bc24ebe8
14,23,283,fd46ee653082bd8b,21,a00970c85574b188,419,c9ec495e03506286
15,24,335,20473d339f7be45b,22,7169e74575619af8,419,d6459ca1eb5b4748
16,1,8,e3fd616a4aa21839,1,980d14a50f5cce6,421,6ccea21f07c68a4a
17,2,40,e420c69acefebaff,3,fd523440a050f029,422,adc2f2e8c90283e3
18,22,245,a006b51f85b3da97,22,29c97bba94bea809,421,3c2c62c4524f555b
19,23,296,6bbcc0a4a0ab3606,23,a493d88df53cf3f2,421,db0002b0eceb63e6
20,2,12,9a135354ae9dc89d,2,ec7d79e1453cb658,421,f27f7ecdba34c68d
21,3,44,1564644e0489c92f,3,717f3fa0a4ae295e,421,14050ded3d33e0d9
22,23,253,7c682768997ee8b,22,b6e621d15d7151f9,420,1d445ff7bde29b9a
23,24,304,7d261fbf23f5592e,24,10951505f34cbd9,421,b6b01d372fc59610
24,2,23,d7b9f7e04703c6f1,2,7ce775123db3cde9,421,e10cef4f631159bb
25,3,55,64f0473ef61540a3,4,357a19cabb99e1a6,422,52bcb9376e010da
26,23,285,1a874d794c74a169,20,b5d7c3dcb6c14594,418,d99837b04ccca8c8
27,24,337,c9114d7a5b3ad041,24,8f81baf7dc8f8585,421,80d65da88b21729b
28,3,27,1de0fe4d6b7215d,4,c12411bd5ba508d1,422,c043c0dd9385a1a6
29,4,59,8d12211b8be652fb,5,4c15ca64bcc9193a,422,d8078fdb46d728bb
30,24,293,7debe917b865226d,22,e65b02c394ec5793,419,cd33da488af5b5ba
31,25,345,bc412eb6cd971bdd,24,573aa96dd1357624,420,93d183b5c7d0ab
32,1,22,4a5fb39076527168,2,66efb34937743a7b,422,594483a9167abd39
33,2,55,7e020e5026526d6f,4,8b2672384b44bc46,423,96cfb99e3b4c8396
34,22,271,e898db58db893a41,23,856eee931a6788a7,422,83a6f2a5c55ee33b
35,23,323,64d5fda3854d2195,24,1380b9f3e3e09756,422,ae879297640fdaf4
36,2,26,40fd24d9905fc298,3,1302af2b128556b4,422,6ba1193499a06083
37,3,59,82897ec833572eab,4,695e7646b662bd40,422,1375b0afc8671505
38,23,279,e2c0da9002b10f7d,22,fdcabd427a369ef2,420,466518aa19245b37
39,24,331,8a30ae3b8e9d4d29,24,fc5b356207b22b2,421,1d5e3bf7db343345
40,2,37,43307cd6a6f91078,4,755b81e1978a66e8,423,bb27c75e685ba458
41,3,70,6f9190d0f582ab27,6,1617ab6bfeee0c17,424,e903dde126145285
42,23,311,eb0515629c74268f,22,298ee225904fba41,420,b4e47f38a396752b
43,24,364,e55ed567e180b692,24,438de443bbba1371,421,c0629ba0516f00ed
44,3,41,6ef22f447a062428,5,7f15ed7fb30dd313,423,f611ee73ef8e2f8a
45,4,74,6c98de1d399788b,6,dbe41489fdbd8be4,423,4cf08369e2c2100f
46,24,319,ce2e13bf0f558143,22,ab82caca37a4b787,419,57bfd1728613d250
47,25,372,ddc15890a785c5e2,25,e6ad9e266b41cd35,421,b948810dc7997eb4
48,2,30,31cc172a6db69e18,3,eb25f9ddb2e27538,422,b0b4e5a465518365
49,3,63,c09a99cdc138c3f,5,a21353c982436efc,423,d92c436b7abbfe87
50,23,281,68caf1637da96187,22,d7c8dd06069bda0a,420,1f998e68987ebca1
51,24,333,29ce9a0e50b18bbf,23,d4e3ea9731542c3c,420,95350f71952c2925
52,3,34,37ced5bd03048a0c,4,667a2cacfbf1152c,422,85a03d7233d1b138
53,4,67,3ee160f3a88ca18f,5,fa51dea01b843cab,422,aece63cc64ff699
54,24,289,5892cf1a72721993,22,f6ad11bed046d9ff,419,ec13b5fd4df4ae3d
55,25,341,5bad249032687ae3,24,b4f77b3b602a3c97,420,aad7ff90645de95b
56,3,45,5c409b31bf8c0f9c,5,2ca41fb67a6a84c6,423,76ece7b6162927fd
57,4,78,11e3b9905316ca03,7,b078e4ea43ea09c5,424,38259115a0f82368
58,24,321,f97d2753af1ff961,24,b265b7b7866eaba4,421,c3644b35da45c685
59,25,374,3cd86c9014f6d8dc,26,98bfd8438445d57a,422,ff47fbe0f3a61c7d
60,4,49,a35fe576f8becdc0,6,f84f7a4c9784e101,423,411eb66bfb701a2b
61,5,82,e45789f1d610ffcb,7,545a986cab1e4ed3,423,eb53bbe6d83c61af
62,25,329,7fdc2c90878df74d,24,bb8ec08748527fa2,420,a0f172a128a966be
63,26,382,317fc1fb836d311c,26,e18395953952cc93,421,1f9c0643393a84c1
64,2,20,534bd49ebf6aa688,3,ab70d4857912a764,422,e1529a142375e9c2
65,3,53,d2e195259740079e,5,c6c6607e5929c93e,423,ac8904f2eb0ddf72
66,22,246,3d2f6f6011ae0b9,21,25f22c202141c516,420,93228558f2d3e272
67,23,297,ef9c1ccaedc04e20,22,5e417e47d353fa4a,420,94da5d7ba0da4fd4
