q,r,grid,cells,pair_ticks,active_base,active_base_fnv,repair_active,repair_margin,equalities,body_checks,base_failures,base_failure_fnv,nested_failures,nested_failure_fnv,min_active_margin,max_inactive_margin
220,644,419546666579040,8765,308238367282560,7323,875be4e7847c9638,1,93021510230964,0,442463129,0,cbf29ce484222325,0,cbf29ce484222325,75438325494,-28836179064
256,644,6712746665264640,8877,4931813876520960,4124,c277f65c86b786a6,1,96103594051038,0,538433386,2,936a8b25300381b7,0,cbf29ce484222325,2315344434858,-1378462896720
258,644,18040506662898720,8877,13254249793150080,8503,8854b32f1c13026f,1,5663702128088970,0,440949644,0,cbf29ce484222325,0,cbf29ce484222325,1609103879334,-207165212226
294,644,2936826666053280,8953,2157668570977920,7877,fad23efaf4fbef90,1,588621750281586,0,449955203,0,cbf29ce484222325,0,cbf29ce484222325,176339204748,-283988984202
366,644,25592346661321440,9085,18802540404236160,6179,16e6d70245b4114d,1,3203248255438770,0,478458609,0,cbf29ce484222325,0,cbf29ce484222325,1273586526828,-2243881432674
416,644,839093333158080,9197,616476734565120,7622,bbaa459874c20699,1,270226250889210,0,468824891,0,cbf29ce484222325,0,cbf29ce484222325,46809214452,-135467279892
512,644,13425493330529280,9389,9863627753041920,5971,f67a338296af4e68,1,2441985026036976,0,492253426,0,cbf29ce484222325,0,cbf29ce484222325,152408626524,-3723745887792
220,643,11729065504796640,8817,8617277692158408,6839,abe1eb95cc04e6d8,1,2323455257215890,0,462497630,0,cbf29ce484222325,0,cbf29ce484222325,1256474169594,-341832994902
256,643,187665048076746240,8929,137876292051948450,4102,612102a3909b12ad,1,15263718302078190,0,549126183,0,cbf29ce484222325,0,cbf29ce484222325,53127812300598,-16955311133880
282,643,551266078725442080,8969,405011502717341520,7804,c0b1728f595cb534,1,97568815864575510,0,453684644,0,cbf29ce484222325,0,cbf29ce484222325,17506065819564,-95004721406826
294,643,82103458533576480,9005,60320908310382720,6910,4dea48d30c210dc9,1,16101841396985442,0,466509581,0,cbf29ce484222325,0,cbf29ce484222325,4206239301474,-2631036052386
332,643,973512436898121120,9073,715233906310243320,7090,d175cbd67367316,1,414503854207285374,0,461741588,0,cbf29ce484222325,0,cbf29ce484222325,41968385483346,-45847595643948
338,643,152477851562356320,9089,112024472414888880,8125,6b6db44a0b078dcd,1,73335416421307572,0,447606127,0,cbf29ce484222325,0,cbf29ce484222325,84516117151662,-5140241244810
366,643,715472995792595040,9137,525653319338106960,5817,b48e1945cc82f09a,1,110468169286578936,0,490551423,0,cbf29ce484222325,0,cbf29ce484222325,33705913294998,-6935392407384
372,643,363601030648695840,9137,267135482111217720,7096,52b6982316f939ac,1,91844408579921172,0,476205073,0,cbf29ce484222325,0,cbf29ce484222325,61746169406418,-10311617216880
384,643,93832524038373120,9185,68938173170556690,6458,6aec25dded694133,1,3452518189052352,0,478368923,0,cbf29ce484222325,0,cbf29ce484222325,1424009022282,-660206453886
412,643,1208093746994053920,9233,887578986357063000,8428,1088d72eebaa5a0,1,490938258732404742,0,434520251,0,cbf29ce484222325,0,cbf29ce484222325,578842017808446,-76221447865920
416,643,23458131009593280,9249,17234550600795990,6633,c253622b621328e2,1,7519115077868898,0,484527511,0,cbf29ce484222325,0,cbf29ce484222325,8021405826,-611647184862
