id,label,deleted,witnesses,obligations,obligation_fnv,deck_size,deck_fnv,candidates,common,common_fnv
1,greedy,1,2,32,1b9be30b945d1f97,422,b536ea997bb20d4f,67,41,8dd7638659c6ab84
2,greedy,21,20,235,9d3ecac607ebedc9,420,fdcf8f462e2c8eca,344,245,5ccda9f9133f0e10
3,greedy,22,21,286,2cfa241851da3834,420,16cf8895edb612cb,426,289,1040dbbbe3dfea3
4,greedy,1,1,4,62caa0b8e1f1041d,421,a3ab67436adb3ee3,39,6,d143de2a5938f005
5,greedy,2,2,36,3ed04efdbe393203,421,957400df69371e0d,106,85,231e9b24b69c2111
6,greedy,22,21,243,3f75a2c0b58549d,420,8ff4b1effc800cc6,383,289,eec0f096dd74cd83
7,greedy,23,22,294,16648dce4b7da47c,420,876ab5647cb7f8ba,465,324,f8cb5d3fa86ca7c8
8,greedy,1,1,15,1c270637bfbf5901,421,3a1f42b711e10db,37,29,6d8c074819e8806c
9,greedy,2,3,47,5debbc0692baba67,422,ad1bd6415bb989ea,106,85,2bab8d73645fa133
10,greedy,22,21,275,f736e0cc3c1016ff,420,4ae9919df1fe0f19,383,266,d4a3d31cab6b4aec
11,greedy,23,23,327,d92a0f99d3ed124f,421,10da415b642ab388,467,278,28757b58e200d0b7
12,greedy,2,2,19,fafd0fe40de894a1,421,c1aefac2e285412e,76,32,bfdf3b8c6b484e1f
13,greedy,3,3,51,25dfd2098af514fb,421,1a4436a0bc24ebe8,145,112,38f18619af0042b4
14,greedy,23,21,283,fd46ee653082bd8b,419,c9ec495e03506286,422,334,840dcb4c9d5d234c
15,greedy,24,22,335,20473d339f7be45b,419,d6459ca1eb5b4748,506,241,f06477b80aa46fb5
16,greedy,1,1,8,e3fd616a4aa21839,421,6ccea21f07c68a4a,36,35,88da63ce3664d42b
17,greedy,2,3,40,e420c69acefebaff,422,adc2f2e8c90283e3,104,90,eaa07d351ec7dc2b
18,greedy,22,22,245,a006b51f85b3da97,421,3c2c62c4524f555b,381,209,fcece3d2385f117f
19,greedy,23,23,296,6bbcc0a4a0ab3606,421,db0002b0eceb63e6,464,317,4389ac34940ce5d0
20,greedy,2,2,12,9a135354ae9dc89d,421,f27f7ecdba34c68d,75,51,ce4db36389a1a0ce
21,greedy,3,3,44,1564644e0489c92f,421,14050ded3d33e0d9,143,119,3ba9de173ce0bc76
22,greedy,23,22,253,7c682768997ee8b,420,1d445ff7bde29b9a,420,306,489e7899304cb0d0
23,greedy,24,24,304,7d261fbf23f5592e,421,b6b01d372fc59610,503,308,f2689103b300c69c
24,greedy,2,2,23,d7b9f7e04703c6f1,421,e10cef4f631159bb,73,64,40afe36aca304ac6
