scenario,q,r,deck_size,grid,cells,pair_ticks,failure_patterns,min_mask,min_mass,min_margin
63,2,144,421,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
87,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
91,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
110,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
102,2,144,419,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
131,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
130,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
83,2,144,420,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
133,2,144,421,18241159416480,7389,13427520126020,2277,1603c001,1158928824926,47878304418
63,4,36,421,18241159416480,7181,13318941796160,2224,08506205,1212198009766,3403836949338
87,4,36,420,18241159416480,7181,13318941796160,2224,08506205,1212198009766,3403836949338
110,4,36,420,18241159416480,7181,13318941796160,2224,01461405,1160364445316,138322388988
102,4,36,419,18241159416480,7181,13318941796160,2224,22441481,1203174690550,2835367838730
63,4,62,421,565475941910880,7253,416940786662400,2239,1a101c10,36467565320684,35552847559572
87,4,62,420,565475941910880,7253,416940786662400,2239,0002501f,35959785247524,3562702950492
63,4,116,421,18241159416480,7357,13478689224000,2217,210804a5,1177646871566,1227115242738
87,4,116,420,18241159416480,7357,13478689224000,2217,210804a5,1177646871566,1227115242738
110,4,116,420,18241159416480,7357,13478689224000,2217,01461405,1165265171954,447068167182
102,4,116,419,18241159416480,7357,13478689224000,2217,210804a5,1177646871566,1227115242738
63,6,34,421,18241159416480,7205,13489260744960,2240,02423007,1161222243904,192363700032
87,6,34,420,18241159416480,7205,13489260744960,2240,027c0840,1160985201428,177430024044
91,6,34,420,18241159416480,7205,13489260744960,2240,02423007,1161222243904,192363700032
17,6,34,422,18241159416480,7205,13489260744960,2240,02423007,1161222243904,192363700032
83,6,34,420,18241159416480,7205,13489260744960,2240,02423007,1161222243904,192363700032
63,6,215,421,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
87,6,215,420,784369854908640,7561,576333774896880,2261,01a02407,50145386958874,21679958774502
91,6,215,420,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
110,6,215,420,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
102,6,215,419,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
131,6,215,420,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
83,6,215,420,784369854908640,7561,576333774896880,2261,107600c0,50072231366716,17071156468548
132,6,215,420,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
133,6,215,421,784369854908640,7561,576333774896880,2261,30960500,50206287279278,25516678959954
63,7,161,421,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
87,7,161,420,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
91,7,161,420,419546666579040,7455,307493830163520,2257,02809125,26883099203830,15448583525130
110,7,161,420,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
102,7,161,419,419546666579040,7455,307493830163520,2257,02409125,26879270792406,15207393605418
131,7,161,420,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
130,7,161,420,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
132,7,161,420,419546666579040,7455,307493830163520,2257,0010a5d0,27246782000660,38360599725420
133,7,161,421,419546666579040,7455,307493830163520,2257,06418124,27261872300176,39311288594928
63,7,204,421,18241159416480,7531,13401668142720,2312,03648840,1177037841152,1188746326656
87,7,204,420,18241159416480,7531,13401668142720,2312,027c0840,1172877520802,926646144606
91,7,204,420,18241159416480,7531,13401668142720,2312,03648840,1177037841152,1188746326656
17,7,204,422,18241159416480,7531,13401668142720,2312,03648840,1177037841152,1188746326656
83,7,204,420,18241159416480,7531,13401668142720,2312,022216a0,1171552249446,843154049178
63,7,440,421,18241159416480,7947,13401668142720,2407,002490c9,1164471286048,397053355104
87,7,440,420,18241159416480,7947,13401668142720,2407,002490c9,1164471286048,397053355104
91,7,440,420,18241159416480,7947,13401668142720,2407,002490c9,1164471286048,397053355104
17,7,440,422,18241159416480,7947,13401668142720,2407,21b40108,1161437938722,205952473566
83,7,440,420,18241159416480,7947,13401668142720,2407,002490c9,1164471286048,397053355104
63,12,125,421,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
87,12,125,420,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
91,12,125,420,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
102,12,125,419,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
131,12,125,420,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
83,12,125,420,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
132,12,125,420,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
133,12,125,421,456028985412000,7397,335072725947960,2296,01b04124,29160689252108,13007481234804
63,12,179,421,3265167535549920,7513,2399146776586560,2301,30c48500,208328669616470,64036043637930
87,12,179,420,3265167535549920,7513,2399146776586560,2301,30c48500,208328669616470,64036043637930
91,12,179,420,3265167535549920,7513,2399146776586560,2301,311400d0,208097602804338,49478834473614
102,12,179,419,3265167535549920,7513,2399146776586560,2301,30c48500,208328669616470,64036043637930
