=== 2-dim GAP mu-ledger probe: G={i*d1+j*d2}, sizes covering >=13 points ===
m_P = 0.05649
 (n1,n2)   d1    d2  #pts  mu_1/7    E[U] mu>=m_P?
(13, 1)    1    50    13  0.4425  0.1266     True
(13, 1)    1    76    13  0.4425  0.1266     True
(13, 1)    1   100    13  0.4425  0.1266     True
(13, 1)    1   137    13  0.4425  0.1266     True
(13, 1)    2    77    13  0.4425  0.1266     True
(13, 1)    3   100    13  0.4425  0.1266     True
(13, 1)    1    29    13  0.4425  0.1266     True
(13, 1)    5    77    13  0.4424  0.1266     True
( 7, 2)    1    50    14  0.6202  0.1310     True
( 7, 2)    1    76    14  0.6185  0.1311     True
( 7, 2)    1   100    14  0.6197  0.1312     True
( 7, 2)    1   137    14  0.6209  0.1312     True
( 7, 2)    2    77    14  0.6205  0.1312     True
( 7, 2)    3   100    14  0.6222  0.1312     True
( 7, 2)    1    29    14  0.6180  0.1306     True
( 7, 2)    5    77    14  0.6182  0.1312     True
( 5, 3)    1    50    15  0.5661  0.1192     True
( 5, 3)    1    76    15  0.5585  0.1192     True
( 5, 3)    1   100    15  0.5649  0.1193     True
( 5, 3)    1   137    15  0.5610  0.1193     True
( 5, 3)    2    77    15  0.5634  0.1193     True
( 5, 3)    3   100    15  0.5649  0.1193     True
( 5, 3)    1    29    15  0.5756  0.1188     True
( 5, 3)    5    77    15  0.5615  0.1194     True
( 4, 4)    1    50    16  0.5730  0.1117     True
( 4, 4)    1    76    16  0.5668  0.1118     True
( 4, 4)    1   100    16  0.5699  0.1118     True
( 4, 4)    1   137    16  0.5689  0.1118     True
( 4, 4)    2    77    16  0.5689  0.1118     True
( 4, 4)    3   100    16  0.5695  0.1118     True
( 4, 4)    1    29    16  0.5747  0.1115     True
( 4, 4)    5    77    16  0.5690  0.1118     True
( 9, 2)    1    50    18  0.4239  0.0928     True
( 9, 2)    1    76    18  0.4258  0.0930     True
( 9, 2)    1   100    18  0.4264  0.0929     True
( 9, 2)    1   137    18  0.4244  0.0930     True
( 9, 2)    2    77    18  0.4253  0.0929     True
( 9, 2)    3   100    18  0.4262  0.0930     True
( 9, 2)    1    29    18  0.4203  0.0926     True
( 9, 2)    5    77    18  0.4280  0.0929     True
(11, 2)    1    50    22  0.3093  0.0719     True
(11, 2)    1    76    22  0.3058  0.0720     True
(11, 2)    1   100    22  0.3067  0.0719     True
(11, 2)    1   137    22  0.3057  0.0720     True
(11, 2)    2    77    22  0.3062  0.0720     True
(11, 2)    3   100    22  0.3068  0.0720     True
(11, 2)    1    29    22  0.3106  0.0718     True
(11, 2)    5    77    22  0.3081  0.0718     True
( 3, 5)    1    50    15  0.5653  0.1192     True
( 3, 5)    1    76    15  0.5605  0.1193     True
( 3, 5)    1   100    15  0.5635  0.1193     True
( 3, 5)    1   137    15  0.5629  0.1193     True
( 3, 5)    2    77    15  0.5621  0.1193     True
( 3, 5)    3   100    15  0.5608  0.1193     True
( 3, 5)    1    29    15  0.5682  0.1190     True
( 3, 5)    5    77    15  0.5617  0.1193     True
( 2, 7)    1    50    14  0.6226  0.1312     True
( 2, 7)    1    76    14  0.6189  0.1312     True
( 2, 7)    1   100    14  0.6200  0.1312     True
( 2, 7)    1   137    14  0.6208  0.1312     True
( 2, 7)    2    77    14  0.6200  0.1312     True
( 2, 7)    3   100    14  0.6212  0.1312     True
( 2, 7)    1    29    14  0.6248  0.1311     True
( 2, 7)    5    77    14  0.6200  0.1312     True

worst GAP mu = 0.3057 at (n1,n2)=(11, 2), d=((1,137))  (5.4x over m_P)

=== GAP covers of the record families ===
monad record     family mu=0.5306; heuristic cover (21 pts) mu=0.2381 >= m_P? True
EU-min 3-adic    family mu=0.9188; heuristic cover (58 pts) mu=0.0716 >= m_P? True
death-star       family mu=0.4997; heuristic cover (23 pts) mu=0.2098 >= m_P? True
