Mechanism check: E = AP_L (step d) u {m=k-L extra}, hard (spread>=6V/7).
Claim: Dirichlet-cluster j (<=Q) is a good period (>1/7 gap). Also report j*.
  k   L  m     V    Q  #built  #Dcluster good   #j*<=Q  maxj*
 11  11  0    91   12      80              80       80      3
 11  11  0   200   12      80              80       80     11
 11  11  0   400   12      80              80       80     11
 11  10  1    91   13      80              80       80      3
 11  10  1   200   13      80              80       80      3
 11  10  1   400   13      80              80       80      3
 11   9  2    91   14      80              80       80      3
 11   9  2   200   14      80              80       80      3
 11   9  2   400   14      80              80       80      3
 11   8  3    91   17      80              80       80      2
 11   8  3   200   17      80              80       80      3
 11   8  3   400   17      80              80       80      2
 11   7  4    91   21      80              80       80      7
 11   6  5    91   35      80              80       80      3
 11   6  5   200   35      64              64       64      4
 11   6  5   400   35      70              70       70      3
 12  12  0    91   13      80              80       80      3
 12  12  0   200   13      80              80       80     11
 12  12  0   400   13      80              80       80     11
 12  11  1    91   14      80              80       80      3
 12  11  1   200   14      80              80       80     11
 12  11  1   400   14      80              80       80     11
 12  10  2    91   16      80              80       80      3
 12  10  2   200   16      80              80       80      3
 12  10  2   400   16      80              80       80      3
 12   9  3    91   19      80              80       80      3
 12   9  3   200   19      80              80       80      3
 12   9  3   400   19      80              80       80      3
 12   8  4    91   25      80              80       80      2
 12   8  4   200   25      80              80       80      3
 12   8  4   400   25      80              80       80      2
 12   7  5    91   42      80              80       80      7
 13  13  0    91   14      80              80       80     13
 13  13  0   200   14      80              80       80      7
 13  13  0   400   14      80              80       80     12
 13  12  1    91   16      80              80       80      3
 13  12  1   200   16      80              80       80     11
 13  12  1   400   16      80              80       80     11
 13  11  2    91   18      80              80       80      3
 13  11  2   200   18      80              80       80     11
 13  11  2   400   18      80              80       80     11
 13  10  3    91   21      80              80       80      3
 13  10  3   200   21      80              80       80      3
 13  10  3   400   21      80              80       80      3
 13   9  4    91   28      80              80       80      3
 13   9  4   200   28      80              80       80      3
 13   9  4   400   28      80              80       80      3
 13   8  5    91   49      80              80       80      3
 13   8  5   200   49      80              80       80      3
 13   8  5   400   49      80              80       80      2

=> if #Dcluster good == #built (mechanism) and #j*<=Q == #built for ALL L>=k-5,
   the gap-split argument is CONFIRMED. (m=0 row = mac-mini's exact-AP case.)
