q	r	grid	cells	atoms	active_base	active_base_fnv	active_joint	active_nonjoint	inactive_joint	inactive_joint_fnv	active_additions	addition_activity_fnv	exposed	exposed_fnv	stage0_cut0_fail	stage0_failure_fnv	stage1_cut1_fail	stage1_failure_fnv	stage2_cut2_fail	stage2_failure_fnv	stage3_cut11_fail	stage3_failure_fnv	stage4_cut42_fail	stage4_failure_fnv	stage5_cut45_fail	stage5_failure_fnv
220	650	91205797082400	8765	2304	6571	2266e0c350d82f4	411	6160	10	7d68d7b4f346e9e5	41	1cf83e6db99db7b	135	c742bf103ab4bd38	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
220	654	1988286376396320	8837	2305	7386	66ee04ada693cfd7	420	6966	1	75b6be8f0dba056	45	5f4f94eae70de4c4	32	1b9be30b945d1f97	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	645	12549917678538240	8905	2263	6288	f535928fd0c39e21	418	5870	3	9ef032f4d245cca3	44	f25c12e93fecc00f	29	dc584a3e67531d52	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	646	291858550663680	8869	2286	4715	cdd000e6dc78287d	414	4301	7	86920ba8a8576b95	41	923bc9b1111d3e69	102	e6d25dc0912d888f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	647	188832482279400960	8937	2299	4882	aa9cf46cf6811289	416	4466	5	16566c4eb5039162	43	ed073a6b6f9dbf50	42	1614b55f2e4125d3	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	648	2626726955973120	8925	2294	3250	62a8e9f84894c08d	337	2913	84	7f97b3dcf7dd46a7	35	f612a8a29f3bf85	7057	389532db09629f77	13	a3aa0a22b6e57480	13	a3aa0a22b6e57480	13	a3aa0a22b6e57480	13	a3aa0a22b6e57480	6	a6791f0534ec17fd	0	cbf29ce484222325
256	649	17219654489157120	8941	2308	6829	4f70a7d28952f329	419	6410	2	21c602b81b52b4d3	45	53191cfa2f00f6f	18	b1c2801f273fb9ee	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	650	1459292753318400	8877	2296	2963	f4ab4350a89d1fe5	296	2667	125	b096fcd0c023c59	34	4d1d723b5fac1a5f	29766	5e54bb31c629ffff	368	597463fcb5b36b46	368	597463fcb5b36b46	368	597463fcb5b36b46	358	609ee065cee1f551	0	cbf29ce484222325	0	cbf29ce484222325
256	653	190583633583383040	8949	2286	5171	e59e72823d9c9098	416	4755	5	c817683ea23bf303	41	830002ce7e240d4d	40	84439fe8941c8d22	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	654	31812582022341120	8949	2273	4100	5a72c4788a4d4a12	404	3696	17	f246196bb904a6fb	40	f62893a38584516c	245	b866516a13885c7a	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	655	38233470136942080	8945	2280	4710	49b730fe62d1049b	417	4293	4	3097729c110a8a0f	43	5a3a4c6b080d4480	47	3eb754c7c5835bfa	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	656	11966200577210880	8925	2276	6236	680f154be5bd1c2e	420	5816	1	12d61ec617e0a29f	44	82ce015c96c1d9f9	5	48c23e3a4ed12086	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	657	21305674198448640	8953	2308	4287	47fba5e47574e056	406	3881	15	6205929a40d96c6f	38	e16abf329ce66f88	251	f92d57de66f103a3	1	b6afc7c4bdbf5a7f	1	b6afc7c4bdbf5a7f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	658	13717351881192960	8933	2276	6743	f86e2b4417d631fa	420	6323	1	82894ea5f08cbaa6	44	141b09a34a81ca62	8	f5a9b45fa53a8b40	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	659	192334784887365120	8961	2305	6086	a4cfb208d36a8fd7	420	5666	1	6723e7f37895c58c	43	43b7a0a25de94ce7	9	c7320864ece3f9ec	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	660	291858550663680	8965	2313	4362	3215cac11744b946	401	3961	20	c4b3b6eeae233f8c	37	7c08212ffe9f51c8	455	7e9376413907fd6a	5	ff49f296dce89e26	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	661	192918501988692480	8965	2304	5414	595c0554c4d175b9	417	4997	4	3ffe126fb862358	43	a4dd25bd8738b4ae	33	e613f9cfff59628f	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	662	96605180269678080	8965	2290	6503	a31f365a211943af	418	6085	3	c696c6283824aa60	45	9b67336adb7fe78f	24	e98ac995c37c976c	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
256	663	291858550663680	8969	2307	5427	fe7da30cec531ca5	414	5013	7	38812f899b3636a8	41	5ded9a35287b73cf	71	414d30a143d2e22d	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
282	650	4286672462872800	8917	2270	7135	d6e2aacb7f46880d	414	6721	7	151a1724039eb4fa	42	87ce46b89bb0252	117	cf51ae87eb749a2e	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
288	648	328340869496640	8989	2266	8740	86443b8d5515481	420	8320	1	6462953b81f04766	45	4033be2dba6d9699	7	45a2aa4e74bae208	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
288	650	182411594164800	8941	2283	8102	8690a06128ac91d4	420	7682	1	6462953b81f04766	44	92f10edc8f12e66e	7	45a2aa4e74bae208	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
294	645	5490588984360480	8981	2314	8283	1703744b921eed28	420	7863	1	db191b34e88d27c8	45	d5d9a1b7020949a0	11	18d3133a8d4aeb9d	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325	0	cbf29ce484222325
