body,response_pattern,full_carrier_subset
03da2001,04,0
04d80489,0c,0
04d80688,08,0
0510ec08,10,0
06184688,10,0
07082c44,20,0
07406488,14,0
0740e408,10,0
07822405,24,0
07906088,04,0
07926008,04,0
09880629,08,0
0a40e409,10,0
0a4a01c1,11,0
0a684481,01,0
0a684601,01,0
0b40e401,10,0
0c324680,02,0
0c62042a,02,0
0c888489,08,0
0d202505,20,0
0d224604,02,0
0d242501,20,0
0d280701,08,0
0d282501,20,0
0d80240d,24,0
0da02045,20,0
0da02405,20,0
0e485408,01,0
0e540481,08,0
0e5800c1,18,0
0e606401,01,0
0f802405,24,0
0f906008,04,0
0f982008,04,0
16224089,41,0
16226009,41,0
16624009,41,0
16680409,09,0
16688009,08,0
166a4008,01,0
16882049,20,0
1a588201,08,0
1b580201,08,0
1b700201,08,0
203002cd,02,0
203100cd,02,0
26465008,40,0
27406088,14,0
27902801,04,0
28215481,02,0
28255081,40,0
28605481,02,0
28645081,40,0
28704601,02,0
28706401,02,0
28c440a8,40,0
28c45081,40,0
29234084,02,0
2a445088,40,0
2ac45001,40,0
2ae20081,40,0
2b112041,10,0
2c245081,40,0
2d306400,02,0
2f102041,10,0
2f102048,10,0
2f902001,04,0
2f902008,04,0
36224081,40,0
3ac41001,40,0
