q,r,grid,cells,pair_ticks,failure_patterns,min_mask,min_mass,min_margin
5,256,291858550663680,7645,214463917139472,2268,0080501f,18996033771584,29315924955072
6,51,18241159416480,7241,13489260744960,2243,1804aa01,1166120864506,500976797958
6,321,1951804057563360,7777,1433233954152000,2302,30960500,124203964376518,17633525467194
12,24,18241159416480,7189,14332339541520,2429,30c48500,1188894293392,1935702817776
13,520,18241159416480,8117,13355134572780,2319,3880b200,1164381721432,391410784296
24,191,3484061448547680,7545,2559842704779360,2343,04c10690,221308292360706,6176624533758
24,232,18241159416480,7613,13418783938560,2322,01e44140,1170785253348,794833295004
24,272,18241159416480,7677,13412617218000,2346,0090c4a4,1176478504966,1153508146938
24,318,966781449073440,7797,709450807305240,2352,3880b200,62730479292778,84894399151254
24,348,18241159416480,7861,13433760259920,2363,06418124,1167146173546,565571267478
24,355,1295122318570080,7865,951493620229152,2367,02c1c300,82920174694630,43481731481370
24,371,966781449073440,7907,710288411564160,2372,01e44140,61395310567850,778769480790
24,429,18241159416480,8021,13400691913980,2427,02c1c300,1167673673470,598803762690
24,501,3046273622552160,8165,2238125113404180,2416,02c1c300,194583685520612,73677697589916
24,510,18241159416480,8165,13404952865304,2418,02c1c300,1171968860590,869400551250
24,577,10525148983308960,8317,7732622917639620,2433,11419201,673574435007988,334593472267404
24,582,1769392463398560,8325,1299682608424200,2417,02609124,112508241017554,10449330511662
24,584,1331604637403040,8317,979810848656640,2453,1042d088,85726755442414,74367043259922
26,28,18241159416480,7237,13401668142720,2246,19801c80,1186408824526,1779118279218
26,128,145929275331840,7437,107216924647140,2290,10241207,9433616557612,10600741802196
26,161,419546666579040,7489,308238367282560,2279,12848902,26934978135890,18716956244910
26,192,72964637665920,7565,53612638413180,2297,32a40801,4676421232184,2755986963912
26,248,565475941910880,7661,415487507478120,2341,11640c40,35949383432972,2907388633716
26,277,5052801158364960,7733,3712376619705600,2340,12848902,325375497060076,287451681324948
26,554,5052801158364960,8285,3712376619705600,2408,009041ac,326994011834382,389418112106226
38,58,18241159416480,7317,13403019389760,2208,21b40108,1176456154592,1152100073376
38,390,18241159416480,7925,13401467188032,2304,30249140,1182090093154,1507038202782
38,437,419546666579040,8041,307493830163520,2313,21b40108,26682651651142,2820387705786
46,387,18040506662898720,7993,13254084340456960,2326,12848902,1163228179073870,1121348630058930
51,67,1222157680904160,7365,897955561863360,2278,12848902,78551915601458,60139959275214
51,420,18241159416480,8073,13401668142720,2432,08c0a980,1159430348218,79474271814
54,116,54723478249440,7453,40201438637360,2276,2b02080a,3512221382250,2376034083990
58,258,784369854908640,7757,576288845932800,2245,2b140802,50171183384036,23305133559708
58,271,4943354201866080,7785,3631877740370880,2283,21b40108,315028422974204,73373839910532
58,282,857334492574560,7797,629904076401600,2269,024085d0,54519261896948,5375529209484
59,512,34439308978314240,8273,25302279653100450,2353,088248c8,2188719518328906,132093741464118
61,90,1112710724405280,7413,817522438292560,2296,0481c320,71876234918944,77359902272352
61,124,34494032456563680,7501,25342182189324000,2286,10241207,2236487512818338,2922583481300574
62,274,77470204041790560,7797,56912417379417600,2300,2210812c,4944785071923878,1640643364042074
67,390,1222157680904160,7985,897919401840384,2349,30249140,77852278579158,16062826870314
67,420,1222157680904160,8105,897911765562240,2450,10241207,77624442173590,1709133319530
69,512,13425493330529280,8289,9863635508636910,2379,12848902,853709859121886,81747802561698
73,390,1331604637403040,7997,978314138140416,2347,30249140,84631412763518,5360454489474
77,256,291858550663680,7799,214426690283520,2315,19c00c40,18547374321984,1050379630272
86,116,784369854908640,7525,576303822254160,2240,01508125,51189790507424,87477382333152
87,116,18241159416480,7529,13680869562360,2350,0110a550,1188903471502,1936281038706
87,186,565475941910880,7673,415458130847760,2316,21b40108,36811659995888,57230812097424
91,256,291858550663680,7827,214426690283520,2317,00026097,18674923071934,9085950877122
92,248,13005946663950240,7789,9554458714360560,2324,00026097,835073169445326,585823019254578
92,390,419546666579040,8029,308235503678256,2358,0200a1a5,26768128203228,8205410487204
99,512,583717101327360,8349,428853145549010,2378,20820649,37214143472054,9622633429962
108,154,54723478249440,7605,40205004428160,2297,04110a91,3505306105066,1940371621398
116,129,784369854908640,7613,576281357772120,2249,20d04124,49834783250468,2111925144924
116,154,18241159416480,7637,13401668142720,2277,0110a550,1169029435462,684216768186
116,225,91205797082400,7777,67008554661048,2262,21b40108,5920536267188,8170596503244
116,282,857334492574560,7909,629889100080240,2274,0110a550,54474999731660,2587012796340
116,308,18241159416480,7917,13401668142720,2396,0110a550,1168250184838,635123978874
116,409,7460634201340320,8173,5481311153277960,2337,21b40108,473843718933066,9617487421878
117,166,1514016231567840,7693,1112332092280640,2293,12848902,96349209729204,13935286668492
122,161,25592346661321440,7681,18802540404236160,2271,02289121,1639414710873006,913740139713618
122,385,1112710724405280,8143,817501756705920,2351,04871108,71366741221076,45261799306668
124,280,565475941910880,7941,415451712424320,2392,10241207,36177589647628,17284380157044
124,390,565475941910880,8101,415450757889552,2369,30249140,36668020570160,48181528276560
124,420,565475941910880,8221,415451712424320,2454,10241207,36126652503734,14075340091722
