colex_rank	mask_hex	class	pattern_hex
2312	0000349b	67	00000000000200
15681	000132a3	0	00000000000000
19073	000174c8	0	00000000000000
26651	00022a8d	0	00000000000000
29480	00026097	0	00000000000000
30396	00027243	0	00000000000000
32750	0002a48d	0	00000000000000
46398	0004301f	159	00000000002000
47197	0004409f	5193	00440080001000
51531	00049685	0	00000000000000
59029	0005508b	0	00000000000000
59030	0005508d	0	00000000000000
59616	0005620d	0	00000000000000
62092	0005b284	6509	10200001044000
66968	00064e09	0	00000000000000
67675	000662c8	6406	10000000000000
78684	0008380f	159	00000000002000
80603	00085b81	200	00000000004000
81156	000866a8	0	00000000000000
81650	0008720d	0	00000000000000
91750	00096a88	6504	10200000000000
97441	000a2c49	347	00000000010000
97505	000a2e09	0	00000000000000
99448	000a620d	0	00000000000000
99859	000a7098	6821	14000000000000
99910	000a7222	6407	10000000100000
101124	000a9609	0	00000000000000
101937	000ab403	843	00000010000000
108721	000c1629	2720	00002000000000
110232	000c3688	0	00000000000000
111899	000c6381	200	00000000004000
112191	000c7007	0	00000000000000
112336	000c7490	0	00000000000000
114195	000cb00d	159	00000000002000
114283	000cb211	2727	00002000004000
114574	000cc283	5192	00440080000000
116737	000d208b	246	00000000008000
119726	000de082	6925	14300000000000
120632	000e10c9	3161	00004000000000
121246	000e22c2	6410	10000020000000
122323	000e5098	7074	1d000000000000
122508	000e601c	6824	14000100000000
129387	00103e81	0	00000000000000
130706	0010560d	0	00000000000000
131410	00106495	3381	00008000c10000
131935	00107063	0	00000000000000
142398	00117a04	6505	10200000004000
142725	001184c9	0	00000000000000
153299	0012e608	0	00000000000000
160028	001428c5	200	00000000004000
160221	00142c8a	0	00000000000000
162670	00147212	6543	10220000000000
162682	00147250	6544	10220000004000
164558	0014ac82	0	00000000000000
165573	0014e105	200	00000000004000
167306	00152419	0	00000000000000
168769	00157104	6926	14300000004000
169804	0015ba00	6505	10200000004000
174144	0016b201	0	00000000000000
174470	0016e021	0	00000000000000
178102	001820ad	3493	00008100c10000
178878	00183039	2729	00002000008000
181062	00186a03	0	00000000000000
183527	0018c285	5195	00440080004000
188896	001a028b	0	00000000000000
189135	001a0649	0	00000000000000
190520	001a3013	0	00000000000000
191361	001a5421	0	00000000000000
196856	001c3510	2720	00002000000000
197531	001c5301	200	00000000004000
200623	001d6402	0	00000000000000
201915	001e2211	0	00000000000000
202613	001e8448	0	00000000000000
204676	002016c9	0	00000000000000
205312	00202297	7	00000000000008
206302	002032a5	0	00000000000000
206511	0020360e	0	00000000000000
209593	00207286	0	00000000000000
209754	00207704	0	00000000000000
225816	0022388c	0	00000000000000
234182	00238449	0	00000000000000
234702	0023a089	0	00000000000000
239374	002454e0	0	00000000000000
241169	002490c9	0	00000000000000
242846	0024d061	0	00000000000000
244549	00251a81	0	00000000000000
246290	00257108	0	00000000000000
247090	0025a0c1	107	00000000000800
251190	0026900d	0	00000000000000
252691	00271448	0	00000000000000
256408	00283059	0	00000000000000
256668	00283542	0	00000000000000
256787	00283941	0	00000000000000
258086	002859c0	0	00000000000000
258774	002872c0	0	00000000000000
259193	002884c9	0	00000000000000
259837	00289285	0	00000000000000
264489	00295282	0	00000000000000
265831	0029b012	0	00000000000000
266758	002a0899	347	00000000010000
267912	002a2891	718	00000002010000
268038	002a300d	0	00000000000000
