obligation	body_hex	hits
0	004c50c9	180
1	020c5249	164
2	021c5608	108
3	021d5408	103
4	022c4609	158
5	023c4608	142
6	03085609	109
7	03095409	97
8	03306409	88
9	033e4200	123
10	054c6408	37
11	0618460a	109
12	074a3400	34
13	0c324680	120
14	0c62042a	219
15	0d224604	124
16	0d449202	130
17	120d5401	117
18	14324403	93
19	203002cd	290
20	203100cd	269
21	204c50c1	137
22	21069242	209
23	21269202	178
24	2150404b	185
25	23145208	89
26	23304209	145
27	23324201	128
28	23344208	123
29	23505009	85
30	245c0281	90
31	27423400	34
32	28209e02	266
33	28215481	159
34	28605481	110
35	28704601	127
36	28706401	80
37	29234084	191
38	2d306400	18
39	31269200	161
40	32260601	191
41	32630401	207
42	33033400	112
43	36085401	46
44	36200609	131
45	36620401	100
46	37023400	33
47	3901b001	102
48	3921a001	110
49	3d00b001	25
50	3d200601	76
51	3d20a001	25
52	3e600401	93
