endpoint,residual_pairs,common_active_pairs,repair_tests,equalities,primitive_cells,wall_queries
2,1,1,422,0,7,3940
3,2,1,844,0,20,7880
4,3,3,1266,0,33,11820
5,4,4,1688,0,64,15760
6,5,2,994,0,65,13312
7,6,4,1725,0,132,18944
9,7,7,2954,0,151,27580
11,8,4,1847,0,256,23674
12,9,4,1969,0,205,25016
13,10,8,3637,0,388,36836
14,11,7,3082,0,349,35406
17,12,9,4326,0,590,42990
18,13,10,4319,0,449,44564
19,14,10,4659,0,786,45682
21,15,14,5928,0,615,56860
22,16,4,2219,0,794,31096
23,17,9,4350,0,1161,50914
24,18,2,1451,0,818,28160
25,19,0,567,0,1377,18490
26,20,12,5615,0,1188,65180
27,21,16,7453,0,1303,77480
28,22,13,5927,0,1250,68560
29,23,19,8562,0,2025,85640
31,24,12,6129,0,2236,73112
32,25,13,6106,0,1831,73736
33,26,22,9398,0,1900,93358
34,27,23,9782,0,2125,96722
35,28,15,6900,0,2460,84154
36,29,15,6986,0,1861,80580
37,30,24,10463,0,3374,108926
38,31,21,10231,0,2733,102512
39,32,28,11901,0,2814,117216
41,33,27,12410,0,4093,121606
43,34,30,13194,0,4392,128318
44,35,11,8419,0,3231,106912
45,36,27,11831,0,3478,126294
46,37,11,5707,0,3983,83356
47,38,19,11350,0,5398,126934
48,39,1,2715,0,3393,70882
49,40,36,15976,0,5350,154230
50,40,0,64,0,4220,16450
51,41,26,13132,0,4697,139578
52,43,26,12933,0,4701,133680
53,44,29,13573,0,7088,148230
54,45,35,15475,0,4491,157214
55,46,9,5392,0,6406,85522
56,47,38,17369,0,5187,167904
57,48,35,16836,0,6304,170544
58,49,34,15426,0,6639,167610
59,50,23,13117,0,8994,152658
61,51,29,15652,0,9435,164934
62,52,26,12481,0,7544,151246
64,53,6,6230,0,7399,109146
65,54,27,14532,0,8920,164544
66,55,52,22011,0,6365,208916
67,56,35,19831,0,11356,204998
68,57,49,21175,0,8103,208922
69,58,36,18787,0,9438,192198
70,59,7,5010,0,7829,121282
71,60,47,22281,0,12924,221176
72,61,6,5953,0,7547,123154
73,62,34,18993,0,13742,206012
74,63,44,20184,0,10779,214230
75,64,18,10202,0,10302,158538
76,65,38,19853,0,10347,217424
77,66,51,23473,0,12676,238830
78,67,52,23538,0,9183,236700
79,68,34,18269,0,16344,209226
81,69,56,24883,0,13141,251640
82,70,41,18226,0,13300,209152
83,71,29,15860,0,17875,198464
86,72,49,23750,0,14230,250112
87,73,58,26980,0,14839,267194
89,74,62,27889,0,19772,276264
90,75,52,24130,0,10867,252278
91,76,68,29662,0,17286,286680
92,77,44,21749,0,14999,249850
93,78,44,21131,0,16850,237942
94,79,36,19952,0,17131,249332
96,80,0,901,0,13046,55074
97,81,69,29969,0,23613,298238
98,82,65,28146,0,16684,285230
99,83,67,29463,0,17523,298328
100,84,0,747,0,16196,75300
101,85,70,31703,0,25857,312132
102,86,57,26292,0,15482,278724
103,87,31,15679,0,27015,206820
104,88,28,15234,0,18170,209318
105,89,1,1739,0,17703,102046
106,90,36,17747,0,21878,258646
107,91,76,33842,0,29405,331544
108,92,43,22423,0,16500,275898
109,93,58,28499,0,30639,307524
110,94,5,3392,0,19714,83940
111,95,63,29844,0,24537,323404
112,96,53,30840,0,20430,316116
113,97,75,33496,0,33175,339704
114,98,68,31247,0,19782,327518
115,99,75,33659,0,29437,345324
116,100,49,24865,0,24384,307648
117,101,89,37921,0,25223,372250
118,102,86,37679,0,27654,372836
119,103,82,38156,0,31591,374070
121,104,89,38727,0,35126,380248
122,105,35,22598,0,29483,294152
123,106,83,37434,0,30584,373158
124,107,76,35730,0,28041,372444
125,108,55,35341,0,36314,370616
