q,r,tests,first_inactive_mask,margin_num,den
1,6,17,0c82044a,-52896697355376,1532257390984320
1,11,91,19c00c40,-138643387366176,2809138550137920
1,12,91,19c00c40,-65701621265616,3064514781968640
1,22,17,0c82044a,-158714962349328,5618277100275840
1,24,46,0ac44140,-76844803218624,6129029563937280
1,25,2,06411019,-536028802365420,6384405795768000
1,31,194,0200c5d0,-162980951118048,7916663186752320
1,32,17,0c82044a,-569257105785984,8172039418583040
1,44,418,018c2114,-892110961681632,11236554200551680
1,46,91,19c00c40,-75191581861200,11747306664213120
1,48,17,0c82044a,-97861691301696,12258059127874560
1,50,1,0a10d120,-521057498844960,12768811591536000
1,55,46,0ac44140,-286565810356980,14045692750689600
1,59,25,0812412c,-438210989814024,15067197678012480
1,61,421,1c81a100,-336040528617612,15577950141673920
1,62,373,1a101c10,-1733270186268936,15833326373504640
1,64,4,09034019,-257368987266048,16344078837166080
1,65,179,04710841,-54232169895540,16599455068996800
1,70,4,09034019,-202733473642560,17876336228150400
1,72,17,0c82044a,-2246692167814752,18387088691811840
1,75,17,0c82044a,-589728818972160,19153217387304000
1,82,22,0202a129,-261461684022840,20940851010119040
1,83,17,0c82044a,-906105441988908,21196227241949760
1,94,197,08c42c01,-31815034832448,24005365792087680
1,96,1,0a10d120,-8423616401347392,24516118255749120
1,100,12,18492600,-4581967049724960,25537623183072000
1,105,17,0c82044a,-5011509219973200,26814504342225600
1,110,1,0a10d120,-115834352412240,28091385501379200
1,122,201,06418124,-106585566129504,31155900283347840
1,125,421,1c81a100,-894522922641180,31922028978840000
1,128,3,2a904060,-1066319210069568,32688157674332160
1,130,26,0230106c,-704849709695040,33198910137993600
1,140,4,09034019,-4473581087505600,35752672456300800
1,144,33,1e808042,-2260129774625856,36774177383623680
1,147,118,02c1c300,-695408082627132,37540306079115840
1,153,197,08c42c01,-2392940993568804,39072563470100160
1,160,376,0e008550,-603440473104000,40860197092915200
1,166,17,0c82044a,-3220856292383352,42392454483899520
1,173,17,0c82044a,-6910693435597644,44180088106714560
1,183,17,0c82044a,-1143610595935416,46733850425021760
1,186,37,10864540,-1212678301757832,47499979120513920
1,192,1,0a10d120,-13493476912539456,49032236511498240
