class	pattern_hex	least_mask_hex	multiplicity	cover	maximal
0	00000000000000	0000169b	1625519	0	0
1	00000000000001	2011a602	15972	1	0
2	00000000000002	00322486	12453	1	0
3	00000000000003	20122416	4576	2	0
4	00000000000004	01212087	1233	1	0
5	00000000000006	05210096	647	2	0
6	00000000000007	21a12102	199	3	0
7	00000000000008	0000a3a5	8492	1	0
8	00000000000009	31002216	295	2	0
9	0000000000000c	01202097	2994	2	0
10	0000000000000e	11202096	554	3	0
11	0000000000000f	31202016	162	4	0
12	00000000000010	04123016	8030	1	0
13	00000000000012	05130086	1385	2	0
14	00000000000013	21112016	568	3	0
15	00000000000020	010010b7	3513	1	0
16	00000000000024	01012097	1709	2	0
17	0000000000002c	010020b7	4590	3	0
18	00000000000030	05421016	3338	2	0
19	00000000000034	05430046	368	3	0
20	00000000000036	05430016	756	4	0
21	00000000000037	25010036	343	5	0
22	0000000000003c	114020c6	399	4	0
23	0000000000003e	11402096	802	5	0
24	0000000000003f	31022016	253	6	0
25	00000000000040	04150096	3514	1	0
26	00000000000042	04310886	474	2	0
27	00000000000043	24310016	208	3	0
28	00000000000044	206120c2	167	2	0
29	00000000000046	20612086	405	3	0
30	00000000000047	24212016	199	4	0
31	00000000000050	041308d0	313	2	0
32	00000000000052	04130886	905	3	0
33	00000000000053	24110816	375	4	0
34	00000000000074	204320c2	45	4	0
35	00000000000076	20432086	125	5	0
36	00000000000077	24032016	86	6	0
37	00000000000080	04162282	3511	1	0
38	00000000000081	30122206	223	2	0
39	00000000000088	10402296	715	2	0
40	00000000000089	30a0a202	189	3	0
41	000000000000c0	04162086	7960	2	0
42	000000000000c2	10322092	449	3	0
43	000000000000c3	30302016	197	4	0
44	000000000000cc	306020c2	111	4	0
45	000000000000ce	30222086	224	5	0
46	000000000000cf	34202016	134	6	0
47	000000000000d0	105228c0	332	3	0
48	000000000000d2	10522086	841	4	0
49	000000000000d3	30122016	308	5	0
50	000000000000fc	304220c2	40	6	0
51	000000000000fe	30022096	110	7	0
52	000000000000ff	34022016	66	8	0
53	00000000000100	04409292	15453	1	0
54	00000000000101	24010236	194	2	0
55	00000000000130	24021096	597	3	0
56	00000000000140	24050036	709	2	0
57	00000000000174	24430052	47	5	0
58	00000000000176	24430016	160	6	0
59	00000000000177	2c030016	35	7	0
60	00000000000180	0c460206	484	2	0
61	00000000000188	1c420206	98	3	0
62	00000000000189	34800216	24	4	0
63	000000000001c0	240400b6	1014	3	0
64	000000000001fc	344200d0	26	7	0
65	000000000001fe	34420016	78	8	0
66	000000000001ff	3c020016	18	9	0
67	00000000000200	0000149f	15680	1	0
68	00000000000202	20402496	1174	2	0
69	00000000000203	24002436	407	3	0
70	00000000000220	20003097	1288	2	0
71	00000000000224	20412087	651	3	0
72	0000000000022c	2000a097	1024	4	0
73	00000000000230	200030d6	1086	3	0
74	00000000000274	24012056	146	5	0
75	00000000000276	20412096	307	6	0
76	00000000000277	24012036	119	7	0
77	000000000002fc	34002056	117	7	0
78	000000000002fe	30402096	230	8	0
79	000000000002ff	34002036	76	9	0
80	00000000000330	240010b6	1199	4	0
81	00000000000374	24410056	111	6	0
82	00000000000376	24410036	290	7	0
83	00000000000377	34810016	12	8	0
84	000000000003fc	344000d2	25	8	0
85	000000000003fe	34400036	80	9	0
86	000000000003ff	34808016	6	10	1
87	00000000000400	00101a87	10075	1	0
88	00000000000401	22308124	236	2	0
89	00000000000408	08020297	75	2	0
90	0000000000040c	38220083	1	3	0
91	00000000000410	18121016	108	2	0
92	00000000000420	28021017	18	2	0
93	0000000000042c	28020097	5	4	0
94	00000000000440	38330040	1	2	0
95	00000000000442	38330080	1	3	0
96	00000000000443	38338000	1	4	0
97	00000000000452	38130880	2	4	0
98	00000000000480	18128a80	8	2	0
99	00000000000481	38328200	2	3	0
100	000000000004c0	383200c0	4	3	0
101	000000000004c2	38320082	6	4	0
102	000000000004c3	38328002	6	5	0
103	000000000004d2	38120882	8	5	0
104	000000000004d3	38120016	2	6	1
105	00000000000500	38021282	5	2	1
106	00000000000620	30001097	8	3	0
107	00000000000800	000430b5	19526	1	0
108	00000000000804	012120a5	319	2	0
109	00000000000806	1121a180	145	3	0
110	00000000000807	29232004	6	4	0
111	0000000000080c	012021a5	1017	3	0
112	0000000000080e	112220a4	231	4	0
113	0000000000080f	31a0a100	11	5	0
114	00000000000820	010030b5	1584	2	0
115	00000000000824	0101a8a1	418	3	0
116	0000000000082c	0100a1a5	1324	4	0
117	00000000000830	114010d4	976	3	0
118	00000000000834	114128c0	33	4	0
119	00000000000836	11412884	155	5	0
120	00000000000837	2903a004	8	6	0
121	0000000000083c	114028c4	119	5	0
122	0000000000083e	11402894	298	6	0
123	0000000000083f	39022014	18	7	0
124	00000000000840	10652014	270	2	0
125	00000000000844	206120d0	10	3	0
126	00000000000846	2061a880	45	4	0
127	00000000000874	204320d0	12	5	0
