response_hex,count,least_mask,maximal
0,1437137,0000309f,0
1,15343,0400509b,0
2,3165,000c101f,0
4,1407,00415a81,0
5,6478,0002528b,0
6,178,10051609,0
7,480,1006140b,0
8,1312,02408558,0
a,10,0242140d,0
c,27,02418449,0
d,112,02408649,0
e,26,02411609,0
f,74,02401e09,0
10,18337,0100601f,0
11,166,0480444b,0
20,2401,020085c9,0
21,1932,0400168b,0
24,19,020184c9,0
25,234,00029689,0
28,3,0204812d,0
2a,2,2200140f,0
2d,53,02028c49,0
2f,15,02061c09,0
30,130,0481060b,0
31,52,06020e09,0
40,3907,00066609,0
44,5,20854409,0
45,28,0284440b,0
50,1459,00122e09,0
54,4,20834409,0
55,21,2082440b,0
6f,3,22060c09,0
7f,4,22020e09,1
80,340,00128c89,0
85,1,20c40489,0
a5,3,00868489,1
c0,19,00360c09,0
d0,2,20920609,1
