body	d1	d2	d3	d4
1,5,6,9,12,14	2	490	980	2520
1,5,6,9,12,14	2	490	980	3528
1,5,6,9,12,14	2	490	980	17640
1,5,6,9,12,14	2	588	980	3528
1,5,6,9,12,14	2	735	980	3528
1,5,6,9,12,14	2	882	980	1960
1,5,6,9,12,14	2	980	1764	1960
1,5,6,9,12,14	2	980	1960	2205
1,5,6,9,12,14	2	980	1960	2520
1,5,6,9,12,14	2	980	1960	3528
1,5,6,9,12,14	2	980	1960	4410
1,5,6,9,12,14	2	980	1960	8820
1,5,6,9,12,14	2	980	1960	17640
1,5,6,9,12,14	2	980	2520	2940
1,5,6,9,12,14	2	980	2940	3528
1,5,6,9,12,14	2	980	2940	17640
2,5,9,11,12,14	2	1617	3528	10780
2,5,9,11,12,14	2	2205	10780	21560
2,5,9,11,12,14	2	3528	5880	10780
2,5,9,11,12,14	2	3528	6468	10780
2,5,9,11,12,14	2	3528	10780	17640
2,5,9,11,12,14	2	4410	10780	21560
2,5,9,11,12,14	2	4851	10780	21560
2,5,9,11,12,14	2	5390	10780	17640
2,5,9,11,12,14	2	5390	10780	27720
2,5,9,11,12,14	2	5390	10780	38808
2,5,9,11,12,14	2	5390	10780	194040
2,5,9,11,12,14	2	5544	10780	21560
2,5,9,11,12,14	2	8820	10780	21560
2,5,9,11,12,14	2	9702	10780	21560
2,5,9,11,12,14	2	10780	17640	21560
2,5,9,11,12,14	2	10780	17640	32340
2,5,9,11,12,14	2	10780	19404	21560
2,5,9,11,12,14	2	10780	21560	24255
2,5,9,11,12,14	2	10780	21560	27720
2,5,9,11,12,14	2	10780	21560	38808
2,5,9,11,12,14	2	10780	21560	48510
2,5,9,11,12,14	2	10780	21560	97020
2,5,9,11,12,14	2	10780	21560	194040
2,5,9,11,12,14	2	10780	32340	38808
2,5,9,11,12,14	2	10780	32340	194040
2,5,9,11,12,14	3	4410	10780	21560
2,5,9,11,12,14	3	8820	10780	21560
2,5,9,11,12,14	3	9702	10780	21560
2,5,9,11,12,14	3	10780	17640	21560
2,5,9,11,12,14	3	10780	17640	32340
2,5,9,11,12,14	3	10780	19404	21560
2,5,9,11,12,14	3	10780	21560	24255
2,5,9,11,12,14	3	10780	21560	38808
2,5,9,11,12,14	3	10780	21560	48510
2,5,9,11,12,14	3	10780	21560	97020
2,5,9,11,12,14	3	10780	21560	194040
2,5,9,11,12,14	3	10780	32340	38808
2,5,9,11,12,14	3	10780	32340	194040
2,5,9,11,12,14	6	10780	19404	21560
2,5,9,11,12,14	6	10780	21560	24255
2,5,9,11,12,14	6	10780	21560	48510
2,5,9,11,12,14	6	10780	21560	97020
2,5,9,11,12,14	8	8085	8820	10780
2,5,9,11,12,14	8	8820	9702	10780
2,5,9,11,12,14	8	8820	10780	16170
2,5,9,11,12,14	8	8820	10780	19404
2,5,9,11,12,14	8	8820	10780	24255
2,5,9,11,12,14	8	8820	10780	32340
2,5,9,11,12,14	8	9702	10780	24255
2,5,9,11,12,14	8	9702	10780	32340
2,5,9,11,12,14	8	10780	17640	32340
2,5,9,11,12,14	8	10780	19404	32340
2,5,9,11,12,14	8	10780	24255	32340
2,5,9,11,12,14	8	10780	32340	38808
2,5,9,11,12,14	8	10780	32340	194040
2,5,9,11,12,14	9	6468	10780	21560
2,5,9,11,12,14	9	8085	10780	21560
2,5,9,11,12,14	9	10780	12936	21560
2,5,9,11,12,14	9	10780	16170	21560
2,5,9,11,12,14	9	10780	21560	32340
2,5,9,11,12,14	9	10780	21560	64680
2,5,9,11,12,14	9	10780	32340	38808
2,5,9,11,12,14	9	10780	32340	194040
2,5,9,11,12,14	12	4851	10780	21560
2,5,9,11,12,14	12	9702	10780	21560
2,5,9,11,12,14	12	10780	19404	21560
2,5,9,11,12,14	12	10780	21560	24255
2,5,9,11,12,14	12	10780	21560	48510
2,5,9,11,12,14	12	10780	21560	97020
2,5,9,11,12,14	15	4851	10780	21560
2,5,9,11,12,14	15	9702	10780	21560
2,5,9,11,12,14	15	10780	19404	21560
2,5,9,11,12,14	15	10780	21560	24255
2,5,9,11,12,14	15	10780	21560	38808
2,5,9,11,12,14	15	10780	21560	48510
2,5,9,11,12,14	15	10780	21560	97020
2,5,9,11,12,14	15	10780	21560	194040
2,5,9,11,12,14	18	6468	10780	21560
2,5,9,11,12,14	18	8085	10780	21560
2,5,9,11,12,14	18	10780	12936	21560
2,5,9,11,12,14	18	10780	16170	21560
2,5,9,11,12,14	18	10780	21560	32340
2,5,9,11,12,14	18	10780	21560	64680
2,5,9,11,12,14	18	10780	32340	38808
2,5,9,11,12,14	18	10780	32340	194040
2,5,9,11,12,14	21	10780	19404	21560
2,5,9,11,12,14	21	10780	21560	24255
2,5,9,11,12,14	21	10780	21560	48510
2,5,9,11,12,14	21	10780	21560	97020
2,5,9,11,12,14	24	4851	10780	21560
2,5,9,11,12,14	24	9702	10780	21560
2,5,9,11,12,14	24	9702	10780	24255
2,5,9,11,12,14	24	9702	10780	32340
2,5,9,11,12,14	24	10780	19404	21560
2,5,9,11,12,14	24	10780	19404	32340
2,5,9,11,12,14	24	10780	21560	24255
2,5,9,11,12,14	24	10780	21560	48510
2,5,9,11,12,14	24	10780	21560	97020
2,5,9,11,12,14	24	10780	24255	32340
2,5,9,11,12,14	30	4851	10780	21560
2,5,9,11,12,14	30	9702	10780	21560
2,5,9,11,12,14	30	10780	19404	21560
2,5,9,11,12,14	30	10780	21560	24255
2,5,9,11,12,14	30	10780	21560	48510
2,5,9,11,12,14	30	10780	21560	97020
2,5,9,11,12,14	33	1764	10780	21560
2,5,9,11,12,14	33	2205	10780	21560
2,5,9,11,12,14	33	3528	10780	24255
2,5,9,11,12,14	33	3528	10780	48510
2,5,9,11,12,14	33	4410	10780	21560
2,5,9,11,12,14	33	8820	10780	21560
2,5,9,11,12,14	33	10780	19404	21560
2,5,9,11,12,14	33	10780	21560	24255
2,5,9,11,12,14	33	10780	21560	48510
2,5,9,11,12,14	33	10780	21560	97020
2,5,9,11,12,14	36	1617	10780	21560
2,5,9,11,12,14	36	3234	10780	21560
2,5,9,11,12,14	36	6468	10780	21560
2,5,9,11,12,14	36	8085	10780	21560
2,5,9,11,12,14	36	10780	12936	21560
2,5,9,11,12,14	36	10780	16170	21560
2,5,9,11,12,14	36	10780	21560	32340
2,5,9,11,12,14	36	10780	21560	64680
2,5,9,11,12,14	40	9702	10780	24255
2,5,9,11,12,14	40	9702	10780	32340
