body	d1	d2	low	excess
1,5,9,11,12,14	2	2	243	34729/119189070
1,5,9,11,12,14	2	2205	243	34729/119189070
1,5,9,11,12,14	2	4410	243	34729/119189070
1,5,9,11,12,14	2	4851	243	34729/119189070
1,5,9,11,12,14	2	5544	243	34729/119189070
1,5,9,11,12,14	2	8820	243	34729/119189070
1,5,9,11,12,14	2	9702	243	34729/119189070
1,5,9,11,12,14	2	17640	243	34729/119189070
1,5,9,11,12,14	2	19404	243	34729/119189070
1,5,9,11,12,14	2	24255	243	34729/119189070
1,5,9,11,12,14	2	27720	243	34729/119189070
1,5,9,11,12,14	2	38808	243	34729/119189070
1,5,9,11,12,14	2	48510	243	34729/119189070
1,5,9,11,12,14	2	97020	243	34729/119189070
1,5,9,11,12,14	2	194040	243	34729/119189070
1,5,9,11,12,14	3	8820	243	34729/119189070
1,5,9,11,12,14	3	9702	243	34729/119189070
1,5,9,11,12,14	3	17640	243	34729/119189070
1,5,9,11,12,14	3	19404	243	34729/119189070
1,5,9,11,12,14	3	24255	243	34729/119189070
1,5,9,11,12,14	3	38808	243	34729/119189070
1,5,9,11,12,14	3	48510	243	34729/119189070
1,5,9,11,12,14	3	97020	243	34729/119189070
1,5,9,11,12,14	3	194040	243	34729/119189070
1,5,9,11,12,14	6	19404	243	34729/119189070
1,5,9,11,12,14	6	24255	243	34729/119189070
1,5,9,11,12,14	6	48510	243	34729/119189070
1,5,9,11,12,14	6	97020	243	34729/119189070
1,5,9,11,12,14	9	5880	243	34729/119189070
1,5,9,11,12,14	9	6468	243	34729/119189070
1,5,9,11,12,14	9	8085	243	34729/119189070
1,5,9,11,12,14	9	12936	243	34729/119189070
1,5,9,11,12,14	9	16170	243	34729/119189070
1,5,9,11,12,14	9	17640	243	34729/119189070
1,5,9,11,12,14	9	19404	243	34729/119189070
1,5,9,11,12,14	9	24255	243	34729/119189070
1,5,9,11,12,14	9	32340	243	34729/119189070
1,5,9,11,12,14	9	38808	243	34729/119189070
1,5,9,11,12,14	9	48510	243	34729/119189070
1,5,9,11,12,14	9	64680	243	34729/119189070
1,5,9,11,12,14	9	97020	243	34729/119189070
1,5,9,11,12,14	9	194040	243	34729/119189070
1,5,9,11,12,14	12	4851	243	34729/119189070
1,5,9,11,12,14	12	9702	243	34729/119189070
1,5,9,11,12,14	12	19404	243	34729/119189070
1,5,9,11,12,14	12	24255	243	34729/119189070
1,5,9,11,12,14	12	48510	243	34729/119189070
1,5,9,11,12,14	12	97020	243	34729/119189070
1,5,9,11,12,14	15	4851	243	34729/119189070
1,5,9,11,12,14	15	9702	243	34729/119189070
1,5,9,11,12,14	15	19404	243	34729/119189070
1,5,9,11,12,14	15	24255	243	34729/119189070
1,5,9,11,12,14	15	48510	243	34729/119189070
1,5,9,11,12,14	15	97020	243	34729/119189070
1,5,9,11,12,14	18	6468	243	34729/119189070
1,5,9,11,12,14	18	8085	243	34729/119189070
1,5,9,11,12,14	18	12936	243	34729/119189070
1,5,9,11,12,14	18	16170	243	34729/119189070
1,5,9,11,12,14	18	19404	243	34729/119189070
1,5,9,11,12,14	18	24255	243	34729/119189070
1,5,9,11,12,14	18	32340	243	34729/119189070
1,5,9,11,12,14	18	38808	243	34729/119189070
1,5,9,11,12,14	18	48510	243	34729/119189070
1,5,9,11,12,14	18	64680	243	34729/119189070
1,5,9,11,12,14	18	97020	243	34729/119189070
1,5,9,11,12,14	18	194040	243	34729/119189070
1,5,9,11,12,14	21	19404	243	34729/119189070
1,5,9,11,12,14	21	24255	243	34729/119189070
1,5,9,11,12,14	21	48510	243	34729/119189070
1,5,9,11,12,14	21	97020	243	34729/119189070
1,5,9,11,12,14	24	4851	243	34729/119189070
1,5,9,11,12,14	24	9702	243	34729/119189070
1,5,9,11,12,14	24	19404	243	34729/119189070
1,5,9,11,12,14	24	24255	243	34729/119189070
1,5,9,11,12,14	24	48510	243	34729/119189070
1,5,9,11,12,14	24	97020	243	34729/119189070
1,5,9,11,12,14	30	4851	243	34729/119189070
1,5,9,11,12,14	30	9702	243	34729/119189070
1,5,9,11,12,14	30	19404	243	34729/119189070
1,5,9,11,12,14	30	24255	243	34729/119189070
1,5,9,11,12,14	30	48510	243	34729/119189070
1,5,9,11,12,14	30	97020	243	34729/119189070
1,5,9,11,12,14	33	1764	243	34729/119189070
1,5,9,11,12,14	33	2205	243	34729/119189070
1,5,9,11,12,14	33	4410	243	34729/119189070
1,5,9,11,12,14	33	8820	243	34729/119189070
1,5,9,11,12,14	33	19404	243	34729/119189070
1,5,9,11,12,14	33	24255	243	34729/119189070
1,5,9,11,12,14	33	48510	243	34729/119189070
1,5,9,11,12,14	33	97020	243	34729/119189070
1,5,9,11,12,14	36	1617	243	34729/119189070
1,5,9,11,12,14	36	3234	243	34729/119189070
1,5,9,11,12,14	36	4851	243	34729/119189070
1,5,9,11,12,14	36	6468	243	34729/119189070
1,5,9,11,12,14	36	8085	243	34729/119189070
1,5,9,11,12,14	36	9702	243	34729/119189070
1,5,9,11,12,14	36	12936	243	34729/119189070
1,5,9,11,12,14	36	16170	243	34729/119189070
1,5,9,11,12,14	36	19404	243	34729/119189070
1,5,9,11,12,14	36	24255	243	34729/119189070
1,5,9,11,12,14	36	32340	243	34729/119189070
1,5,9,11,12,14	36	38808	243	34729/119189070
1,5,9,11,12,14	36	48510	243	34729/119189070
1,5,9,11,12,14	36	64680	243	34729/119189070
1,5,9,11,12,14	36	97020	243	34729/119189070
1,5,9,11,12,14	36	194040	243	34729/119189070
1,5,9,11,12,14	42	19404	243	34729/119189070
1,5,9,11,12,14	42	24255	243	34729/119189070
1,5,9,11,12,14	42	48510	243	34729/119189070
1,5,9,11,12,14	42	97020	243	34729/119189070
1,5,9,11,12,14	45	1617	243	34729/119189070
1,5,9,11,12,14	45	3234	243	34729/119189070
1,5,9,11,12,14	45	4851	243	34729/119189070
1,5,9,11,12,14	45	6468	243	34729/119189070
1,5,9,11,12,14	45	8085	243	34729/119189070
1,5,9,11,12,14	45	9702	243	34729/119189070
1,5,9,11,12,14	45	12936	243	34729/119189070
1,5,9,11,12,14	45	16170	243	34729/119189070
1,5,9,11,12,14	45	19404	243	34729/119189070
1,5,9,11,12,14	45	24255	243	34729/119189070
1,5,9,11,12,14	45	32340	243	34729/119189070
1,5,9,11,12,14	45	38808	243	34729/119189070
1,5,9,11,12,14	45	48510	243	34729/119189070
1,5,9,11,12,14	45	64680	243	34729/119189070
1,5,9,11,12,14	45	97020	243	34729/119189070
1,5,9,11,12,14	45	194040	243	34729/119189070
1,5,9,11,12,14	60	4851	243	34729/119189070
1,5,9,11,12,14	60	9702	243	34729/119189070
1,5,9,11,12,14	60	19404	243	34729/119189070
1,5,9,11,12,14	60	24255	243	34729/119189070
1,5,9,11,12,14	60	48510	243	34729/119189070
1,5,9,11,12,14	60	97020	243	34729/119189070
