endpoint,post_thm4277_pairs,common_active_pairs,not_common_active_pairs,carrier_closed_pairs,common_and_carrier_pairs,common_not_carrier_pairs,carrier_not_common_pairs,total_deletion_pairs,final_residual_pairs
2,1,1,0,0,0,1,0,1,0
3,2,2,0,0,0,2,0,2,0
4,3,3,0,0,0,3,0,3,0
5,4,4,0,0,0,4,0,4,0
6,5,2,3,0,0,2,0,2,3
7,6,4,2,0,0,4,0,4,2
9,7,7,0,0,0,7,0,7,0
11,8,4,4,0,0,4,0,4,4
12,9,4,5,0,0,4,0,4,5
13,10,8,2,0,0,8,0,8,2
14,11,7,4,0,0,7,0,7,4
17,12,9,3,0,0,9,0,9,3
18,13,10,3,0,0,10,0,10,3
19,14,10,4,0,0,10,0,10,4
21,15,14,1,0,0,14,0,14,1
22,16,5,11,0,0,5,0,5,11
23,17,8,9,0,0,8,0,8,9
24,18,2,16,0,0,2,0,2,16
25,19,0,19,0,0,0,0,0,19
26,20,12,8,0,0,12,0,12,8
27,21,17,4,0,0,17,0,17,4
28,22,13,9,0,0,13,0,13,9
29,23,20,3,0,0,20,0,20,3
31,24,12,12,0,0,12,0,12,12
32,25,13,12,0,0,13,0,13,12
33,26,22,4,0,0,22,0,22,4
34,27,22,5,0,0,22,0,22,5
35,28,14,14,0,0,14,0,14,14
36,29,15,14,0,0,15,0,15,14
37,30,24,6,0,0,24,0,24,6
38,31,24,7,0,0,24,0,24,7
39,32,28,4,0,0,28,0,28,4
41,33,29,4,0,0,29,0,29,4
43,34,31,3,0,0,31,0,31,3
44,35,15,20,0,0,15,0,15,20
45,36,27,9,0,0,27,0,27,9
46,37,9,28,0,0,9,0,9,28
47,38,23,15,0,0,23,0,23,15
48,39,1,38,0,0,1,0,1,38
49,40,37,3,0,0,37,0,37,3
50,40,0,40,0,0,0,0,0,40
51,41,28,13,0,0,28,0,28,13
52,43,27,16,0,0,27,0,27,16
53,44,29,15,0,0,29,0,29,15
54,45,33,12,0,0,33,0,33,12
55,46,9,37,0,0,9,0,9,37
56,47,39,8,0,0,39,0,39,8
57,48,37,11,0,0,37,0,37,11
58,49,34,15,0,0,34,0,34,15
59,50,23,27,0,0,23,0,23,27
61,51,36,15,0,0,36,0,36,15
62,52,26,26,0,0,26,0,26,26
64,53,10,43,0,0,10,0,10,43
65,54,24,30,0,0,24,0,24,30
66,55,52,3,0,0,52,0,52,3
67,56,41,15,0,0,41,0,41,15
68,57,49,8,0,0,49,0,49,8
69,58,38,20,0,0,38,0,38,20
70,59,7,52,0,0,7,0,7,52
71,60,49,11,0,0,49,0,49,11
72,61,9,52,0,0,9,0,9,52
73,62,39,23,0,0,39,0,39,23
74,63,44,19,0,0,44,0,44,19
75,64,18,46,0,0,18,0,18,46
76,65,45,20,0,0,45,0,45,20
77,66,53,13,0,0,53,0,53,13
78,67,53,14,0,0,53,0,53,14
79,68,36,32,0,0,36,0,36,32
81,69,56,13,0,0,56,0,56,13
82,70,41,29,0,0,41,0,41,29
83,71,32,39,0,0,32,0,32,39
86,72,51,21,0,0,51,0,51,21
87,73,62,11,0,0,62,0,62,11
89,74,62,12,0,0,62,0,62,12
90,75,52,23,0,0,52,0,52,23
91,76,69,7,0,0,69,0,69,7
92,77,43,34,0,0,43,0,43,34
93,78,44,34,0,0,44,0,44,34
94,79,37,42,0,0,37,0,37,42
96,80,0,80,0,0,0,0,0,80
97,81,68,13,0,0,68,0,68,13
98,82,65,17,0,0,65,0,65,17
99,83,67,16,0,0,67,0,67,16
100,84,0,84,0,0,0,0,0,84
101,85,73,12,0,0,73,0,73,12
102,86,58,28,0,0,58,0,58,28
103,87,32,55,0,0,32,0,32,55
104,88,31,57,0,0,31,0,31,57
105,89,1,88,0,0,1,0,1,88
106,90,35,55,0,0,35,0,35,55
107,91,76,15,0,0,76,0,76,15
108,92,48,44,0,0,48,0,48,44
109,93,62,31,0,0,62,0,62,31
110,94,6,88,0,0,6,0,6,88
111,95,63,32,0,0,63,0,63,32
112,96,59,37,0,0,59,0,59,37
113,97,75,22,0,0,75,0,75,22
114,98,70,28,0,0,70,0,70,28
115,99,77,22,0,0,77,0,77,22
116,100,50,50,0,0,50,0,50,50
117,101,89,12,0,0,89,0,89,12
118,102,86,16,0,0,86,0,86,16
119,103,89,14,0,0,89,0,89,14
121,104,90,14,0,0,90,0,90,14
122,105,45,60,0,0,45,0,45,60
123,106,87,19,0,0,87,0,87,19
124,107,78,29,0,0,78,0,78,29
125,108,75,33,0,0,75,0,75,33
127,109,63,46,0,0,63,0,63,46
128,110,9,101,0,0,9,0,9,101
129,111,71,40,0,0,71,0,71,40
130,112,32,80,0,0,32,0,32,80
131,113,97,16,0,0,97,0,97,16
133,114,100,14,0,0,100,0,100,14
134,115,97,18,0,0,97,0,97,18
135,116,69,47,0,0,69,0,69,47
136,117,84,33,0,0,84,0,84,33
137,118,95,23,0,0,95,0,95,23
138,119,101,18,0,0,101,0,101,18
139,120,111,9,0,0,111,0,111,9
140,121,9,112,0,0,9,0,9,112
141,122,72,50,0,0,72,0,72,50
142,123,108,15,0,0,108,0,108,15
144,124,62,62,0,0,62,0,62,62
146,125,75,50,0,0,75,0,75,50
147,126,32,94,0,0,32,0,32,94
148,127,50,77,0,0,50,0,50,77
149,128,116,12,0,0,116,0,116,12
150,129,76,53,0,0,76,0,76,53
151,130,84,46,0,0,84,0,84,46
152,131,102,29,0,0,102,0,102,29
153,132,31,101,0,0,31,0,31,101
154,133,94,39,0,0,94,0,94,39
155,134,98,36,0,0,98,0,98,36
156,135,113,22,0,0,113,0,113,22
157,136,119,17,0,0,119,0,119,17
158,137,58,79,0,0,58,0,58,79
159,138,110,28,0,0,110,0,110,28
160,139,69,70,0,0,69,0,69,70
161,140,89,51,0,0,89,0,89,51
162,141,110,31,0,0,110,0,110,31
163,142,105,37,0,0,105,0,105,37
164,143,83,60,0,0,83,0,83,60
165,144,97,47,0,0,97,0,97,47
166,145,74,71,0,0,74,0,74,71
167,146,133,13,0,0,133,0,133,13
169,147,106,41,0,0,106,0,106,41
171,148,130,18,0,0,130,0,130,18
172,149,70,79,0,0,70,0,70,79
173,150,63,87,0,0,63,0,63,87
174,151,130,21,0,0,130,0,130,21
175,152,107,45,0,0,107,0,107,45
177,153,127,26,0,0,127,0,127,26
178,154,136,18,0,0,136,0,136,18
179,155,112,43,0,0,112,0,112,43
180,156,110,46,0,0,110,0,110,46
181,157,140,17,0,0,140,0,140,17
182,158,151,7,0,0,151,0,151,7
183,159,35,124,0,0,35,0,35,124
184,160,110,50,0,0,110,0,110,50
185,161,120,41,0,0,120,0,120,41
186,162,31,131,0,0,31,0,31,131
187,163,147,16,0,0,147,0,147,16
188,164,134,30,0,0,134,0,134,30
189,165,136,29,0,0,136,0,136,29
191,166,151,15,0,0,151,0,151,15
192,167,6,161,0,0,6,0,6,161
194,168,156,12,0,0,156,0,156,12
195,169,112,57,0,0,112,0,112,57
196,170,144,26,0,0,144,0,144,26
197,171,147,24,0,0,147,0,147,24
198,172,134,38,0,0,134,0,134,38
199,173,162,11,0,0,162,0,162,11
200,174,131,43,0,0,131,0,131,43
201,175,131,44,0,0,131,0,131,44
202,176,154,22,0,0,154,0,154,22
203,177,130,47,0,0,130,0,130,47
204,178,112,66,0,0,112,0,112,66
205,179,122,57,0,0,122,0,122,57
206,180,26,154,0,0,26,0,26,154
207,181,172,9,0,0,172,0,172,9
208,182,40,142,0,0,40,0,40,142
209,183,157,26,0,0,157,0,157,26
210,184,0,184,0,0,0,0,0,184
211,185,135,50,0,0,135,0,135,50
212,186,113,73,0,0,113,0,113,73
213,187,175,12,0,0,175,0,175,12
214,188,157,31,0,0,157,0,157,31
215,189,170,19,0,0,170,0,170,19
216,190,139,51,0,0,139,0,139,51
217,191,158,33,0,0,158,0,158,33
218,192,146,46,0,0,146,0,146,46
219,193,157,36,0,0,157,0,157,36
220,194,63,131,0,0,63,0,63,131
221,195,156,39,0,0,156,0,156,39
222,196,149,47,0,0,149,0,149,47
223,197,143,54,0,0,143,0,143,54
224,198,142,56,0,0,142,0,142,56
225,199,163,36,0,0,163,0,163,36
226,200,184,16,0,0,184,0,184,16
227,201,160,41,0,0,160,0,160,41
228,202,175,27,0,0,175,0,175,27
229,203,186,17,0,0,186,0,186,17
230,204,168,36,0,0,168,0,168,36
231,205,153,52,0,0,153,0,153,52
232,206,160,46,0,0,160,0,160,46
