endpoint,residual_pairs,common_active_pairs,repair_tests,equalities,primitive_cells,wall_queries
2,1,1,421,0,7,3926
3,2,2,842,0,20,7852
4,3,3,1263,0,33,11778
5,4,4,1684,0,64,15704
6,5,2,994,0,65,13294
7,6,4,1721,0,132,18888
9,7,7,2947,0,151,27482
11,8,4,1844,0,256,23624
12,9,4,1968,0,205,24974
13,10,8,3632,0,388,36734
14,11,7,3075,0,349,35308
17,12,9,4324,0,590,42882
18,13,10,4310,0,449,44430
19,14,10,4455,0,786,45214
21,15,14,5914,0,615,56664
22,16,5,2218,0,794,31034
23,17,8,3846,0,1161,48626
24,18,2,1454,0,818,28142
25,19,0,574,0,1377,18532
26,20,12,5608,0,1188,65030
27,21,17,7441,0,1303,77274
28,22,13,5918,0,1250,68394
29,23,20,8547,0,2025,85378
31,24,12,6049,0,2236,72792
32,25,13,6100,0,1831,73584
33,26,22,9377,0,1900,93056
34,27,22,9396,0,2125,95102
35,28,14,6526,0,2460,82662
36,29,15,6976,0,1861,80380
37,30,24,10408,0,3374,108236
38,31,24,10213,0,2733,102176
39,32,28,11873,0,2814,116824
41,33,29,12387,0,4093,121210
43,34,31,13169,0,4392,127912
44,35,15,8425,0,3231,106596
45,36,27,11808,0,3478,125944
46,37,9,4544,0,3983,78502
47,38,23,10984,0,5398,125354
48,39,1,2734,0,3393,70948
49,40,37,15944,0,5350,153728
50,40,0,64,0,4220,16450
51,41,28,13001,0,4697,138230
52,43,27,12557,0,4701,132020
53,44,29,13008,0,7088,144996
54,45,33,14722,0,4491,154156
55,46,9,5399,0,6406,85448
56,47,39,17147,0,5187,167068
57,48,37,16821,0,6304,170078
58,49,34,15404,0,6639,167184
59,50,23,12527,0,8994,150038
61,51,36,15627,0,9435,164438
62,52,26,12469,0,7544,150920
64,53,10,6238,0,7399,109058
65,54,24,11742,0,8920,152878
66,55,52,21960,0,6365,208206
67,56,41,19732,0,11356,204044
68,57,49,21131,0,8103,208256
69,58,38,17194,0,9438,185622
70,59,7,5001,0,7829,121030
71,60,49,22255,0,12924,220544
72,61,9,5973,0,7547,123134
73,62,39,18803,0,13742,204944
74,63,44,20157,0,10779,213664
75,64,18,10210,0,10302,158388
76,65,45,19833,0,10347,216850
77,66,53,23403,0,12676,237766
