q,r,tests,first_inactive_mask,literal_mass,literal_margin,literal_grid,primary_margin,primary_den
1,6,17,0c82044a,1148173255212,-629722587564,18241159416480,-52896697355376,1532257390984320
1,11,92,19c00c40,1143878665552,-900281736144,18241159416480,-138643387366176,2809138550137920
1,12,92,19c00c40,1151961215666,-391081078962,18241159416480,-65701621265616,3064514781968640
1,22,17,0c82044a,1149989354708,-515308319316,18241159416480,-158714962349328,5618277100275840
1,24,46,0ac44140,1154538617372,-228704771484,18241159416480,-76844803218624,6129029563937280
1,25,2,06411019,5669295777938,-7657554319506,91205797082400,-536028802365420,6384405795768000
1,31,196,0200c5d0,35718448748176,-11641496508432,565475941910880,-162980951118048,7916663186752320
1,32,17,0c82044a,2275999189948,-2541326365116,36482318832960,-569257105785984,8172039418583040
1,46,92,19c00c40,26595257979020,-2685413637900,419546666579040,-75191581861200,11747306664213120
1,48,17,0c82044a,1155857303954,-145627516818,18241159416480,-97861691301696,12258059127874560
1,50,1,0a10d120,5731767445272,-3721839277464,91205797082400,-521057498844960,12768811591536000
1,55,46,0ac44140,1152261496442,-372163390074,18241159416480,-286565810356980,14045692750689600
1,59,25,0812412c,67835124401628,-31300784986716,1076228405572320,-438210989814024,15067197678012480
1,62,378,1a101c10,34920654936366,-61902506652462,565475941910880,-1733270186268936,15833326373504640
1,64,4,09034019,4614437809056,-1148968693152,72964637665920,-257368987266048,16344078837166080
1,65,58,08c0a980,1149332639292,-556681390524,18241159416480,-506580065376840,16599455068996800
1,70,4,09034019,1154885186896,-206870891472,18241159416480,-202733473642560,17876336228150400
1,72,17,0c82044a,1122790101402,-2228861277594,18241159416480,-2246692167814752,18387088691811840
1,75,17,0c82044a,5746269140608,-2808232471296,91205797082400,-589728818972160,19153217387304000
1,82,22,0202a129,47336702016130,-9337917286530,747887536075680,-261461684022840,20940851010119040
1,83,17,0c82044a,95100684269626,-64721817284922,1514016231567840,-906105441988908,21196227241949760
1,94,199,08c42c01,54415900302448,-1136251244016,857334492574560,-31815034832448,24005365792087680
1,96,1,0a10d120,2117367172658,-12535143454386,36482318832960,-8423616401347392,24516118255749120
1,100,12,18492600,5531095560236,-16364168034732,91205797082400,-4581967049724960,25537623183072000
1,105,17,0c82044a,1104054725720,-3409189945560,18241159416480,-5011509219973200,26814504342225600
1,110,1,0a10d120,1156974929428,-75217111956,18241159416480,-115834352412240,28091385501379200
1,122,203,06418124,70587877305704,-3806627361768,1112710724405280,-106585566129504,31155900283347840
1,128,3,2a904060,9189789646206,-4760353616382,145929275331840,-1066319210069568,32688157674332160
1,130,26,0230106c,1152021549296,-387280060272,18241159416480,-704849709695040,33198910137993600
1,140,4,09034019,1121939656120,-2282439330360,18241159416480,-4473581087505600,35752672456300800
1,144,33,1e808042,1140373675358,-1121096118366,18241159416480,-2260129774625856,36774177383623680
1,147,120,02c1c300,8069636984874,-2365333614378,127688115915360,-695408082627132,37540306079115840
1,153,58,08c0a980,1146087954518,-761096531286,18241159416480,-1630268770014612,39072563470100160
1,160,381,0e008550,2307785542780,-538786136700,36482318832960,-603440473104000,40860197092915200
1,166,17,0c82044a,94302132450802,-115030581870834,1514016231567840,-3220856292383352,42392454483899520
1,173,17,0c82044a,192527958039978,-493620959685546,3155720579051040,-6910693435597644,44180088106714560
1,183,17,0c82044a,70216096411244,-27228823712748,1112710724405280,-1143610595935416,46733850425021760
1,186,37,10864540,35674081288794,-14436646449498,565475941910880,-1212678301757832,47499979120513920
1,192,1,0a10d120,4313951935314,-20079578738898,72964637665920,-13493476912539456,49032236511498240
1,206,22,0202a129,118009873906048,-80735623508736,1878839419897440,-2260597458244608,52607503757128320
1,210,4,09034019,1102287692442,-3520513042074,18241159416480,-10350308343697560,53629008684451200
1,239,25,0812412c,275497564935424,-82201811223168,4359637100538720,-1150825357124352,61034919407542080
1,244,91,2210812c,70473425059528,-11017118870856,1112710724405280,-616958656767936,62311800566695680
1,253,197,122e0808,26616226526474,-1364395148298,419546666579040,-210116852837892,64610186653172160
1,256,17,0c82044a,17966201262320,-35563523128560,291858550663680,-7966229180797440,65376315348664320
1,260,17,0c82044a,1133579314748,-1549140836796,18241159416480,-5638872645937440,66397820275987200
1,265,199,08c42c01,61135100392706,-15614471553282,966781449073440,-1093013008729740,67674701435140800
1,270,92,19c00c40,3424874246674,-3126835457298,54723478249440,-3939812676195480,68951582594294400
1,282,17,0c82044a,53365275395452,-67325620384764,857334492574560,-5655352112320176,72016097376263040
1,294,46,0ac44140,7995674412976,-7024975643952,127688115915360,-4130685678643776,75080612158231680
1,306,25,0812412c,1155349254086,-177634658502,18241159416480,-760986877022568,78145126940200320
1,313,17,0c82044a,360350645968562,-135840893413554,5709482897358240,-1901772507789756,79932760563015360
1,320,81,08940509,4604312539530,-1786860673290,72964637665920,-2001283954084800,81720394185830400
1,346,17,0c82044a,197147818540558,-202569748149006,3155720579051040,-5671952948172168,88360176213429120
1,366,25,0812412c,68494584679180,-135684062832780,1112710724405280,-11397461277953520,93467700850043520
1,372,92,19c00c40,35685732269986,-13702634634402,565475941910880,-2302042618579536,94999958241027840
1,384,129,12c80482,9242366039192,-1448040858264,145929275331840,-973083456753408,98064473022996480
1,416,159,088248c8,2313744107350,-163396568790,36482318832960,-475810808316480,106236512441579520
1,520,37,10864540,1143527254810,-922420612890,18241159416480,-6715222061839200,132795640551974400
2,6,3,2a904060,1146567124318,-730908833886,18241159416480,-61396342046424,1532257390984320
2,11,46,0ac44140,1147653945180,-662439119580,18241159416480,-204031248830640,5618277100275840
2,12,3,2a904060,1155783391086,-150284027502,18241159416480,-25247716620336,3064514781968640
2,14,43,38060490,1102048987754,-3535551437418,18241159416480,-692968081733928,3575267245630080
2,18,77,09828640,1135519416356,-1426914435492,18241159416480,-359582437743984,4596772172952960
2,22,3,2a904060,1125476443548,-2059621722396,18241159416480,-634363490497968,5618277100275840
2,23,250,18324404,26477791438974,-10085805660798,419546666579040,-282402558502344,11747306664213120
2,24,1,0a10d120,1102541847598,-3504501267246,18241159416480,-1177512425794656,6129029563937280
2,25,4,09034019,5637454531982,-9663552814734,91205797082400,-1352897394062760,12768811591536000
2,26,37,10864540,1151320414168,-431451573336,18241159416480,-157048372694304,6639782027598720
2,28,21,19801c80,1123197415118,-2203200513486,18241159416480,-863654601286512,7150534491260160
2,31,227,18822601,35686564407272,-13650209985384,565475941910880,-382205879590752,15833326373504640
2,32,17,0c82044a,2192216858252,-7819613261964,36482318832960,-1751593370679936,8172039418583040
2,35,199,08c42c01,1147302410818,-684585784386,18241159416480,-670894068698280,17876336228150400
2,36,46,0ac44140,1143471194322,-925952423634,18241159416480,-466680021511536,9193544345905920
2,44,252,280a2007,1153431124044,-298476851148,18241159416480,-183861740307168,11236554200551680
2,46,3,2a904060,26528239653350,-6907568155110,419546666579040,-193411908343080,11747306664213120
2,48,33,1e808042,1144594078370,-855210728610,18241159416480,-574701609625920,12258059127874560
2,50,1,0a10d120,5736063589120,-3451182215040,91205797082400,-483165510105600,12768811591536000
2,55,21,19801c80,1156903914400,-79691058720,18241159416480,-122724230428800,28091385501379200
2,58,92,19c00c40,1126045747718,-2023755559686,18241159416480,-1643289514465032,14811821446181760
2,59,25,0812412c,68036266561118,-18628828938846,1076228405572320,-521607210287688,30134395356024960
2,61,46,0ac44140,69469802956782,-74245311343854,1112710724405280,-2078868717627912,31155900283347840
2,62,20,1804aa01,35878275828226,-1572390465282,565475941910880,-44026933027896,15833326373504640
2,64,3,2a904060,4508727067362,-7808745419874,72964637665920,-1749158974051776,16344078837166080
2,65,58,08c0a980,1113736472672,-2799239887584,18241159416480,-5094616595402880,33198910137993600
2,70,32,32a40801,1145876573452,-774413538444,18241159416480,-758925267675120,17876336228150400
2,72,33,1e808042,1124461009456,-2123594070192,18241159416480,-2140582822753536,18387088691811840
2,75,25,0812412c,5700936197480,-5664207888360,91205797082400,-2378967313111200,38306434774608000
2,79,92,19c00c40,90188588580990,-82325295005310,1441051593901920,-2305108260148680,40349444629253760
2,82,4,09034019,46688207612938,-50193064687626,747887536075680,-1405405811253528,20940851010119040
2,83,3,2a904060,94273441016690,-116838142219890,1514016231567840,-3271467982156920,42392454483899520
2,86,33,1e808042,49133641527306,-42060003414282,784369854908640,-1177680095599896,21962355937441920
2,93,46,0ac44140,34880759483500,-64415920183020,565475941910880,-5410937295373680,47499979120513920
2,94,46,0ac44140,52869274151334,-98573698764198,857334492574560,-2760063565397544,24005365792087680
2,96,1,0a10d120,2137563167954,-11262795750738,36482318832960,-7568598744495936,24516118255749120
2,100,3,2a904060,5688027914332,-6477429726684,91205797082400,-1813680323471520,25537623183072000
2,105,17,0c82044a,1125114978208,-2082394038816,18241159416480,-6122238474119040,53629008684451200
2,110,3,2a904060,1157390165796,-49057220772,18241159416480,-75548119988880,28091385501379200
2,114,17,0c82044a,1157813775262,-22369824414,18241159416480,-35702239764744,29112890428702080
2,116,25,0812412c,1109606264404,-3059443008468,18241159416480,-4968535445752032,29623642892363520
2,118,46,0ac44140,68207889380706,-7816591304802,1076228405572320,-218864556534456,30134395356024960
2,122,33,1e808042,69202297651350,-91098145586070,1112710724405280,-2550748076409960,31155900283347840
2,123,25,0812412c,47443714830798,-2596109962446,747887536075680,-218073236845464,62822553030357120
2,127,77,09828640,145310636244544,-111938900165568,2316627245892960,-3134289204635904,64865562885002880
2,128,1,0a10d120,8899458727652,-23051201485284,145929275331840,-5163469132703616,32688157674332160
2,129,46,0ac44140,48661241088418,-71821231064226,784369854908640,-6032983409394984,65887067812325760
2,130,1,0a10d120,1142603278408,-980631126216,18241159416480,-1784748649713120,33198910137993600
2,135,92,19c00c40,3392403656860,-5172482615580,54723478249440,-6517328095630800,68951582594294400
2,140,4,09034019,1122987433820,-2216429335260,18241159416480,-4344201497109600,35752672456300800
2,141,46,0ac44140,53573074833906,-54234255762162,857334492574560,-4555677484021608,72016097376263040
2,144,33,1e808042,1152160754194,-378510151698,18241159416480,-763076465823168,36774177383623680
2,146,159,088248c8,83363099898096,-74543256032112,1331604637403040,-2087211168899136,37284929847285120
2,147,3,2a904060,8052791393962,-3426605841834,127688115915360,-2014844234998392,75080612158231680
2,148,4,09034019,42521430088888,-20841498039096,674922898409760,-1167123890189376,37795682310946560
2,153,25,0812412c,1138346643666,-1248799114962,18241159416480,-5349855408497208,78145126940200320
2,158,92,19c00c40,90946804614788,-34557684876036,1441051593901920,-967615176529008,40349444629253760
2,160,381,0e008550,2254872646430,-3872298606750,36482318832960,-4336974439560000,40860197092915200
2,164,17,0c82044a,47355008658236,-8184598833852,747887536075680,-458337534695712,41881702020238080
2,166,3,2a904060,92888873143002,-204065918262234,1514016231567840,-5713845711342552,42392454483899520
