a_hex	b_hex	cover	count	least_mask	labels
0000000000000000	0000000000000001	1	354	03684084	2,7,14,19,21,22,24,25
0000000000000000	0000000000000002	1	79	0128940a	1,3,10,12,15,19,21,24
0000000000000000	0000000000000004	1	43	01289405	0,2,10,12,15,19,21,24
0000000000000000	0000000000000006	2	87	0128d404	2,10,12,14,15,19,21,24
0000000000000000	0000000000000008	1	1042	01283206	1,2,9,12,13,19,21,24
0000000000000000	000000000000000e	3	1	11e89000	12,15,19,21,22,23,24,28
0000000000000000	0000000000000010	1	5	01a84448	3,6,10,14,19,21,23,24
0000000000000000	0000000000000012	2	45	01a8440c	2,3,10,14,19,21,23,24
0000000000000000	0000000000000020	1	14	01205445	0,2,6,10,12,14,21,24
0000000000000000	0000000000000024	2	9	01285405	0,2,10,12,14,19,21,24
0000000000000000	0000000000000030	2	12	01a84444	2,6,10,14,19,21,23,24
0000000000000000	0000000000000036	4	22	01a85404	2,10,12,14,19,21,23,24
0000000000000000	0000000000000040	1	1	11c85080	7,12,14,19,22,23,24,28
0000000000000000	0000000000000041	2	2	11c840c0	6,7,14,19,22,23,24,28
0000000000000000	0000000000000071	4	1	11e84040	6,14,19,21,22,23,24,28
0000000000000000	0000000000000076	5	1	11e85000	12,14,19,21,22,23,24,28
0000000000000000	0000000000000080	1	207	01081685	0,2,7,9,10,12,19,24
0000000000000000	00000000000000a0	2	8	11281441	0,6,10,12,19,21,24,28
0000000000000000	00000000000000a4	3	10	11281405	0,2,10,12,19,21,24,28
0000000000000000	00000000000000b0	3	7	11281640	6,9,10,12,19,21,24,28
0000000000000000	00000000000000b6	5	25	11681402	1,10,12,19,21,22,24,28
0000000000000000	00000000000000f8	5	1	11e81040	6,12,19,21,22,23,24,28
0000000000000000	0000000000000100	1	61	0080d48c	2,3,7,10,12,14,15,23
0000000000000000	0000000000000102	2	113	0120d40c	2,3,10,12,14,15,21,24
0000000000000000	0000000000000200	1	216	00805487	0,1,2,7,10,12,14,23
0000000000000000	0000000000000204	2	116	01209605	0,2,9,10,12,15,21,24
0000000000000000	0000000000000224	3	27	01605405	0,2,10,12,14,21,22,24
0000000000000000	0000000000000280	2	84	01201683	0,1,7,9,10,12,21,24
0000000000000000	00000000000002a4	4	11	11601405	0,2,10,12,21,22,24,28
0000000000000000	0000000000000300	2	164	0080c5a4	2,5,7,8,10,14,15,23
0000000000000000	0000000000000306	4	161	0160d404	2,10,12,14,15,21,22,24
0000000000000000	000000000000030e	5	2	11e09200	9,12,15,21,22,23,24,28
0000000000000000	0000000000000400	1	87	00a054c4	2,6,7,10,12,14,21,23
0000000000000000	0000000000000410	2	23	01a0444c	2,3,6,10,14,21,23,24
0000000000000000	0000000000000430	3	39	01a05442	1,6,10,12,14,21,23,24
0000000000000000	0000000000000441	3	1	11e040c0	6,7,14,21,22,23,24,28
0000000000000000	0000000000000470	4	2	11e05040	6,12,14,21,22,23,24,28
0000000000000000	0000000000000471	5	4	11e04050	4,6,14,21,22,23,24,28
0000000000000000	0000000000000480	2	13	01a015c0	6,7,8,10,12,21,23,24
0000000000000000	00000000000004b0	4	17	11601442	1,6,10,12,21,22,24,28
0000000000000000	00000000000004c0	3	1	11e010c0	6,7,12,21,22,23,24,28
0000000000000000	00000000000004f8	6	1	19e01040	6,12,21,22,23,24,27,28
0000000000000000	0000000000000500	2	103	00a0548c	2,3,7,10,12,14,21,23
0000000000000000	0000000000000512	4	91	01a0540a	1,3,10,12,14,21,23,24
0000000000000000	0000000000000700	3	164	00a05684	2,7,9,10,12,14,21,23
0000000000000000	0000000000000736	7	57	01a05406	1,2,10,12,14,21,23,24
0000000000000000	0000000000000740	4	1	11e05080	7,12,14,21,22,23,24,28
0000000000000000	0000000000000776	8	7	11e05002	1,12,14,21,22,23,24,28
0000000000000000	0000000000000780	4	50	01e01484	2,7,10,12,21,22,23,24
0000000000000000	00000000000007b6	8	22	11601424	2,5,10,12,21,22,24,28
0000000000000000	0000000000000800	1	19	11089209	0,3,9,12,15,19,24,28
0000000000000000	0000000000000804	2	6	1148d001	0,12,14,15,19,22,24,28
0000000000000000	0000000000000806	3	4	11c8c200	9,14,15,19,22,23,24,28
0000000000000000	0000000000001000	1	181	0108540d	0,2,3,10,12,14,19,24
0000000000000000	0000000000001010	2	8	0188444c	2,3,6,10,14,19,23,24
0000000000000000	0000000000001012	3	52	0188540c	2,3,10,12,14,19,23,24
0000000000000000	0000000000001020	2	29	01805443	0,1,6,10,12,14,23,24
0000000000000000	0000000000001024	3	13	01885405	0,2,10,12,14,19,23,24
0000000000000000	0000000000001030	3	23	01884464	2,5,6,10,14,19,23,24
0000000000000000	0000000000001036	5	44	01c84424	2,5,10,14,19,22,23,24
0000000000000000	00000000000010a4	4	7	31480403	0,1,10,19,22,24,28,29
0000000000000000	00000000000010b0	4	1	31c80440	6,10,19,22,23,24,28,29
0000000000000000	00000000000010b6	6	8	31480406	1,2,10,19,22,24,28,29
