a_hex	b_hex	cover	count	least_mask	labels
0000000000000001	0000000000000000	1	722	02123083	0,1,7,12,13,17,20,25
0000000000000002	0000000000000000	1	124	12861006	1,2,12,17,18,23,25,28
0000000000000004	0000000000000000	1	97	12c08007	0,1,2,15,22,23,25,28
0000000000000006	0000000000000000	2	13	32c80003	0,1,19,22,23,25,28,29
0000000000000007	0000000000000000	3	2	32c01003	0,1,12,22,23,25,28,29
0000000000000008	0000000000000000	1	908	0200a127	0,1,2,5,8,13,15,25
0000000000000009	0000000000000000	2	19	0a022a81	0,7,9,11,13,17,25,27
000000000000000c	0000000000000000	2	54	12808125	0,2,5,8,15,23,25,28
000000000000000e	0000000000000000	3	26	32880007	0,1,2,19,23,25,28,29
0000000000000010	0000000000000000	1	566	12048017	0,1,2,4,15,18,25,28
0000000000000012	0000000000000000	2	163	12061007	0,1,2,12,17,18,25,28
0000000000000014	0000000000000000	2	42	12408125	0,2,5,8,15,22,25,28
0000000000000016	0000000000000000	3	13	32480007	0,1,2,19,22,25,28,29
000000000000001c	0000000000000000	3	30	32009007	0,1,2,12,15,25,28,29
000000000000001e	0000000000000000	4	16	32080017	0,1,2,4,19,25,28,29
0000000000000020	0000000000000000	1	357	01648124	2,5,8,15,18,21,22,24
0000000000000040	0000000000000000	1	27	00b0812c	2,3,5,8,15,20,21,23
0000000000000080	0000000000000000	1	23	00d0a281	0,7,9,13,15,20,22,23
00000000000000c0	0000000000000000	2	2	30b0a002	1,13,15,20,21,23,28,29
0000000000000100	0000000000000000	1	165	105084c1	0,6,7,10,15,20,22,28
0000000000000180	0000000000000000	2	19	10d28201	0,9,15,17,20,22,23,28
00000000000001c0	0000000000000000	3	3	30f08002	1,15,20,21,22,23,28,29
0000000000000200	0000000000000000	1	22	10a084c8	3,6,7,10,15,21,23,28
0000000000000500	0000000000000000	2	1	30c08441	0,6,10,15,22,23,28,29
0000000000000600	0000000000000000	2	1	30a22480	7,10,13,17,21,23,28,29
0000000000000700	0000000000000000	3	2	30a084c0	6,7,10,15,21,23,28,29
0000000000000800	0000000000000000	1	707	00163281	0,7,9,12,13,17,18,20
0000000000000801	0000000000000000	2	29	00523281	0,7,9,12,13,17,20,22
0000000000000881	0000000000000000	3	4	08d22081	0,7,13,17,20,22,23,27
0000000000001000	0000000000000000	1	92	1012b088	3,7,12,13,15,17,20,28
0000000000001040	0000000000000000	2	30	1052a088	3,7,13,15,17,20,22,28
00000000000010c0	0000000000000000	3	9	10d2a080	7,13,15,17,20,22,23,28
0000000000001801	0000000000000000	3	9	18523080	7,12,13,17,20,22,27,28
00000000000018c1	0000000000000000	5	1	30d22080	7,13,17,20,22,23,28,29
0000000000002000	0000000000000000	1	43	10cc8003	0,1,15,18,19,22,23,28
0000000000002002	0000000000000000	2	39	308c0007	0,1,2,18,19,23,28,29
0000000000002004	0000000000000000	2	1	30c88003	0,1,15,19,22,23,28,29
0000000000002010	0000000000000000	2	91	104c9003	0,1,12,15,18,19,22,28
0000000000002012	0000000000000000	3	109	300c0017	0,1,2,4,18,19,28,29
0000000000002016	0000000000000000	4	1	30480096	1,2,4,7,19,22,28,29
0000000000004000	0000000000000000	1	99	10063288	3,7,9,12,13,17,18,28
0000000000004020	0000000000000000	2	11	18068888	3,7,11,15,17,18,27,28
0000000000008000	0000000000000000	1	59	0006b281	0,7,9,12,13,15,17,18
0000000000008800	0000000000000000	2	47	00463281	0,7,9,12,13,17,18,22
0000000000008801	0000000000000000	3	1	08c23081	0,7,12,13,17,22,23,27
000000000000a000	0000000000000000	2	17	10c49003	0,1,12,15,18,22,23,28
000000000000a010	0000000000000000	3	10	30449003	0,1,12,15,18,22,28,29
000000000000a802	0000000000000000	4	1	30c41003	0,1,12,18,22,23,28,29
000000000000c000	0000000000000000	2	88	1006b280	7,9,12,13,15,17,18,28
