a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000000000001	0000000000000000	1	6213	0442a881	8	434	5779	214320479188450	3732220677150
0000000000000002	0000000000000000	1	1247	04232281	8	69	1178	214588431550878	20613219510114
0000000000000003	0000000000000000	2	2029	04a02483	8	132	1897	215809413081242	97535055923046
0000000000000004	0000000000000000	1	11616	04013216	8	1113	10503	214374415255656	7130192911128
0000000000000006	0000000000000000	2	2187	04032681	8	163	2024	214372873887648	7033086726624
0000000000000007	0000000000000000	3	2254	0482a481	8	169	2085	215948871517210	106320937389030
0000000000000008	0000000000000000	1	4013	0403c601	8	204	3809	214303741042698	2677717494774
0000000000000009	0000000000000000	2	161	14628441	9	0	161	219426434627070	325407413310210
000000000000000a	0000000000000000	2	154	24230601	8	5	149	218320303764228	255721168951164
000000000000000b	0000000000000000	3	105	2c228401	8	2	103	214516112602810	16057125781830
000000000000000e	0000000000000000	3	185	24030681	8	14	171	215024500740228	48085578439164
000000000000000f	0000000000000000	4	50	2c038401	8	1	49	214786912194710	33117500071530
0000000000000010	0000000000000000	1	10867	0040ecc0	8	1158	9709	214757617102682	31271909273766
0000000000000011	0000000000000000	2	1194	0c412c80	8	65	1129	215343478258492	68181162089796
0000000000000012	0000000000000000	2	327	24212203	8	18	309	217056859893822	176124205115586
0000000000000013	0000000000000000	3	233	2420a441	8	5	228	214561947653322	18944733964086
0000000000000016	0000000000000000	3	388	24012216	8	35	353	216899138329812	166187746582956
0000000000000017	0000000000000000	4	126	3400a481	8	2	124	215356051533602	68973278421726
0000000000000018	0000000000000000	2	6712	0401c321	8	543	6169	214607777347452	21832004694276
0000000000000019	0000000000000000	3	208	24608441	8	3	205	214884878519972	39289378563036
000000000000001a	0000000000000000	3	237	24210603	8	15	222	217187307190092	184342384780596
000000000000001b	0000000000000000	4	52	242084c3	9	0	52	216997498101682	172384412210766
000000000000001e	0000000000000000	4	187	24018603	8	14	173	214275663608082	908839113966
000000000000001f	0000000000000000	5	19	24018525	9	0	19	215494846269342	77717346773346
0000000000000020	0000000000000000	1	11033	0110aa88	8	615	10418	215982583131502	108444769089426
0000000000000040	0000000000000000	1	453	10f00403	8	12	441	216214044303332	123026822914716
0000000000000041	0000000000000000	2	50	10e08443	9	0	50	215226535215302	60813750368826
0000000000000042	0000000000000000	2	7	18a20681	9	0	7	216157533830898	119466663151374
0000000000000043	0000000000000000	3	18	18a20483	9	0	18	214541841259380	17678031145740
0000000000000080	0000000000000000	1	12509	0088c207	8	542	11967	214749657511560	30770455033080
0000000000000100	0000000000000000	1	16745	0080403f	8	1149	15596	219328396195402	319230992115126
0000000000000101	0000000000000000	2	94	08c0a883	9	0	94	214669622905652	25728274860876
0000000000000102	0000000000000000	2	6	10a0a283	9	0	6	215983212645822	108484428491586
0000000000000103	0000000000000000	3	1	30a0a083	9	0	1	216636348988772	149632018097436
0000000000000106	0000000000000000	3	3	3080a283	9	0	3	218349968362042	257590038613446
0000000000000110	0000000000000000	2	608	20406096	8	5	603	216422306088222	136147315362786
0000000000000111	0000000000000000	3	8	1860a881	9	0	8	214317019402872	3514254185736
0000000000000180	0000000000000000	2	3055	0080c127	8	72	2983	217313368686422	192284259049386
0000000000000200	0000000000000000	1	3174	10509403	8	212	2962	214632089041354	23363641410102
0000000000000204	0000000000000000	2	203	30809403	8	1	202	216856700032664	163514133862632
0000000000000240	0000000000000000	2	722	10d08403	8	32	690	216715519014862	154619729741106
0000000000000241	0000000000000000	3	53	30c00496	9	0	53	215688363189032	89908912713816
0000000000000246	0000000000000000	4	17	30808643	9	0	17	220095808876232	367577991007416
0000000000000247	0000000000000000	5	11	308084c3	9	0	11	217710818446742	217323593949546
0000000000000400	0000000000000000	1	13420	0036a088	8	1207	12213	214519405891048	16264602940824
0000000000000800	0000000000000000	1	10239	0012a4c8	8	898	9341	215302463986570	65597262958710
0000000000000802	0000000000000000	2	113	20a02682	8	1	112	215544555168142	80849007397746
0000000000000803	0000000000000000	3	145	20a22482	8	3	142	215889110279820	102555979433460
0000000000000806	0000000000000000	3	153	2080a6c0	8	3	150	214403689665112	8974480706856
0000000000000807	0000000000000000	4	131	28822482	8	6	125	214629094667210	23174995839030
0000000000000812	0000000000000000	3	1	3020a6c0	9	0	1	214447840792292	11756001719196
0000000000000813	0000000000000000	4	1	3020a4c2	9	0	1	214488794052732	14336057126916
0000000000000840	0000000000000000	2	170	30b08402	8	6	164	218846360053642	288862715184246
0000000000000842	0000000000000000	3	17	10a086c2	9	0	17	214763051143632	31614253853616
0000000000000843	0000000000000000	4	17	18a084c2	9	0	17	214345799005862	5327369174106
0000000000000a40	0000000000000000	3	172	30908442	8	6	166	217162356029082	182770461636966
0000000000000a46	0000000000000000	5	14	308086c2	9	0	14	218126533103092	243513617299596
0000000000000a47	0000000000000000	6	7	308284c2	9	0	7	215994627729130	109203578739990
0000000000000c20	0000000000000000	3	1628	18122288	8	33	1595	214523878791878	16546395693114
0000000000000c22	0000000000000000	4	8	08a222c2	9	0	8	216932983801258	168320011284054
0000000000000c23	0000000000000000	5	3	28a2a082	9	0	3	214478747460110	13703121791730
0000000000000c26	0000000000000000	5	6	28822292	9	0	6	214765868935338	31791774731094
0000000000000c27	0000000000000000	6	1	3882a082	9	0	1	215227333274140	60864028075620
0000000000000c60	0000000000000000	4	14	10b08126	9	0	14	215890614462922	102650742968886
0000000000000d20	0000000000000000	4	11	3080a28a	9	0	11	215410518595782	72404703339066
0000000000000d22	0000000000000000	5	3	30a0a282	9	0	3	217840480012822	225492272612586
0000000000000e60	0000000000000000	5	1	30908126	9	0	1	217873634460322	227581002805086
0000000000001000	0000000000000000	1	6644	2002e441	8	568	6076	214433034006800	10823174233200
0000000000001001	0000000000000000	2	98	38422401	8	2	96	214800282284150	33959815706250
0000000000001002	0000000000000000	2	4	2022a641	9	0	4	215245791930618	62026923433734
0000000000001003	0000000000000000	3	3	2822a441	9	0	3	218270004107810	252552290596830
0000000000001006	0000000000000000	3	4	2802a641	9	0	4	216211039423958	122837515514154
0000000000001007	0000000000000000	4	1	3802a441	9	0	1	214290765024380	1860228340740
0000000000001010	0000000000000000	2	738	2040e441	8	23	715	218296803830252	254240673110676
0000000000001011	0000000000000000	3	17	2060ac41	9	0	17	215765039674892	94739531322996
0000000000001110	0000000000000000	3	455	30406016	8	3	452	214539295848062	17517670232706
0000000000001800	0000000000000000	2	251	2032a440	8	7	244	216500953750020	141102118056060
0000000000001802	0000000000000000	3	2	2822a640	9	0	2	215226313050998	60799754017674
0000000000001803	0000000000000000	4	1	3822a440	9	0	1	216250856224440	125345973944520
0000000000001c20	0000000000000000	4	6	2030a126	9	0	6	214650829981822	24544320659586
0000000000002000	0000000000000000	1	541	1050c4c0	8	11	530	215635900693962	86603775524406
0000000000002040	0000000000000000	2	65	10708283	9	0	65	214969098164982	44595216198666
0000000000002240	0000000000000000	3	89	30508481	8	1	88	214883492740622	39202074463986
0000000000002840	0000000000000000	3	16	303084c2	9	0	16	217489140949942	203357911651146
0000000000002a40	0000000000000000	4	11	30108cd0	9	0	11	214645229705312	24191503239456
0000000000003000	0000000000000000	2	1468	30104407	8	99	1369	216096118236462	115597480701906
0000000000003040	0000000000000000	3	211	30308441	8	10	201	215304746697732	65741073761916
0000000000003240	0000000000000000	4	188	30508403	8	8	180	214668481425382	25656361603866
0000000000003840	0000000000000000	4	25	30308524	9	0	25	214476954818122	13590185346486
0000000000003a40	0000000000000000	5	4	38118640	9	0	4	214851348012612	37176956599356
0000000000004000	0000000000000000	1	3162	30044017	8	163	2999	220380811170390	385533135539370
0000000000004400	0000000000000000	2	2	38068a80	9	0	2	215843456615696	99679798593648
0000000000006008	0000000000000000	3	43	30024487	9	0	43	214778789233720	32605753529160
0000000000006018	0000000000000000	4	29	3000c4c3	9	0	29	219558694203282	333739766611566
000000000000604a	0000000000000000	5	1	38220681	9	0	1	216365893359548	132593313456324
000000000000604b	0000000000000000	6	1	38228481	9	0	1	215171667869090	57357107557470
0000000000006059	0000000000000000	6	1	30608cc0	9	0	1	214553806831322	18431862178086
0000000000006088	0000000000000000	4	10	30424096	9	0	10	214606458733870	21748932038610
0000000000006198	0000000000000000	6	2	30404097	9	0	2	216260834748272	125974620945936
000000000000624e	0000000000000000	7	2	38028681	9	0	2	214745614838258	30515766615054
000000000000684b	0000000000000000	7	1	382284c0	9	0	1	215864025818860	100975658392980
0000000000007008	0000000000000000	4	81	30024417	9	0	81	218312721897970	255243511376910
0000000000007018	0000000000000000	5	116	3040c441	8	2	114	215346018221082	68341179732966
0000000000007049	0000000000000000	6	2	30628441	9	0	2	215411634512490	72475006091670
000000000000704b	0000000000000000	7	1	38228441	9	0	1	215915324191180	104207455849140
0000000000007088	0000000000000000	5	20	30024217	9	0	20	216393566491308	134336720757204
0000000000007198	0000000000000000	7	12	3000c127	9	0	12	216051908074772	112812240515436
0000000000008000	0000000000000000	1	751	00b48441	8	20	731	215755968290000	94168034074800
0000000000008040	0000000000000000	2	638	00f08403	8	15	623	217742604971642	219326145018246
0000000000008400	0000000000000000	2	11	00b48126	9	0	11	218365795706200	258587161295400
0000000000008840	0000000000000000	3	175	20b08442	8	3	172	215021915965282	47922737617566
0000000000008c60	0000000000000000	5	2	00b08326	9	0	2	214613906250422	22218125581386
0000000000010000	0000000000000000	1	4671	20280417	8	345	4326	215094379061940	52487912707020
0000000000010080	0000000000000000	2	568	20a80283	8	4	564	214634833310792	23536530384696
0000000000018000	0000000000000000	2	132	20a40583	9	0	132	216160060576100	119625848099100
0000000000018040	0000000000000000	3	17	20e00683	9	0	17	214333743786002	4567890322926
0000000000018041	0000000000000000	4	41	20e08443	9	0	41	219072373115012	303101538050556
0000000000018042	0000000000000000	4	18	20a08643	9	0	18	219259954960392	314919194309496
0000000000018043	0000000000000000	5	20	20a084c3	9	0	20	216114140721872	116732897282736
0000000000018842	0000000000000000	5	17	20a086c2	9	0	17	218709202029302	280221759650826
0000000000018843	0000000000000000	6	11	20a284c2	9	0	11	215836326280520	99230587477560
0000000000020000	0000000000000000	1	3015	00541017	8	183	2832	215342382034782	68112099996066
0000000000020200	0000000000000000	2	2496	00509125	8	114	2382	214817309767974	35032547187162
0000000000028000	0000000000000000	2	1130	00d48403	8	50	1080	218375803480090	259217651050470
0000000000028240	0000000000000000	4	690	00d08125	8	21	669	214343615418102	5189803145226
0000000000028400	0000000000000000	3	5	00948136	9	0	5	215949665788510	106370976480930
0000000000028a40	0000000000000000	5	93	089086c2	9	0	93	214634185467852	23495716279476
0000000000040000	0000000000000000	1	5696	20081417	8	433	5263	222225562145142	501752446948746
0000000000050000	0000000000000000	2	5885	20088447	8	406	5479	215609992424420	84971554543260
0000000000050080	0000000000000000	3	308	20088297	9	0	308	214806256997830	34336222668090
0000000000060000	0000000000000000	2	358	20c49401	8	2	356	215055107697452	50013816744276
0000000000060200	0000000000000000	3	126	28c09440	8	1	125	214659580745294	25095618758322
0000000000060204	0000000000000000	4	152	200296c1	9	0	152	214435087930632	10952571434616
0000000000078000	0000000000000000	4	172	20848417	9	0	172	214898275277010	40133374256430
0000000000078240	0000000000000000	6	28	20c08643	9	0	28	217827650982592	224684043708096
0000000000078241	0000000000000000	7	29	20c084c3	9	0	29	215051855085712	49808902204656
0000000000078246	0000000000000000	8	20	208086c3	9	0	20	216605016583412	147658076559756
0000000000078247	0000000000000000	9	7	288084c3	9	0	7	214364827312482	6526152491166
0000000000078a46	0000000000000000	9	12	208286c2	9	0	12	214748562666868	30701479817484
0000000000078a47	0000000000000000	10	2	288284c2	9	0	2	217363758666700	195458827806900
0000000000080000	0000000000000000	1	3568	0014c017	8	197	3371	216124293334470	117372511876410
0000000000082000	0000000000000000	2	636	0050c4c1	8	9	627	216118007865292	116976527318196
0000000000083000	0000000000000000	3	1456	2010c125	8	83	1373	216575063785802	145771050310326
0000000000084000	0000000000000000	2	470	2044c441	8	2	468	215982753196190	108455483164770
0000000000086008	0000000000000000	4	52	20024497	9	0	52	215003309140770	46750507673310
0000000000086018	0000000000000000	5	25	2000c6c3	9	0	25	214329017590712	4270140019656
