body_ordinal,body_hex,body_labels,hit_count,consumer_masks
0,031c5208,"{3,9,12,14,18,19,20,24,25}",1,"3882a082"
1,035c5008,"{3,12,14,18,19,20,22,24,25}",1,"3882a082"
2,037c4008,"{3,14,18,19,20,21,22,24,25}",1,"3882a082"
3,039c3008,"{3,12,13,18,19,20,23,24,25}",1,"0041c325"
4,039e1008,"{3,12,17,18,19,20,23,24,25}",1,"0041c325"
5,064c5401,"{0,10,12,14,18,19,22,25,26}",1,"3882a082"
6,070c7008,"{3,12,13,14,18,19,24,25,26}",1,"08c28e40"
7,07143408,"{3,10,12,13,18,20,24,25,26}",1,"0041c325"
8,071e1400,"{10,12,17,18,19,20,24,25,26}",1,"0041c325"
9,072c6008,"{3,13,14,18,19,21,24,25,26}",1,"08c28e40"
10,07485401,"{0,10,12,14,19,22,24,25,26}",1,"3882a082"
11,074c5001,"{0,12,14,18,19,22,24,25,26}",1,"3882a082"
12,078c1088,"{3,7,12,18,19,23,24,25,26}",1,"0041c325"
13,078c3008,"{3,12,13,18,19,23,24,25,26}",1,"0041c325"
14,07983008,"{3,12,13,19,20,23,24,25,26}",1,"0041c325"
15,17087008,"{3,12,13,14,19,24,25,26,28}",1,"08c28e40"
16,17107008,"{3,12,13,14,20,24,25,26,28}",1,"08c28e40"
17,17286008,"{3,13,14,19,21,24,25,26,28}",1,"08c28e40"
18,17306008,"{3,13,14,20,21,24,25,26,28}",1,"08c28e40"
19,17883008,"{3,12,13,19,23,24,25,26,28}",1,"0041c325"
20,23346008,"{3,13,14,18,20,21,24,25,29}",1,"08c28e40"
21,27841088,"{3,7,12,18,23,24,25,26,29}",1,"0041c325"
22,27903008,"{3,12,13,20,23,24,25,26,29}",2,"002ac4c0;0041c325"
23,27c41008,"{3,12,18,22,23,24,25,26,29}",1,"002ac4c0"
24,33105088,"{3,7,12,14,20,24,25,28,29}",1,"08c28e40"
25,33107008,"{3,12,13,14,20,24,25,28,29}",1,"08c28e40"
26,33306001,"{0,13,14,20,21,24,25,28,29}",1,"08c28e40"
27,33306008,"{3,13,14,20,21,24,25,28,29}",1,"08c28e40"
