a_hex	b_hex	cover	count	least_mask	least_rank
0000000000000000	0000000000000001	1	350	03a2100e	9
0000000000000000	0000000000000002	1	287	030a500e	9
0000000000000001	0000000000000000	1	1843	1b00088e	9
0000000000000002	0000000000000000	1	2905	0038112e	9
0000000000000004	0000000000000000	1	1408	18101a85	9
0000000000000006	0000000000000000	2	403	18381016	9
0000000000000008	0000000000000000	1	1365	0030916c	9
000000000000000a	0000000000000000	2	3897	003013ac	9
000000000000000c	0000000000000000	2	237	18301164	9
000000000000000e	0000000000000000	3	386	18301324	9
0000000000000010	0000000000000000	1	11	1aa8004a	9
0000000000000012	0000000000000000	2	47	1aa8000e	9
0000000000000018	0000000000000000	2	36	1aa000ca	9
000000000000001a	0000000000000000	3	101	1aa0088a	9
0000000000000020	0000000000000000	1	301	1a008127	9
0000000000000024	0000000000000000	2	236	1a001a83	9
0000000000000030	0000000000000000	2	7	1aa88042	9
0000000000000032	0000000000000000	3	26	1aa88082	9
0000000000000034	0000000000000000	3	29	1aa800c2	9
0000000000000036	0000000000000000	4	53	1aa81006	9
0000000000000038	0000000000000000	3	24	1aa080c2	9
000000000000003a	0000000000000000	4	55	1aa09006	9
000000000000003c	0000000000000000	4	54	1aa01046	9
000000000000003e	0000000000000000	5	53	1aa01016	9
0000000000000040	0000000000000000	1	261	0a1888c8	9
0000000000000042	0000000000000000	2	1677	0818912c	9
0000000000000044	0000000000000000	2	48	1a9800c2	9
0000000000000046	0000000000000000	3	287	18d81280	9
0000000000000048	0000000000000000	2	370	0a10816c	9
000000000000004a	0000000000000000	3	1799	0890912c	9
000000000000004c	0000000000000000	3	27	1a9008c2	9
000000000000004e	0000000000000000	4	123	1a101a06	9
0000000000000051	0000000000000000	3	8	1ac88048	9
0000000000000053	0000000000000000	4	66	1a88088a	9
0000000000000059	0000000000000000	4	14	1a80904a	9
000000000000005b	0000000000000000	5	92	1a80120e	9
0000000000000071	0000000000000000	4	3	3a888042	9
0000000000000073	0000000000000000	5	28	1ac88082	9
0000000000000075	0000000000000000	5	4	3a880242	9
0000000000000077	0000000000000000	6	29	3a880016	9
0000000000000079	0000000000000000	5	4	1ac08842	9
000000000000007b	0000000000000000	6	39	1ac08124	9
0000000000000080	0000000000000000	1	3340	18024296	9
0000000000000100	0000000000000000	1	1015	1808528c	9
0000000000000110	0000000000000000	2	31	1a28084a	9
0000000000000112	0000000000000000	3	108	1a28088a	9
0000000000000118	0000000000000000	3	62	1a20104e	9
000000000000011a	0000000000000000	4	136	1a20101e	9
0000000000000153	0000000000000000	5	64	1a08120e	9
000000000000015b	0000000000000000	6	13	1a40812c	9
0000000000000180	0000000000000000	2	827	182052c4	9
00000000000001b0	0000000000000000	4	15	1a289042	9
00000000000001b2	0000000000000000	5	35	1a289006	9
00000000000001b4	0000000000000000	5	44	1a281046	9
00000000000001b6	0000000000000000	6	55	1a281016	9
00000000000001b8	0000000000000000	5	25	1a209046	9
00000000000001ba	0000000000000000	6	30	1a209124	9
00000000000001bc	0000000000000000	6	39	1a201056	9
00000000000001be	0000000000000000	7	11	1a201216	9
00000000000001f3	0000000000000000	7	2	3a488802	9
00000000000001f7	0000000000000000	8	2	3a080a82	9
0000000000000200	0000000000000000	1	534	1920104e	9
0000000000000201	0000000000000000	2	552	1900928c	9
0000000000000210	0000000000000000	2	21	18a8104a	9
0000000000000212	0000000000000000	3	30	18a8120a	9
0000000000000218	0000000000000000	3	34	18a010d8	9
000000000000021a	0000000000000000	4	7	18e09088	9
0000000000000251	0000000000000000	4	1	38881248	9
