mask_hex,rank,body_ordinal,body_hex,margin_ticks63,grid
00619324,9,1,05066441,216216721201572,23056825502430720
00619324,9,3,050e6401,216216721201572,23056825502430720
00619324,9,4,05166401,216216721201572,23056825502430720
00619324,9,5,05166408,216216721201572,23056825502430720
00619324,9,7,05942409,216216721201572,23056825502430720
00619324,9,8,05962401,216216721201572,23056825502430720
00619324,9,9,06166401,216216721201572,23056825502430720
00619324,9,10,06166408,216216721201572,23056825502430720
00619324,9,12,0d046409,216216721201572,23056825502430720
00619324,9,14,0d146401,216216721201572,23056825502430720
00619324,9,15,0d146408,216216721201572,23056825502430720
00619324,9,17,0d942401,216216721201572,23056825502430720
00619324,9,18,0e146401,216216721201572,23056825502430720
00619324,9,25,14906409,216216721201572,23056825502430720
00619324,9,26,14926401,216216721201572,23056825502430720
00619324,9,27,149a2401,216216721201572,23056825502430720
00619324,9,29,15126401,216216721201572,23056825502430720
00619324,9,30,15126408,216216721201572,23056825502430720
00619324,9,31,15902409,216216721201572,23056825502430720
00619324,9,32,15922401,216216721201572,23056825502430720
00619324,9,34,16106409,216216721201572,23056825502430720
00619324,9,35,16126401,216216721201572,23056825502430720
00619324,9,36,16126408,216216721201572,23056825502430720
00619324,9,37,16126480,216216721201572,23056825502430720
00619324,9,38,16126c00,216216721201572,23056825502430720
00619324,9,39,16922401,216216721201572,23056825502430720
00619324,9,40,16922480,216216721201572,23056825502430720
00619324,9,41,171a4400,216216721201572,23056825502430720
00619324,9,45,1c906401,216216721201572,23056825502430720
00619324,9,46,1c982401,216216721201572,23056825502430720
00619324,9,48,1d106401,216216721201572,23056825502430720
00619324,9,49,1d106408,216216721201572,23056825502430720
00619324,9,51,1d902401,216216721201572,23056825502430720
00619324,9,54,1e106401,216216721201572,23056825502430720
00619324,9,55,1e106408,216216721201572,23056825502430720
00619324,9,56,1e126400,216216721201572,23056825502430720
00619324,9,58,1e902401,216216721201572,23056825502430720
00619324,9,59,34126401,216216721201572,23056825502430720
00619324,9,60,34922401,216216721201572,23056825502430720
00619324,9,61,36126400,216216721201572,23056825502430720
00619324,9,62,37124400,216216721201572,23056825502430720
00619324,9,63,37920080,216216721201572,23056825502430720
00619324,9,64,3c106401,216216721201572,23056825502430720
00619324,9,65,3c902401,216216721201572,23056825502430720
201813a4,9,1,05066441,257437202058414,23056825502430720
201813a4,9,2,0506e408,257437202058414,23056825502430720
201813a4,9,6,05266401,257437202058414,23056825502430720
201813a4,9,12,0d046409,257437202058414,23056825502430720
201813a4,9,13,0d04e408,257437202058414,23056825502430720
201813a4,9,16,0d246401,257437202058414,23056825502430720
201813a4,9,28,1502e408,257437202058414,23056825502430720
201813a4,9,47,1d00e408,257437202058414,23056825502430720
201813a4,9,50,1d206401,257437202058414,23056825502430720
201813a4,9,52,1da02401,257437202058414,23056825502430720
201813a4,9,57,1e206401,257437202058414,23056825502430720
21888126,9,0,04366401,129352362966162,23056825502430720
21888126,9,9,06166401,129352362966162,23056825502430720
21888126,9,10,06166408,129352362966162,23056825502430720
21888126,9,11,0c346401,129352362966162,23056825502430720
21888126,9,18,0e146401,129352362966162,23056825502430720
21888126,9,19,14127401,129352362966162,23056825502430720
21888126,9,20,14306409,129352362966162,23056825502430720
21888126,9,21,14306488,129352362966162,23056825502430720
21888126,9,22,14306608,129352362966162,23056825502430720
21888126,9,23,14326401,129352362966162,23056825502430720
21888126,9,24,14326408,129352362966162,23056825502430720
21888126,9,33,16027401,129352362966162,23056825502430720
21888126,9,34,16106409,129352362966162,23056825502430720
21888126,9,35,16126401,129352362966162,23056825502430720
21888126,9,36,16126408,129352362966162,23056825502430720
21888126,9,37,16126480,129352362966162,23056825502430720
21888126,9,38,16126c00,129352362966162,23056825502430720
21888126,9,42,1c107401,129352362966162,23056825502430720
21888126,9,43,1c306401,129352362966162,23056825502430720
21888126,9,44,1c306408,129352362966162,23056825502430720
21888126,9,53,1e007401,129352362966162,23056825502430720
21888126,9,54,1e106401,129352362966162,23056825502430720
21888126,9,55,1e106408,129352362966162,23056825502430720
21888126,9,56,1e126400,129352362966162,23056825502430720
21888126,9,57,1e206401,129352362966162,23056825502430720
