a_hex	b_hex	cover	count	least_mask
0000000000000000	0000000000000001	1	2	210a500c
0000000000000000	0000000000000002	1	22	0ba01044
0000000000000000	0000000000000004	1	31	0b08500c
0000000000000000	0000000000000008	1	5	09041889
0000000000000000	0000000000000010	1	236	0008328d
0000000000000000	0000000000000020	1	598	0008740d
0000000000000000	0000000000000030	2	38	002c3049
0000000000000000	0000000000000040	1	11	03a21240
0000000000000000	0000000000000042	2	90	03a01206
0000000000000000	0000000000000080	1	8	032a5004
0000000000000000	0000000000000081	2	1	016a5040
0000000000000000	0000000000000084	2	53	03285006
0000000000000040	0000000000000000	1	135	1b001888
0000000000000080	0000000000000000	1	325	00b89108
0000000000000100	0000000000000000	1	81	183010c1
0000000000000180	0000000000000000	2	40	18781200
0000000000000200	0000000000000000	1	104	0230124c
0000000000000280	0000000000000000	2	517	0230112c
0000000000000300	0000000000000000	2	19	18b01240
0000000000000380	0000000000000000	3	45	1a301006
0000000000000480	0000000000000000	2	2	1aa81008
0000000000000600	0000000000000000	2	1	1aa01048
0000000000000680	0000000000000000	3	3	1aa0100a
0000000000000d00	0000000000000000	3	1	1aa81040
0000000000000e00	0000000000000000	3	1	1aa09040
0000000000000f00	0000000000000000	4	4	1aa01042
0000000000001000	0000000000000000	1	6	0a988048
0000000000001080	0000000000000000	2	160	0a188888
0000000000001180	0000000000000000	3	9	3a180802
0000000000001200	0000000000000000	2	16	0a909048
0000000000001280	0000000000000000	3	222	0a10812c
0000000000001380	0000000000000000	4	3	3a900802
0000000000002000	0000000000000000	1	239	18025284
0000000000004000	0000000000000000	1	47	1820504c
0000000000004400	0000000000000000	2	1	1a281048
0000000000004480	0000000000000000	3	6	1a28100c
0000000000004600	0000000000000000	3	4	1a201848
0000000000004680	0000000000000000	4	1	1a609008
0000000000006000	0000000000000000	2	27	18285240
0000000000006d00	0000000000000000	5	1	1a681040
0000000000008000	0000000000000000	1	29	192010c8
0000000000008040	0000000000000000	2	16	19481088
0000000000008400	0000000000000000	2	1	18a81048
000000000000c400	0000000000000000	3	2	18681048
0000000000010000	0000000000000000	1	140	11009a81
0000000000018000	0000000000000000	2	22	192810c0
0000000000018040	0000000000000000	3	1	39480880
0000000000020000	0000000000000000	1	52	1302808a
0000000000020040	0000000000000000	2	222	13009288
0000000000040000	0000000000000000	1	108	02329006
0000000000040080	0000000000000000	2	105	02389006
0000000000040200	0000000000000000	2	32	023090c4
0000000000040280	0000000000000000	3	142	02309124
0000000000080000	0000000000000000	1	101	10321085
0000000000080100	0000000000000000	2	213	10301a81
00000000000c0000	0000000000000000	2	105	103a1044
00000000000c0100	0000000000000000	3	26	10781240
00000000000c0180	0000000000000000	4	98	10f81100
00000000000c0300	0000000000000000	4	30	12301046
00000000000c0380	0000000000000000	5	102	12301016
0000000000100000	0000000000000000	1	1	12a29008
0000000000100480	0000000000000000	3	2	12a89008
0000000000100680	0000000000000000	4	3	12a0900a
0000000000200800	0000000000000000	2	7	12209281
0000000000280000	0000000000000000	2	1	12221281
0000000000340c80	0000000000000000	6	1	12e89000
0000000000340e00	0000000000000000	6	1	12e09040
0000000000340e80	0000000000000000	7	2	12e09002
00000000003c0d80	0000000000000000	8	1	32a81002
00000000003c0f80	0000000000000000	9	1	12a01206
0000000000400000	0000000000000000	1	84	10929208
0000000000401080	0000000000000000	3	52	12588808
0000000000401280	0000000000000000	4	54	1210812c
0000000000440000	0000000000000000	2	24	12529800
0000000000441000	0000000000000000	3	1	32988040
0000000000441080	0000000000000000	4	35	12988082
0000000000441280	0000000000000000	5	39	12908124
00000000004c0000	0000000000000000	3	5	329a0002
00000000004c1100	0000000000000000	5	1	32980042
00000000004c1180	0000000000000000	6	20	32181006
00000000004c1380	0000000000000000	7	1	32d01002
0000000000800000	0000000000000000	1	7	1222500c
0000000000802000	0000000000000000	2	1	122a5004
0000000000804000	0000000000000000	2	13	1220520c
0000000000806000	0000000000000000	3	23	12205206
0000000000904480	0000000000000000	5	1	3228100c
0000000001000000	0000000000000000	1	12	11221288
0000000001008000	0000000000000000	2	26	11289088
0000000001018000	0000000000000000	3	31	116090c0
0000000001020000	0000000000000000	2	6	11c28088
0000000001028040	0000000000000000	4	4	31081288
0000000001038040	0000000000000000	5	3	31481280
0000000002000000	0000000000000002	2	4	0ba48040
0000000004000000	0000000000000000	1	3	0b821280
0000000008000000	0000000000000000	1	110	09021a05
000000000c000000	0000000000000000	2	6	0b829200
0000000010000000	0000000000000000	1	143	08069881
0000000014000000	0000000000000000	2	8	0b829080
0000000018000000	0000000000000000	2	149	09061805
000000001c000000	0000000000000000	3	14	0b868040
0000000020000000	0000000000000002	2	1	0b849008
0000000022000000	0000000000000000	2	1	2b8c0008
0000000022000000	0000000000000002	3	2	0b848088
0000000040000000	0000000000000000	1	2	0b009281
0000000048000000	0000000000000000	2	1	0b049201
0000000050000000	0000000000000000	2	14	0b009881
0000000058000000	0000000000000000	3	22	0b008125
0000000076000000	0000000000000002	6	2	0b848880
000000007c000000	0000000000000002	6	1	0bc49000
000000007e000000	0000000000000000	6	2	2b848800
000000007e000000	0000000000000002	7	3	0bc48040
0000000080000000	0000000000000000	1	113	0b221006
0000000084000000	0000000000000000	2	13	0b021284
000000008c000000	0000000000000000	3	20	0b061204
0000000094000000	0000000000000000	3	21	0b061084
000000009c000000	0000000000000000	4	22	0b069004
0000000100000000	0000000000000000	1	1	2b281008
0000000100000000	0000000000000006	3	10	0b28100c
0000000102000000	0000000000000000	2	3	2b28000a
0000000102000000	0000000000000006	4	3	0b2c0808
0000000120000000	0000000000000000	2	1	2b0c1008
0000000122000000	0000000000000000	3	5	2b0c000a
0000000122000000	0000000000000006	5	3	0b0c8088
0000000122000040	0000000000000000	4	1	2b080888
0000000180000000	0000000000000000	2	8	2b281002
0000000180000000	0000000000000006	4	20	0b281044
0000000182000000	0000000000000000	3	1	2b2c0800
0000000182000000	0000000000000006	5	2	0b2c8800
00000001f6000000	0000000000000000	7	1	2b0c0880
00000001fe000000	0000000000000000	8	3	2b0c0802
00000001fe000000	0000000000000006	10	1	0b4c8800
0000000200000000	0000000000000000	1	11	2b044808
0000000200000000	0000000000000004	2	64	0b04500c
0000000300000000	0000000000000000	2	1	2b241008
0000000300000000	0000000000000006	4	22	0b20104c
0000000302000000	0000000000000006	5	2	0b248088
0000000320000000	0000000000000006	5	2	0b049088
0000000322000000	0000000000000006	6	3	0b048888
0000000380000000	0000000000000000	3	4	2b209080
0000000380000000	0000000000000006	5	30	0b241044
0000000382000000	0000000000000006	6	1	0b648800
00000003f6000000	0000000000000006	10	1	0b448880
00000003fc000000	0000000000000006	10	1	0b449800
00000003fe000000	0000000000000000	9	1	2b448800
0000000400000000	0000000000000000	1	68	08541881
0000000400000100	0000000000000000	2	39	08781041
0000000400000180	0000000000000000	3	23	0a381006
0000000400000300	0000000000000000	3	9	0a301244
0000000400000380	0000000000000000	4	1	0a301884
0000000800000000	0000000000000002	2	1	0aa41048
0000001050000000	0000000000000000	3	1	0a448881
0000002000000000	0000000000000000	1	84	08065284
0000002000002000	0000000000000000	2	85	080a5284
0000002080000000	0000000000000000	2	17	0a261044
0000002080002000	0000000000000000	3	26	0a221064
0000002094000000	0000000000000000	4	1	0a468880
0000004000000000	0000000000000000	1	2	2a0c4808
0000004000000000	0000000000000004	2	1	0a2c5008
0000004000004000	0000000000000000	2	1	2a285008
0000004000004000	0000000000000004	3	2	0a28500c
0000004200000000	0000000000000000	2	1	2a245008
0000004200000000	0000000000000004	3	5	0a24500c
0000004200004000	0000000000000004	4	1	0a20504c
0000004900000000	0000000000000000	3	1	2a2c1008
0000004900000000	0000000000000006	5	4	0a2c100c
0000004b00000000	0000000000000006	6	2	0a241848
0000006000000000	0000000000000004	3	2	0a2c5004
0000006000006000	0000000000000000	4	1	2a285004
0000006000006000	0000000000000004	5	2	0a285044
0000006200000000	0000000000000004	4	3	0a245044
0000008000000000	0000000000000000	1	142	083c8808
0000010000000000	0000000000000000	1	17	08a212c0
0000010004000000	0000000000000000	2	3	09861280
000001000c000000	0000000000000000	3	3	09869200
0000010014000000	0000000000000000	3	4	09868880
000001001c000000	0000000000000000	4	3	09c68800
0000010080000000	0000000000000000	2	54	092212c0
0000010084000000	0000000000000000	3	16	09061a80
