mask_hex,body_ordinal,body_hex,margin_ticks63,grid
201e8088,50,1d206401,46410809122440,23056825502430720
201e8088,52,1da02401,46410809122440,23056825502430720
201e8088,53,1e007401,46410809122440,23056825502430720
201e8088,57,1e206401,46410809122440,23056825502430720
03448124,19,14127401,377090478888354,23056825502430720
03448124,20,14306409,377090478888354,23056825502430720
03448124,21,14306488,377090478888354,23056825502430720
03448124,22,14306608,377090478888354,23056825502430720
03448124,23,14326401,377090478888354,23056825502430720
03448124,24,14326408,377090478888354,23056825502430720
03448124,25,14906409,377090478888354,23056825502430720
03448124,26,14926401,377090478888354,23056825502430720
03448124,27,149a2401,377090478888354,23056825502430720
03448124,42,1c107401,377090478888354,23056825502430720
03448124,43,1c306401,377090478888354,23056825502430720
03448124,44,1c306408,377090478888354,23056825502430720
03448124,45,1c906401,377090478888354,23056825502430720
03448124,46,1c982401,377090478888354,23056825502430720
03448124,59,34126401,377090478888354,23056825502430720
03448124,60,34922401,377090478888354,23056825502430720
03448124,64,3c106401,377090478888354,23056825502430720
03448124,65,3c902401,377090478888354,23056825502430720
12a01206,1,05066441,669346641706428,23056825502430720
12a01206,2,0506e408,669346641706428,23056825502430720
12a01206,3,050e6401,669346641706428,23056825502430720
12a01206,4,05166401,669346641706428,23056825502430720
12a01206,5,05166408,669346641706428,23056825502430720
12a01206,12,0d046409,669346641706428,23056825502430720
12a01206,13,0d04e408,669346641706428,23056825502430720
12a01206,14,0d146401,669346641706428,23056825502430720
12a01206,15,0d146408,669346641706428,23056825502430720
282c1048,26,14926401,137877380280108,23056825502430720
282c1048,29,15126401,137877380280108,23056825502430720
282c1048,32,15922401,137877380280108,23056825502430720
282c1048,35,16126401,137877380280108,23056825502430720
282c1048,37,16126480,137877380280108,23056825502430720
282c1048,38,16126c00,137877380280108,23056825502430720
282c1048,39,16922401,137877380280108,23056825502430720
282c1048,40,16922480,137877380280108,23056825502430720
22285204,7,05942409,846784106893998,23056825502430720
22285204,8,05962401,846784106893998,23056825502430720
22285204,17,0d942401,846784106893998,23056825502430720
22285204,31,15902409,846784106893998,23056825502430720
22285204,32,15922401,846784106893998,23056825502430720
22285204,51,1d902401,846784106893998,23056825502430720
02201a85,2,0506e408,663634850794902,23056825502430720
02201a85,5,05166408,663634850794902,23056825502430720
02201a85,13,0d04e408,663634850794902,23056825502430720
02201a85,15,0d146408,663634850794902,23056825502430720
02201a85,28,1502e408,663634850794902,23056825502430720
02201a85,30,15126408,663634850794902,23056825502430720
02201a85,47,1d00e408,663634850794902,23056825502430720
02201a85,49,1d106408,663634850794902,23056825502430720
2098012c,1,05066441,1371577461890202,23056825502430720
2098012c,6,05266401,1371577461890202,23056825502430720
2098012c,16,0d246401,1371577461890202,23056825502430720
2098012c,33,16027401,1371577461890202,23056825502430720
2098012c,50,1d206401,1371577461890202,23056825502430720
2098012c,53,1e007401,1371577461890202,23056825502430720
2098012c,57,1e206401,1371577461890202,23056825502430720
0024b209,41,171a4400,121082702190282,23056825502430720
0024b209,62,37124400,121082702190282,23056825502430720
0024b209,63,37920080,121082702190282,23056825502430720
31481280,0,04366401,415600624381698,23056825502430720
31481280,9,06166401,415600624381698,23056825502430720
31481280,10,06166408,415600624381698,23056825502430720
31481280,11,0c346401,415600624381698,23056825502430720
31481280,18,0e146401,415600624381698,23056825502430720
016490c0,25,14906409,42852529093500,23056825502430720
016490c0,26,14926401,42852529093500,23056825502430720
016490c0,27,149a2401,42852529093500,23056825502430720
016490c0,34,16106409,42852529093500,23056825502430720
016490c0,35,16126401,42852529093500,23056825502430720
016490c0,36,16126408,42852529093500,23056825502430720
016490c0,38,16126c00,42852529093500,23056825502430720
016490c0,39,16922401,42852529093500,23056825502430720
016490c0,45,1c906401,42852529093500,23056825502430720
016490c0,46,1c982401,42852529093500,23056825502430720
016490c0,54,1e106401,42852529093500,23056825502430720
016490c0,55,1e106408,42852529093500,23056825502430720
016490c0,56,1e126400,42852529093500,23056825502430720
016490c0,58,1e902401,42852529093500,23056825502430720
016490c0,59,34126401,42852529093500,23056825502430720
016490c0,60,34922401,42852529093500,23056825502430720
016490c0,61,36126400,42852529093500,23056825502430720
016490c0,64,3c106401,42852529093500,23056825502430720
016490c0,65,3c902401,42852529093500,23056825502430720
