SINGLETON_IDEAL_AGGREGATE_V1
UNIVERSE LIVE 22647 SINGLETON_GROUPS 192 SINGLETON_ROWS 3738
SUCCESS_GROUPS 110 SUCCESS_ROWS 1219 DISJOINT YES
SUCCESS_UNION FNV 3706723fd3574334 SHA256 fdef599768aba3cc1738e330f35c9b431486ab845023ef59050c546f22605ef1 MAX_ENDPOINT 626
REMAINING COUNT 21428 FNV ab885eb54c33882a SHA256 e0b6bb5ac69acd3e9fd9f56957257affe247cf6debf2778bb0ad6fda4511d989 MAX_ENDPOINT 636
REMAINING_TOP 100,636 256,636 294,636 338,636 372,636 384,636
WITNESS_LEDGER ROWS 110 SHA256 e914b3f60477a7bc4637064b8b5c53117d40a05f38e38a4461b1525d5502aa07
NODE J 21 ROWS 146 IDEAL_FNV 30d9bf96d0534762 OLD 0202a129 OBLIGATIONS 8 OBLIGATION_FNV 512a7d72985a0089 RESPONDERS 1287 COMMON 1 WITNESS 3202a009 WEAKEST 409,419 GAP 31235162944803/6202392322146020 MARGIN_FNV b3d713c58aaa597d REBUILT_FNV 50d8f2328fb6761d
NODE J 160 ROWS 83 IDEAL_FNV 6549b6376bd8ac75 OLD 04c10690 OBLIGATIONS 11 OBLIGATION_FNV 91cac10ab5faabf9 RESPONDERS 165 COMMON 1 WITNESS 04c90680 WEAKEST 346,434 GAP 39190441035241/12228417243822780 MARGIN_FNV 535d6727aa0d690d REBUILT_FNV 4bdf32950cd46c32
NODE J 243 ROWS 71 IDEAL_FNV bc2b645be809d8a OLD 30960500 OBLIGATIONS 7 OBLIGATION_FNV 6a870fe395a1c46e RESPONDERS 3003 COMMON 186 WITNESS 01962404 WEAKEST 6,243 GAP 112549523/45569143620 MARGIN_FNV 25dd2631a9531385 REBUILT_FNV d1fecaef063b52ae
NODE J 36 ROWS 69 IDEAL_FNV 23e7f7d8b8599a70 OLD 10864540 OBLIGATIONS 7 OBLIGATION_FNV 1e60edbc62e443e3 RESPONDERS 3003 COMMON 50 WITNESS 10076404 WEAKEST 567,612 GAP 4219967/1789752690 MARGIN_FNV e04e66230cf8061d REBUILT_FNV b8de0130c0833c44
NODE J 183 ROWS 69 IDEAL_FNV d09626515b58ceb7 OLD 03648840 OBLIGATIONS 3 OBLIGATION_FNV 55d2722cc09c6ced RESPONDERS 3003 COMMON 1 WITNESS 23648800 WEAKEST 316,616 GAP 268752823/746658856944 MARGIN_FNV ed494ac458180d41 REBUILT_FNV 1969155731c63882
NODE J 355 ROWS 58 IDEAL_FNV 275e13ebe9a4b228 OLD 12002287 OBLIGATIONS 7 OBLIGATION_FNV 45a2aa4e74bae208 RESPONDERS 6435 COMMON 16 WITNESS 20202683 WEAKEST 432,516 GAP 1417170024079/588277391181480 MARGIN_FNV 6e8b435906065a3 REBUILT_FNV 5f42b2a691617424
NODE J 12 ROWS 46 IDEAL_FNV 52316acb55d5ff0b OLD 12904122 OBLIGATIONS 19 OBLIGATION_FNV cf2ffd597cb29921 RESPONDERS 165 COMMON 4 WITNESS 12906012 WEAKEST 233,595 GAP 67439639935/22369421810736 MARGIN_FNV 5b7b27cd94d4e368 REBUILT_FNV 2877beb7d6b9d2f1
NODE J 351 ROWS 37 IDEAL_FNV d1c12233b52bafee OLD 0070ac01 OBLIGATIONS 1 OBLIGATION_FNV 6eb53bb0901c9a64 RESPONDERS 203490 COMMON 5469 WITNESS 0010a649 WEAKEST 385,445 GAP 147349464805/81173159403336 MARGIN_FNV ba930df41db689b0 REBUILT_FNV 766b80b0e904fb58
NODE J 140 ROWS 34 IDEAL_FNV 16600053a60d8fee OLD 01860c09 OBLIGATIONS 2 OBLIGATION_FNV 7a7ec8bf0aabf3ff RESPONDERS 125970 COMMON 21874 WITNESS 0006220f WEAKEST 358,378 GAP 5252625558023/4897751303324880 MARGIN_FNV 14b2987a3867ba73 REBUILT_FNV f251f7dfa8d18379
NODE J 31 ROWS 33 IDEAL_FNV a8d02bcb0b35cf74 OLD 32a40801 OBLIGATIONS 11 OBLIGATION_FNV bdbbd399d80d4414 RESPONDERS 1287 COMMON 10 WITNESS 32842005 WEAKEST 208,568 GAP 259587495983/107926859880840 MARGIN_FNV 37186ee034d3779a REBUILT_FNV 2a39e72dda196dda
NODE J 257 ROWS 31 IDEAL_FNV b4c3325d417aaafb OLD 32260808 OBLIGATIONS 12 OBLIGATION_FNV cd177e0236a074d0 RESPONDERS 495 COMMON 11 WITNESS 12262808 WEAKEST 416,615 GAP 344788563073/186971884018920 MARGIN_FNV f12d6a41ca868970 REBUILT_FNV 32a08ce19f553662
NODE J 404 ROWS 30 IDEAL_FNV 18fcae7d2301a647 OLD 00026097 OBLIGATIONS 9 OBLIGATION_FNV 1b545398db0447e2 RESPONDERS 495 COMMON 1 WITNESS 04026087 WEAKEST 410,626 GAP 52542395423737/19507399899307320 MARGIN_FNV 724e9ee7587f5e15 REBUILT_FNV 915772a3cb8b7e22
NODE J 38 ROWS 29 IDEAL_FNV de43d93b1b7ed014 OLD 0090c4a4 OBLIGATIONS 4 OBLIGATION_FNV 2142615677c32211 RESPONDERS 495 COMMON 38 WITNESS 0031e480 WEAKEST 256,380 GAP 14508900667/4560289854120 MARGIN_FNV b81bed1f2bd90629 REBUILT_FNV 4624907bae70839b
NODE J 364 ROWS 29 IDEAL_FNV d3f1810021b0cef6 OLD 0092a109 OBLIGATIONS 1 OBLIGATION_FNV e0f736557bc01151 RESPONDERS 203490 COMMON 27149 WITNESS 0002209f WEAKEST 320,568 GAP 5060863019/7709061420060 MARGIN_FNV 95ae2b9b3bc33220 REBUILT_FNV 5d362c88927ab093
NODE J 20 ROWS 28 IDEAL_FNV 1618f52c08658f8a OLD 19801c80 OBLIGATIONS 6 OBLIGATION_FNV 8d5f23cbae6449ef RESPONDERS 495 COMMON 2 WITNESS 19001c88 WEAKEST 51,150 GAP 237227/8147739600 MARGIN_FNV e3b6b7c63ad0160d REBUILT_FNV 39d5bbfc9e602a7a
NODE J 414 ROWS 28 IDEAL_FNV 898527f4cdf3d718 OLD 11640c40 OBLIGATIONS 3 OBLIGATION_FNV 6f1836cda7df1659 RESPONDERS 6435 COMMON 4 WITNESS 11640602 WEAKEST 248,550 GAP 124307147/281723765400 MARGIN_FNV be7194df52d56ea1 REBUILT_FNV 2961ead9e47e4a16
