q,r,grid,cells0,cells1,cells2,mass0,mass1,mass2,total_mass,top9_degree_sum,coarse_mass,coarse_ticks,coarse_positive,top9_mask_hex
1,6,18241159416480,96,250,462,752070987996,945244347742,1424480119448,3121795455186,1734223555656,1387571899530,14452392004470,1,05207089
1,11,18241159416480,100,250,454,824840729832,856491562396,1379963431192,3061295723420,1720552000236,1340743723184,11502216894672,1,111c7080
1,12,18241159416480,96,248,456,827947629302,852716405924,1375790508820,3056454544046,1672708542022,1383746002024,14211360461592,1,17007088
1,22,18241159416480,100,252,456,783155248570,897242846828,1438352550912,3118750646310,1724815439244,1393935207066,14853280379238,1,11147081
1,24,18241159416480,104,258,468,810534027542,917152184778,1401039189184,3128725401504,1686236726798,1442488674706,17912148840558,1,15107480
1,25,91205797082400,96,252,456,3753000082202,4344806516060,6705200722560,14803007320822,8416336824910,6386670495912,37537052912856,1,113c7000
1,31,565475941910880,100,254,456,25192962837260,28257294161660,43515325114054,96965582112974,54652995610792,42312586502182,403789181993946,1,15187008
1,32,36482318832960,112,286,470,1715538508876,2032651802968,2881490158312,6629680470156,3724523503846,2905156966310,37095613545690,1,31187080
1,46,419546666579040,108,256,448,18948437235826,20890575293304,31606886866940,71445899396070,38494739371228,32951160024842,397736415248886,1,11347008
1,48,18241159416480,96,252,452,825657238848,886457680726,1346713042734,3058827962308,1754968601702,1303859360606,9178502052258,1,11187081
1,50,91205797082400,102,250,458,3408223220422,4254425616478,6894247959540,14556896796440,8296312857600,6260583938840,29593599817320,1,31187400
1,55,18241159416480,100,242,438,808314310950,876892560542,1382392447102,3067599318594,1622899820366,1444699498228,18051430722444,1,15307001
1,59,1076228405572320,104,270,470,46991069925528,55688519941172,86335440993876,189015030860576,105912668591836,83102362268740,930535200641340,1,15347000
1,62,565475941910880,102,264,456,25413316292192,28761094161402,43102158234826,97276568688420,53747580430810,43528988257610,480422492585910,1,15307080
1,64,72964637665920,102,258,454,3127907723510,3493941262232,5443256673626,12065105659368,6595341290300,5469764369068,52736604587604,1,33007081
1,65,18241159416480,98,254,428,841867823244,926106700412,1263510894348,3031485418004,1629828345242,1401657072762,15339757918086,1,31287400
1,70,18241159416480,102,252,448,804585922712,885374220134,1309428528434,2999388671280,1618311209242,1381077462038,14043242442474,1,01387480
1,72,18241159416480,98,250,468,777836170646,906508286184,1343401719512,3027746176342,1695397657490,1332348518852,10973319021756,1,111c7080
1,75,91205797082400,108,270,462,4062870824144,4920926251244,7074826219960,16058623295348,9060045606010,6998577689338,76087206098694,1,15347000
1,82,747887536075680,108,258,462,36404301517174,35830161952360,56101987142974,128336450612508,72563653209260,55772797403248,522136092101904,1,15387000
1,83,1514016231567840,108,254,462,65034432055542,76916517352660,111350980501044,253301929909246,133501234883768,119800695025478,1491378860333754,1,311c3001
1,94,857334492574560,110,276,482,39309207317188,44420231814820,69699515364124,153428954496132,84639003613696,68789950882436,904428935295228,1,113c5080
1,96,36482318832960,100,242,454,1379645838210,1761923367340,2734817320624,5876386526174,3445517431868,2430869094306,7215477609438,1,31187001
1,100,91205797082400,116,250,458,3751960833426,4403528658178,6935492590608,15090982082212,8317846003916,6773136078296,61884384603048,1,35305400
1,105,18241159416480,102,272,474,782357998766,875811434534,1432615804888,3090785238188,1812169926884,1278615311304,7588126946232,1,15187080
1,110,18241159416480,102,250,446,802390226850,861875149552,1325584335266,2989849711668,1537600950660,1452248761008,18527034277584,1,15087408
1,122,1112710724405280,112,266,468,48254916547966,57274608161870,85801145858276,191330670568112,103633183011578,87697487556534,1074098818440522,1,31187080
1,128,145929275331840,102,258,486,5817385884568,7122808153054,11067824916566,24008018954188,13353021070372,10654997883816,87547765353048,1,15143081
1,130,18241159416480,96,246,426,838881544604,834820550822,1286503352560,2960205447986,1629033375214,1331172072772,10899202918716,1,31287001
1,140,18241159416480,104,266,448,783748281290,911604635692,1317905175916,3013258092898,1675944847046,1337313245852,11286096822756,1,05307480
1,144,18241159416480,108,264,464,835402823684,880783600282,1368385175814,3084571599780,1737905694544,1346665905236,11875314363948,1,111c7080
1,147,127688115915360,114,270,478,5757426649014,6314648126432,10067342946086,22139417721532,11977067525376,10162350196156,129475598696388,1,35183080
1,153,18241159416480,108,268,486,799193755604,935794258594,1470610057740,3205598071938,1800150802102,1405447269836,15578540333748,1,15187080
1,160,36482318832960,120,302,500,1681634978188,2072721134766,3020997436654,6775353549608,3675284837114,3100068712494,49375053555282,1,113c7000
1,166,1514016231567840,112,268,470,66609302813230,77241756872622,113851581262734,257702640948586,136466850531452,121235790417134,1581789870008082,1,35343000
1,173,3155720579051040,106,278,486,140102244865886,158082534947642,250346994151914,548531773965442,319347312715300,229184461250142,1815738742554786,1,113c7000
1,183,1112710724405280,106,268,472,47244194302014,55507211012956,85284241739956,188035647054926,106291056873892,81744590181034,699066283784022,1,151c7000
1,186,565475941910880,112,270,478,23985514058720,29872881530172,45262563177708,99120958766600,54242895026152,44878063740448,565414248004704,1,15307001
1,192,72964637665920,106,254,480,2914046165732,3434871162116,5568776524482,11917693852330,6715028783800,5202665068530,35909348653710,1,35107008
1,206,1878839419897440,114,270,482,84374453689322,90037877835570,149376706475680,323789038000572,176296202973958,147492835026614,1776690927086922,1,310c7400
1,210,18241159416480,120,262,468,738446896766,916340927108,1374213371086,3029001194960,1724718279290,1304282915670,9205186021290,1,07307080
1,239,4359637100538720,120,264,476,206841069114898,220219068206200,333497286475490,760557423796588,401326833318818,359230590477770,5192978797944630,1,15307080
1,244,1112710724405280,122,264,486,48859235918266,56687239094940,87356516785626,192902991798832,102475758464190,90427233334642,1246072802461326,1,15107081
1,253,419546666579040,118,274,468,19134611751994,21479781690334,31935090801394,72549484243722,40573331728830,31976152514892,336310942122036,1,15987000
1,256,291858550663680,116,272,488,11695404671594,14940744280762,22909411290416,49545560242772,28083193402300,21462366840472,184694908295016,1,15143009
1,260,18241159416480,108,238,452,788146527956,855937019562,1377049805292,3021133352810,1664187749682,1356945603128,12522935331144,1,35183001
1,265,966781449073440,118,274,474,43262205400006,49120752103208,71805402625226,164188360128440,87217033294878,76971326833562,982067794220646,1,15387000
1,270,54723478249440,118,264,466,2482839111174,2770524474324,4042158514854,9295522100352,4810422850408,4485099249944,63667339748712,1,33146400
1,282,857334492574560,124,288,504,36992821386856,44516057925664,68372463394668,149881342707188,83804617310286,66076725396902,733495729706586,1,35147000
1,294,127688115915360,126,280,490,5615120879486,6360841423862,9797832224404,21773794527752,12209925378086,9563869149666,91771292767518,1,15187080
1,306,18241159416480,114,280,502,795708748738,945638651038,1454409672972,3195757072748,1761062525886,1434694546862,17421118786386,1,31307080
1,313,5709482897358240,130,290,518,245141591956374,314233099611470,467455811074198,1026830502642042,580545207903182,446285294738860,5278041979115220,1,113c7000
1,320,72964637665920,128,304,500,3125541903302,3998439884420,5915167728828,13039149516550,7182508223610,5856641292940,77109850791540,1,31187080
1,346,3155720579051040,130,290,492,141447537351996,167719075794548,248861893356732,558028506503276,317715400083486,240313106419790,2516843388242610,1,113c7000
1,366,1112710724405280,126,270,488,46721158980016,54398453479120,87806638657008,188926251116144,103746969358498,85179281757646,915451853110578,1,15147400
1,372,565475941910880,130,280,500,24677700494480,30269837195138,44230401853108,99177939542726,52968139483500,46209800059226,649313636087718,1,15307001
1,384,145929275331840,134,292,504,6354783424912,7430418307618,10992480498482,24777682231012,13372596084368,11405086146644,134803325911212,1,35107001
1,416,36482318832960,148,288,484,1567101015076,2019970133320,2890679611526,6477750759922,3626759487970,2850991271952,33683174801136,1,35187000
1,520,18241159416480,122,280,464,824957675636,889623976510,1414626509420,3129208161566,1705498581794,1423709579772,16729065859716,1,25187001
2,6,18241159416480,92,252,486,758114562076,969984732442,1476903578680,3205002873198,1782548576084,1422454297114,16649983052262,1,07207088
2,11,18241159416480,94,248,470,802357977512,871034533476,1422301280160,3095693791148,1745308675828,1350385115320,12109624599240,1,111c7080
2,12,18241159416480,90,246,474,805464876982,867259377004,1419842752470,3092567006456,1700884730008,1391682276448,14711345750304,1,07087088
2,14,18241159416480,90,248,470,833825472612,893661197894,1419612758810,3147099429316,1722617029448,1424482399868,16777753525764,1,11907009
2,18,18241159416480,98,254,454,848481746476,942311773820,1360811650170,3151605170466,1732635803076,1418969367390,16430432479650,1,11385088
2,22,18241159416480,90,244,466,718453533178,875142625608,1466762970602,3060359129388,1720173119840,1340186009548,11467080935604,1,11947008
2,23,419546666579040,98,264,470,19289927045374,21387097463310,33483566482074,74160590990758,40684422687198,33476168303560,430811936808120,1,119c3008
2,24,18241159416480,90,244,476,712588639606,877784588606,1426843816672,3017217044884,1706499349134,1310717695750,9610577166330,1,13103488
2,25,91205797082400,94,252,466,3714701166062,4507094301670,6885396943044,15107192410776,8618422289784,6488770120992,43969329292896,1,039c7000
2,26,18241159416480,102,264,434,827489319252,993561886178,1360873995694,3181925201124,1708230537738,1473694663386,19878126127398,1,01187089
2,28,18241159416480,100,270,472,786765456178,1030582731292,1419146481272,3236494668742,1809079034614,1427415634128,16962547284144,1,17107008
2,31,565475941910880,96,256,474,24919680788500,29236188214408,45418192045014,99574061047922,56408340392878,43165720655044,457536633624252,1,15187008
2,32,36482318832960,106,282,482,1670573004236,2030423618648,2944177893524,6645174516408,3793299667558,2851874848850,33738840145710,1,01b87080
2,35,18241159416480,102,250,458,845138818084,908660240034,1409965373394,3163764431512,1684958064594,1478806366918,20200163449914,1,11187088
2,36,18241159416480,100,252,462,868797214432,884023321066,1381726963072,3134547498570,1714446027318,1420101471252,16501755022956,1,111c3088
2,44,18241159416480,102,262,472,800817207632,981005371624,1505132475916,3286955055172,1785538048830,1501417006342,21624633733626,1,11b85008
2,46,419546666579040,100,254,466,18084606159958,20789586124598,32599013918880,71473206203436,39871982914424,31601223289012,312690400891596,1,13343008
2,48,18241159416480,92,250,468,810972318024,902677022786,1386921811430,3100571152240,1765418655312,1335152496928,11149969640544,1,111c7080
2,50,91205797082400,96,250,468,3268935717310,4423169733684,7000640858820,14692746309814,8443715504490,6249030805324,28865752405812,1,031c7400
2,55,18241159416480,96,242,452,816426982060,880647328018,1413097139562,3110171449640,1662314924334,1447856525306,18250323428358,1,15307008
2,58,18241159416480,98,262,474,817262074864,931877499580,1456982122650,3206121697094,1788322309878,1417799387216,16356723728688,1,11a47008
2,59,1076228405572320,98,270,488,46988209083608,56851608637832,88934523369226,192774341090666,106833829038588,85940512052078,1109338636991634,1,17343000
2,61,1112710724405280,102,256,468,49373808794390,59047184445202,84283109526408,192704102766000,103599462300406,89104640465594,1162749451711302,1,11187088
2,62,565475941910880,96,262,472,24716350970272,29211926264882,44483207340114,98411484575268,54753262213870,43658222361398,488564241124554,1,05987008
2,64,72964637665920,96,258,468,3052782850120,3563515573042,5618199847690,12234498270852,6672861951922,5561636318930,58524537428910,1,03887081
2,65,18241159416480,92,250,440,819385070924,929765282092,1294481498024,3043631851040,1650561959612,1393069891428,14798765494044,1,11a87400
2,70,18241159416480,98,252,464,782773065286,884504350348,1367596157362,3034873572996,1641471126888,1393402446108,14819716438884,1,03387080
2,72,18241159416480,98,256,480,777344534284,943230019278,1404335630616,3124910184178,1763660211496,1361249972682,12794110613046,1,13107088
2,75,91205797082400,104,264,474,3967166510780,4953942032632,7232330117272,16153438660684,9192587039466,6960851621218,73710463807134,1,05b07008
2,79,1441051593901920,98,262,480,64675715014586,72594644639502,115629548728772,252899908382860,136600580954592,116299327428268,1562651252373204,1,011c7009
2,82,747887536075680,102,254,466,35482508672054,35784484173800,56215721078066,127482713923920,73074758389320,54407955534600,436151054377080,1,153c3000
2,83,1514016231567840,104,254,474,63665021249002,78975852390776,112228626169042,254869499808820,136022150133218,118847349675602,1431318103291566,1,113c3008
2,86,784369854908640,100,272,472,35685675267114,41217947780752,60685813719054,137589436766920,76412672919240,61176763847680,716656702769280,1,03387080
2,93,565475941910880,94,268,496,24518847221840,28352594304792,47673553917472,100544995444104,57165422776574,43379572667530,471009310410870,1,11387008
2,94,857334492574560,106,272,506,38305820047352,44722612345088,72310576152620,155339008545060,85351817670684,69987190874376,979855054787448,1,113c7000
2,96,36482318832960,96,246,478,1381891403762,1824966235546,2841762688658,6048620327966,3518517370438,2530102957528,13467210992424,1,11987008
2,100,91205797082400,112,252,470,3765847381962,4593902765568,7059933004422,15419683151952,8599446262134,6820236889818,64851735728934,1,01b87008
2,105,18241159416480,98,268,486,771199499830,891969010330,1473189258366,3136357768526,1809877642238,1326480126288,10603610290224,1,01b87080
2,110,18241159416480,98,252,460,812402273620,878018574162,1349995988104,3040416835886,1584210911624,1456205924262,18776335562586,1,11387008
2,114,18241159416480,114,270,486,864401126342,938943013044,1438364795230,3241708934616,1744322893138,1497386041478,21370682947194,1,03387080
2,116,18241159416480,100,270,480,794526729196,942751669042,1436255561438,3173533959676,1735561275726,1437972683950,17627641422930,1,11a47008
2,118,1076228405572320,106,264,474,50724154076588,57189437781090,83799138193636,191712730051314,105321877562292,86390852489022,1137710084519106,1,171c3000
2,122,1112710724405280,106,258,478,46086375976062,57288242111806,86912472575794,190287090663662,104066055725578,86221034938084,981082303478172,1,11187088
2,123,747887536075680,106,268,478,34875963411762,38320136360764,58295007884380,131491107656906,69388504332368,62102603324538,920913865143174,1,15347000
2,127,2316627245892960,102,262,488,101033611549450,119747995292170,188352139423280,409133746264900,223766563695502,185367182569398,2411623518300234,1,01b47008
2,128,145929275331840,92,252,498,5456608108616,6935855979842,11378870138214,23771334226672,13377657875584,10393676351088,71084508791184,1,11343088
2,129,784369854908640,106,290,478,35551055922842,42597056524956,63368935571880,141517048019678,77237141229368,64279906790310,912154708154970,1,05387080
2,130,18241159416480,90,238,430,805465030396,799332360028,1301484908292,2906282298716,1635209541020,1271072757696,7112946068928,1,01a87081
2,135,54723478249440,100,254,474,2508565993804,2754736610352,4095858527864,9359161132020,4955802928204,4403358203816,58517653842648,1,131c6008
2,140,18241159416480,100,264,466,774086666422,928039665972,1375505108730,3077631441124,1690968707358,1386662733766,14395114561338,1,07383080
2,141,857334492574560,108,274,502,37872600874862,43495021044224,68956973369216,150324595288302,83301234328958,67023360959344,793133770140432,1,151c3008
2,146,1331604637403040,112,274,496,62954364162544,69159063229018,105400111199454,237513538591016,130784819444196,106728719146820,1397490756637500,1,07987000
2,147,127688115915360,106,264,490,5470480179008,6131108440306,10251774848056,21853363467370,11981765281972,9871598185398,111158222018634,1,151c3080
2,148,674922898409760,106,264,496,30901114618212,35849969994162,52313466168108,119064550780482,66341175660310,52723375120172,621881038931796,1,11987080
2,153,18241159416480,102,266,498,782122615204,946198543464,1512018805644,3240339964312,1802348471752,1437991492560,17628826365360,1,15187080
2,158,1441051593901920,104,272,480,63409303903822,73041777802426,115364744202340,251815825908588,135159786178754,116656039729834,1585124127371862,1,111c7008
2,160,36482318832960,116,300,510,1624853302792,2100210630464,3086819964716,6811883897972,3761747070038,3050136827934,46229344828002,1,11387008
2,164,747887536075680,108,268,474,35794980873410,37786419869390,55856005819292,129437406562092,73056205656662,56381200905430,560465512739370,1,153c3000
2,166,1514016231567840,106,264,480,64189484888384,76472313690730,116157317549980,256819116129094,137945287523210,118873828605884,1432986275899332,1,113c3008
2,172,784369854908640,112,284,488,32416208768382,44129394080810,62198389870162,138743992719354,77690930118694,61053062600660,708863524207020,1,05387400
2,173,3155720579051040,102,278,492,137471839280718,164157380691030,252173501976730,553802721948478,321412802761050,232389919187428,2017682592603804,1,113c7000
2,183,1112710724405280,100,266,482,45941118828270,55283395637900,88124361365498,189348875831668,107288551830570,82060324001098,718957514448054,1,111c7008
2,186,565475941910880,104,270,498,23456722691320,30069729172886,46385110908902,99911562773108,55793047928546,44118514844562,517562667563886,1,05a87008
2,192,72964637665920,100,250,490,2824115156452,3476509595320,5663703987248,11964328739020,6657966148716,5306362590304,42442292525472,1,11987008
2,206,1878839419897440,110,270,500,84620587561982,90573768460330,153820357241538,329014713263850,180315809023436,148698904240414,1852673287556322,1,118c7008
2,210,18241159416480,116,262,478,748098901522,939662080816,1425127669632,3112888651970,1764228261320,1348660390650,12000966945030,1,07b03080
2,223,4067778549875040,114,280,500,187820772579820,212858025933550,319827737362328,720506535875698,399677539672520,320828996203178,3941112561300054,1,113c3008
2,233,4250190144039840,118,290,508,187639404176174,230760156387656,343342751910774,761742312474604,412792342776502,348949969698102,4983087514821066,1,052c7008
2,244,1112710724405280,116,260,496,47885805790890,56182317917786,87491217401336,191559341110012,100795321114758,90764019995254,1267290362079882,1,13187080
2,248,565475941910880,112,268,478,25302663918240,30352525534076,43028418920832,98683608373148,52542663643294,46140944729854,644975750337282,1,07107088
2,254,2316627245892960,106,272,488,102304534418758,119100608067352,184636298181964,406041440668074,218912131187446,187129309480628,2522637513707724,1,05387080
2,256,291858550663680,110,270,504,11125260504268,15006733913240,23638199919332,49770194336840,28831986751324,20938207585516,151672875232788,1,17143008
2,258,784369854908640,122,288,508,35469357644014,42174890286766,62955766168854,140600014099634,77397130483684,63202883615950,844302248170290,1,15387000
2,260,18241159416480,102,232,454,780282087400,841269332948,1385543367260,3007094787608,1614168769354,1392926018254,14789701484082,1,25187001
2,265,966781449073440,110,274,494,43275838988492,50123425879092,75518829289494,168918094157078,90711141714478,78206952442600,1059912207590040,1,03b87000
2,270,54723478249440,114,262,494,2365334886434,2853709150200,4159190683460,9378234720094,4962947043364,4415287676730,59269210636230,1,13946008
2,271,4943354201866080,118,284,512,223957108879492,261115446398278,395228856492356,880301411770126,475998453745692,404302958024434,5697669548075022,1,15387000
2,282,857334492574560,118,290,520,35835645549512,45072924456920,70977096730192,151885666736624,85083818378226,66801848358398,779178476280834,1,151c3008
2,288,36482318832960,120,292,498,1651076215568,1865140196580,2884203276164,6400419688312,3596580752740,2803838935572,30712577609196,1,111c7008
2,292,1331604637403040,114,278,500,63105042091624,65943906821372,102835534812278,231884483725274,125796982525006,106087501200268,1357094026004724,1,071c7000
2,294,127688115915360,126,278,504,5415614168458,6388687092208,9980053304040,21784354564706,12243182668652,9541171896054,90341365789962,1,15187080
2,306,18241159416480,108,278,510,785328709898,957778140236,1512503832506,3255610682640,1812816358268,1442794324372,17931404769516,1,11383088
2,313,5709482897358240,126,284,528,243626690521292,312196627923448,476421937176018,1032245255620758,585149169038838,447096086581920,5329121865228000,1,113c7000
2,320,72964637665920,120,302,516,3102560618474,4054809042204,6082318479188,13239688139866,7264527882720,5975160257146,84576545536518,1,11387080
2,332,1514016231567840,120,272,502,65697553702682,81219371727164,119076390967964,265993316397810,143999971163730,121993345234080,1629515823475680,1,11347008
2,338,237135072414240,122,288,504,10338881354040,12618476342098,19376934513474,42334292209612,23950582829166,18383709380446,209633401311138,1,01b87008
2,346,3155720579051040,126,286,502,137840982908756,167885179587212,251462793591890,557188956087858,320553369437722,236635586650136,2285159642754408,1,11347008
2,366,1112710724405280,118,272,498,46332464103558,55100769882194,89738954636322,191172188622074,105328433922624,85843754699450,957313648444230,1,13947000
2,372,565475941910880,126,278,514,23824300603230,31270461216332,45232827813258,100327589632820,53852948564178,46474641068642,665998619680926,1,05b07008
2,378,54723478249440,126,290,524,2432937596432,2945355678150,4503962982778,9882256257360,5475322141944,4406934115416,58742936273448,1,111c7080
2,381,2316627245892960,118,286,492,103513318319306,127309487527664,180173292642804,410996098489774,225232899411522,185763199078252,2436572558358036,1,11387008
2,383,6986364056511840,126,288,508,312440281793330,358120910811956,560401213708182,1230962406313468,677740578251782,553221828061686,6907518941838858,1,119c7000
2,384,145929275331840,130,290,512,5944500004856,7418537440004,11383893113880,24746930558740,13487273367550,11259657191190,125641301717610,1,15907008
2,410,747887536075680,124,282,512,34829687049890,39652490699538,57157124381632,131639302131060,69915449857384,61723852273676,897052548938868,1,033c7000
2,416,36482318832960,136,282,498,1587095557358,2021720108618,2920087229724,6528902895700,3620959364610,2907943531090,37271167126830,1,07187008
