q,r,grid,coarse_ticks,minimum_mass,minimum_ticks,minimum_body_hex,direct_replay_mass,identity_ok,nodes,prunes
6,50,91205797082400,-8437385997054,6670265801376,55403557157088,07586008,6670265801376,1,97,46
6,72,18241159416480,-1301906949336,1340054708012,11458808938836,0f803088,1340054708012,1,83,38
11,50,91205797082400,-10866446859114,6910923124610,70564968520830,039c7000,6910923124610,1,77,37
24,50,91205797082400,-23646451638348,6621359886194,52322484500622,031c6401,6621359886194,1,83,39
24,96,36482318832960,-2024665670790,2691563680902,23639236564986,1d182401,2691563680902,1,71,33
25,48,91205797082400,-1870809545682,6898236004246,69765679937898,051c7001,6898236004246,1,43,19
25,70,91205797082400,-27325034932104,6360930524002,35915434682526,039c7000,6360930524002,1,55,27
25,96,182411594164800,-9325777366080,13742402631142,136124989102746,059c7000,13742402631142,1,65,27
25,105,91205797082400,-21200596647804,6373972974462,36737109061506,07987000,6373972974462,1,47,23
25,210,91205797082400,-5439949259472,6654955463022,54439005840786,07987000,6654955463022,1,59,27
31,50,2827379709554400,-638854664257656,204401914297228,1567801762507764,071c7000,204401914297228,1,75,35
34,50,91205797082400,-811091710800,6839690886340,66077337509820,15186401,6839690886340,1,79,36
35,50,91205797082400,-31955437395126,6229601220448,27641688558624,031c7400,6229601220448,1,59,28
36,96,36482318832960,-1947788467632,2784167072414,29473250230242,11186409,2784167072414,1,169,83
38,50,91205797082400,-7451938970406,6759559981898,61029090529974,05686401,6759559981898,1,47,23
46,50,2097733332895200,-213178802927706,157574341457982,1536250180272066,031c7400,157574341457982,1,157,78
48,50,91205797082400,-38846347344504,6354719143504,35524117711152,15186401,6354719143504,1,85,38
48,72,18241159416480,-77786814168,1388002084454,14479493654682,091c7001,1388002084454,1,73,35
48,105,18241159416480,-677661385716,1390565110246,14640964279578,0d983080,1390565110246,1,77,31
48,128,145929275331840,-47254136638212,10287041170462,64366492411746,1c582401,10287041170462,1,65,30
48,256,291858550663680,-2896221241368,21904188251298,212529657177054,1d502401,21904188251298,1,41,20
50,55,91205797082400,-6230503157004,6689407169982,56609463379266,052c6401,6689407169982,1,131,61
50,59,5381142027861600,-716087306198376,402835080444740,3854041956572220,071c6400,402835080444740,1,105,48
50,64,364823188329600,-50790420564534,26972964642422,240004019154186,23887001,26972964642422,1,123,60
50,65,91205797082400,-24256224254052,6497685941334,44531025974442,031c7400,6497685941334,1,115,55
50,70,91205797082400,-71820030978486,5794739949188,245428469244,031c7400,5794739949188,1,71,32
50,72,91205797082400,-16882033609224,6594409400006,50624603870778,031c7008,6594409400006,1,109,53
50,90,91205797082400,-11912331109770,6768289022608,61579020094704,031c7400,6768289022608,1,111,49
50,92,2097733332895200,-16567832591100,161378152432404,1775890271660652,031c7400,161378152432404,1,307,150
