q,r,grid,body_hex,accepted_cells,replay_mass,replay_ticks,expected_mass,expected_ticks,match
6,50,91205797082400,07586008,356,6670265801376,55403557157088,6670265801376,55403557157088,1
6,72,18241159416480,0f803088,366,1340054708012,11458808938836,1340054708012,11458808938836,1
11,50,91205797082400,039c7000,338,6910923124610,70564968520830,6910923124610,70564968520830,1
24,50,91205797082400,031c6401,342,6621359886194,52322484500622,6621359886194,52322484500622,1
24,96,36482318832960,1d182401,340,2691563680902,23639236564986,2691563680902,23639236564986,1
25,48,91205797082400,051c7001,312,6898236004246,69765679937898,6898236004246,69765679937898,1
25,70,91205797082400,039c7000,294,6360930524002,35915434682526,6360930524002,35915434682526,1
25,96,182411594164800,059c7000,332,13742402631142,136124989102746,13742402631142,136124989102746,1
25,105,91205797082400,07987000,358,6373972974462,36737109061506,6373972974462,36737109061506,1
25,210,91205797082400,07987000,370,6654955463022,54439005840786,6654955463022,54439005840786,1
31,50,2827379709554400,071c7000,324,204401914297228,1567801762507764,204401914297228,1567801762507764,1
34,50,91205797082400,15186401,318,6839690886340,66077337509820,6839690886340,66077337509820,1
35,50,91205797082400,031c7400,312,6229601220448,27641688558624,6229601220448,27641688558624,1
36,96,36482318832960,11186409,300,2784167072414,29473250230242,2784167072414,29473250230242,1
38,50,91205797082400,05686401,354,6759559981898,61029090529974,6759559981898,61029090529974,1
46,50,2097733332895200,031c7400,330,157574341457982,1536250180272066,157574341457982,1536250180272066,1
48,50,91205797082400,15186401,312,6354719143504,35524117711152,6354719143504,35524117711152,1
48,72,18241159416480,091c7001,318,1388002084454,14479493654682,1388002084454,14479493654682,1
48,105,18241159416480,0d983080,360,1390565110246,14640964279578,1390565110246,14640964279578,1
48,128,145929275331840,1c582401,346,10287041170462,64366492411746,10287041170462,64366492411746,1
48,256,291858550663680,1d502401,388,21904188251298,212529657177054,21904188251298,212529657177054,1
50,55,91205797082400,052c6401,320,6689407169982,56609463379266,6689407169982,56609463379266,1
50,59,5381142027861600,071c6400,350,402835080444740,3854041956572220,402835080444740,3854041956572220,1
50,64,364823188329600,23887001,354,26972964642422,240004019154186,26972964642422,240004019154186,1
50,65,91205797082400,031c7400,302,6497685941334,44531025974442,6497685941334,44531025974442,1
50,70,91205797082400,031c7400,302,5794739949188,245428469244,5794739949188,245428469244,1
50,72,91205797082400,031c7008,310,6594409400006,50624603870778,6594409400006,50624603870778,1
50,90,91205797082400,031c7400,340,6768289022608,61579020094704,6768289022608,61579020094704,1
50,92,2097733332895200,031c7400,354,161378152432404,1775890271660652,161378152432404,1775890271660652,1
50,93,2827379709554400,011c7401,332,207940747268920,1790748239724360,207940747268920,1790748239724360,1
50,96,182411594164800,11586401,312,12666068336472,68315928538536,12666068336472,68315928538536,1
50,105,91205797082400,07987000,354,6291493879690,31540926090870,6291493879690,31540926090870,1
50,108,273617391247200,231c7000,348,20901779757064,222342559706232,20901779757064,222342559706232,1
50,110,91205797082400,10786401,294,6088570223948,18756735779124,6088570223948,18756735779124,1
50,113,10306255070311200,034c7400,350,762325519221090,6801487429683870,762325519221090,6801487429683870,1
50,115,2097733332895200,239c5000,362,161351249492292,1774195386433596,161351249492292,1774195386433596,1
50,118,5381142027861600,071c6400,336,404804012724008,3978084690166104,404804012724008,3978084690166104,1
50,128,729646376659200,05346401,364,54138164821558,492118877121354,54138164821558,492118877121354,1
50,130,91205797082400,252c4401,312,6034445753862,15346894163706,6034445753862,15346894163706,1
50,135,273617391247200,070c5401,342,20325166521086,186015925839618,20325166521086,186015925839618,1
50,140,91205797082400,07386400,344,5838347001558,2992672768554,5838347001558,2992672768554,1
50,163,14866544924431200,071c7000,358,1120917860824634,11151645534227142,1120917860824634,11151645534227142,1
50,164,3739437680378400,053c6400,342,280419159959894,2708656355959722,280419159959894,2708656355959722,1
50,165,91205797082400,031c7400,340,6828908920132,65398073638716,6828908920132,65398073638716,1
50,173,15778602895255200,031c7400,342,1174872069837750,10902528818757450,1174872069837750,10902528818757450,1
50,183,5563553622026400,031c7400,328,405771261480400,3309374985159600,405771261480400,3309374985159600,1
50,192,364823188329600,15186401,354,27234380851710,256473240339330,27234380851710,256473240339330,1
