q,r,grid,rank2_total,degree_bound_mass,degree_bound_ticks,positive,top9_hex
100,636,4833907245367200,789403685441726,348915008880770,2646016578019710,1,07307400
256,636,15468503185175040,2618413081480920,1112707067669166,8226532522457298,1,17342400
294,636,6767470143514080,1165219452230940,533293317036726,6527598399257418,1,151c6080
338,636,12568158837954720,2203164933857908,1009819327274256,13345982266459248,1,07387000
372,636,29970224921276640,5169880616419968,2424584232813048,32867906982115464,1,07307400
384,636,7734251592587520,1281940471488660,607656227167486,7345335941201538,1,15366000
100,635,11583136229464800,1926204121127260,868328518812326,8372151767317338,1,03307408
306,635,2316627245892960,411096263729398,189690947449444,2684020705743132,1,13387000
100,634,28912237675120800,4877001560219180,2212135703431574,23715598615705962,1,23986400
100,633,19244423184386400,3248631651099392,1504481986061576,17804672384333688,1,03187408
100,632,7205257969509600,1187504929657462,532826812207142,4747057291011546,1,31986400
256,632,23056825502430720,3859918852463118,1669522919816258,12952641938701374,1,15946400
282,632,67729424913390240,11984532782443336,5463859100682766,73305423689453298,1,35187000
294,632,10087361157313440,1708258433892870,765778771765994,7894617992003862,1,351c6000
306,632,1441051593901920,249323268353030,117273004511384,1623992908609512,1,351c6000
320,632,5764206375607680,1027599210438790,471415875210428,6642374635826244,1,35984400
332,632,119607282293859360,20611269997400442,9554341411019968,123494379718820544,1,151c5400
366,632,87904147228017120,15102396103507294,7002826586053788,89561486009320164,1,15946400
416,632,2882103187803840,508424432356112,226498557072384,2740996344344832,1,35186400
512,632,46113651004861440,7903826967890482,3556774290061584,39622176254434032,1,15946400
100,631,57550857958994400,9614240904698928,4361613478285686,44578217296020618,1,31187400
256,631,184162745468782080,31959242761589646,13990406736397820,144744642517934340,1,17146400
294,631,80571201142592160,13943836621206746,6222223893814122,69715300739921046,1,151c6080
100,630,91205797082400,15093790516108,6714914396152,58216418627976,1,05b81408
220,630,18241159416480,3020437503906,1409207010054,15815403967482,1,15c06408
256,630,291858550663680,50439457063096,22035694459224,220814548276392,1,15303408
294,630,127688115915360,21494922066332,9785890468848,105758635875984,1,15387000
320,630,72964637665920,13041484468890,5986367718414,85282615596402,1,35385000
332,630,1514016231567840,265686207036258,122220017392066,1643796169428798,1,15381408
366,630,1112710724405280,187100572541978,88853134467676,1146904573842468,1,15187400
372,630,565475941910880,100116706559006,46358751332244,658697566287852,1,05a87008
