q,r,grid,rank3_total,min_mass,min_ticks,least_body,nodes,prunes
1,3,18241159416480,5314485177256,2134498516656,21149141116752,05087403,623,306
1,7,18241159416480,5134245762888,2102742026150,20291715873090,15286401,805,400
1,9,18241159416480,5059456770364,2155670859540,21720794374620,15087401,1217,607
1,11,18241159416480,5037935105344,2028573024682,18289152833454,01147403,1445,719
1,14,18241159416480,5088409350994,2094085335102,20057985214794,0114720a,803,401
1,17,18241159416480,5117040007736,2112333365694,20550682040778,15286401,1137,567
1,18,18241159416480,5066386638014,2097511584700,20150493953940,011c508a,2089,1044
1,22,18241159416480,5081316024354,2051479190910,18907619321610,0114528a,1507,740
1,23,419546666579040,117677337963964,49052537125962,485325169242894,050c7401,1473,729
1,24,18241159416480,5201746502644,2124712588486,20884921056162,15286401,1683,831
1,25,91205797082400,24716251992876,9985594883562,87199467691374,011c5403,999,496
1,26,18241159416480,5065891471842,2205432684282,23064363642654,1d086401,1469,709
1,27,54723478249440,15291857271086,6711385625274,71760455383518,01147403,1771,885
1,28,18241159416480,5237437098592,2102249835262,20278426719114,15087401,1195,589
1,29,18241159416480,5157058823690,2149177483826,21545473230342,15087401,1455,724
1,31,565475941910880,156570887430716,63652001378420,587652153395580,070c7008,1025,496
1,32,36482318832960,10385569200016,4231480260248,41285329360776,15306401,943,468
1,35,18241159416480,4986486101420,2109238398266,20467117920222,0114528a,1021,505
1,36,18241159416480,4972421805856,2061695410626,19183457253942,031c5088,831,404
1,41,747887536075680,205058748388730,87118679324010,856429269596910,15087401,1103,547
1,44,18241159416480,5249228134904,2213080114344,23270844254328,1d085401,2551,1275
1,46,419546666579040,116148023532080,48275663572118,464349583289106,15286401,1283,627
1,47,857334492574560,243273236919296,98576681095178,946901404420686,030c5288,837,415
1,48,18241159416480,5085794646174,2022276891100,18119157226740,1d086401,599,289
1,50,91205797082400,24747891273930,9474343950890,73395692509230,050c5403,1175,584
1,52,18241159416480,5055087229938,2170996158062,22134577434714,15087401,1179,561
1,54,54723478249440,15288732119552,6426809404544,64076897423808,01147403,919,454
1,55,18241159416480,4996668334002,2086086380306,19842013435302,0114740a,1913,945
1,58,18241159416480,5125278271362,2140618643762,21314384548614,1d803401,901,447
1,59,1076228405572320,299701549548362,122814622428762,1163537994431934,050c7401,875,435
1,61,1112710724405280,308736537999492,129645296218410,1275001549086510,031c5088,2245,1110
1,62,565475941910880,154981083015264,63946471717524,595602852551388,15286401,1785,891
1,64,72964637665920,19834707287884,8131710751394,73626914955798,15a06401,1157,578
1,65,18241159416480,4896101733594,2027191312994,18251846617878,110a5602,1007,499
1,70,18241159416480,4943029298370,2063929297568,19243772201376,01145682,1051,516
1,72,18241159416480,4952321453520,1941394020196,15935319712332,031c5088,1129,563
1,73,1331604637403040,380990241910784,157377907811458,1585994236103286,15286401,963,481
1,74,674922898409760,191730191806186,81766975394844,857862538841268,011c508a,2179,1086
1,75,91205797082400,25750410917604,10335890946418,96657461388486,01147403,817,405
1,79,1441051593901920,402485938926856,166538210727032,1614428501826024,15087401,2239,1112
1,81,164170434748320,45783940663652,19090935375312,187114385636784,05346401,1237,607
1,82,747887536075680,204531004323200,82721997774692,737718867765324,15286401,1139,560
1,83,1514016231567840,417879342151276,172515606455100,1629888911152020,0014760a,2069,1024
1,86,784369854908640,216586780196938,91212641512270,894001611014010,15087401,649,322
1,87,18241159416480,5112834473936,2134546302082,21150431323254,15087401,1203,586
1,90,18241159416480,5057010099890,2146328119450,21468540392190,01147403,1215,604
1,92,419546666579040,116386496560844,49311537694088,492318184582296,15286401,1657,822
1,93,565475941910880,160546733973440,64832229736106,619518319053102,15087401,1005,501
1,94,857334492574560,244059652758312,100244543755920,991933696260720,0114528a,1219,606
1,96,36482318832960,9846868348118,3840184702628,30720349305036,15087401,935,463
1,98,127688115915360,36870427874792,15487973782724,162799060302828,15286401,1237,609
1,100,91205797082400,24835968407412,10037667545636,88605429567372,0114740a,1117,555
1,102,18241159416480,5240636164830,2216063341192,23351391379224,15087401,1203,599
1,103,1878839419897440,529012053313020,220364056880982,2192150695991634,15087401,2325,1127
1,104,18241159416480,4993723239746,2071973458966,19460964559122,15087401,543,246
1,105,18241159416480,5097592956790,2053036840846,18949675869882,05187088,1191,595
1,108,54723478249440,15089914295276,6152955758078,56682848969226,031c7008,779,389
1,110,18241159416480,4924467376128,2040564207552,18612914770944,1c883401,1163,573
1,115,419546666579040,117694387172208,50696127435136,529702107590592,15087401,1727,862
1,116,18241159416480,5140765111594,2157600431358,21772892813706,1da06001,907,443
1,118,1076228405572320,299409537375304,124501963693984,1209096208592928,15306401,571,281
1,119,18241159416480,5136751526836,2170239483942,22114147233474,050c7401,1575,785
1,122,1112710724405280,310960624862968,130059899918584,1286195848991208,0114528a,3083,1532
1,123,747887536075680,206550694339012,86271486394636,833555060503812,15286401,855,426
1,125,456028985412000,124580276687782,52925785988308,516938250860316,15087401,1857,927
1,127,2316627245892960,652949890256842,264919223839758,2519564551887546,0114528a,1383,686
1,128,145929275331840,40088820504884,16061865105186,141811807176342,15b02401,1011,503
1,130,18241159416480,4814942320046,1960816024690,16459713833670,05087403,903,441
1,133,18241159416480,5158716650706,2192308440076,22710009049092,0114740a,2191,1077
