q,r,grid,rank3_total,coarse_mass,coarse_ticks,positive,top9
1,2,18241159416480,5563289761732,1481222114464,3510678257568,1,111c7008
1,3,18241159416480,5314485177256,1328864871754,-602967295602,0,11887401
1,4,18241159416480,5441317934006,1416534851706,1764122163102,1,118c6408
1,5,18241159416480,5346992112460,1503552465122,4113597725334,1,11147009
1,6,18241159416480,5124445210730,1359772659634,231542977158,1,11007489
1,7,18241159416480,5134245762888,1266325718306,-2291524438698,0,11906601
1,9,18241159416480,5059456770364,1332874032248,-494719962264,0,118c5401
1,11,18241159416480,5037935105344,1174018889698,-4783808811114,0,11147401
1,12,18241159416480,5041143300390,1378632298048,740753214336,1,1500708a
1,13,18241159416480,5023563247220,1424848487664,1988590333968,1,21186409
1,14,18241159416480,5088409350994,1184837664192,-4491701899776,0,11906209
1,17,18241159416480,5117040007736,1268921722382,-2221432328646,0,11342409
1,18,18241159416480,5066386638014,1236277683826,-3102821369658,0,111c008b
1,19,18241159416480,5108498963908,1414512922220,1709530066980,1,31983400
1,21,18241159416480,5271474284066,1425994690070,2019537798930,1,11107409
1,22,18241159416480,5081316024354,1208401003168,-3855491747424,0,11945201
1,23,419546666579040,117677337963964,30273332659436,-21713351353308,0,11147401
1,24,18241159416480,5201746502644,1316567037872,-935008810416,0,111c6480
1,25,91205797082400,24716251992876,5715881883008,-28082783323584,0,111c7400
1,26,18241159416480,5065891471842,1325870054318,-683827366374,0,31084489
1,27,54723478249440,15291857271086,4035265402870,-494790621390,0,11b45400
1,28,18241159416480,5237437098592,1242850518344,-2925354837672,0,11906409
1,29,18241159416480,5157058823690,1311150586638,-1081252993734,0,31907400
1,31,565475941910880,156570887430716,39007810681752,-77740995414456,0,31985008
1,32,36482318832960,10385569200016,2438369660126,-7128656842518,0,11907401
1,33,18241159416480,5147385664462,1422447628094,1923767125578,1,11946600
1,34,18241159416480,5198549844684,1354352204820,85190697180,1,11146409
1,35,18241159416480,4986486101420,1275559751642,-2042205538626,0,11907202
1,36,18241159416480,4972421805856,1218020794340,-3595757385780,0,111c1089
1,37,674922898409760,193618242406978,50023948307072,800807471424,1,119c6008
1,38,18241159416480,5088021763594,1413734550836,1688514039612,1,21183481
1,39,18241159416480,5090466855950,1371353380728,544222446696,1,31886480
1,41,747887536075680,205058748388730,54045484490392,-36546990910776,0,11307600
1,43,784369854908640,216308360149682,58312091340502,5686756376274,1,31183280
1,44,18241159416480,5249228134904,1343754404810,-200949903090,0,11345009
1,45,18241159416480,5183110805766,1367009829684,426946568508,1,318c6002
1,46,419546666579040,116148023532080,28161512435730,-78732497393370,0,11146409
1,47,857334492574560,243273236919296,61254557681248,-60795927755424,0,118c7008
1,48,18241159416480,5085794646174,1157356332492,-5233697855676,0,111c6401
1,49,127688115915360,37099512389276,10592430254406,30619385038242,1,11b47000
1,50,91205797082400,24747891273930,5358572703630,-37730131166790,0,31984402
1,51,18241159416480,5259049547082,1391038880486,1075730940162,1,31986400
1,52,18241159416480,5055087229938,1345895529274,-143139542562,0,31081489
1,53,966781449073440,280220220730160,75745586186114,111567928878198,1,11945408
1,54,54723478249440,15288732119552,3816220104312,-6409013682456,0,11947400
1,55,18241159416480,4996668334002,1243907229580,-2896823634300,0,11147402
1,56,18241159416480,5278275253606,1447064633118,2588426261226,1,11047409
1,57,18241159416480,5092049387266,1374848741226,638597180142,1,31981480
1,58,18241159416480,5125278271362,1233478845606,-3178390001598,0,11847408
1,59,1076228405572320,299701549548362,74598958211686,-138284939429118,0,15147400
1,61,1112710724405280,308736537999492,81090175248684,-35986717096092,0,31185408
1,62,565475941910880,154981083015264,39762669953264,-57359795083632,0,31907200
1,64,72964637665920,19834707287884,4830163396376,-15514863629688,0,11807601
1,65,18241159416480,4896101733594,1193334918958,-4262276021094,0,31887400
1,66,18241159416480,5365451728298,1383769071088,879446086416,1,31945400
1,67,1222157680904160,351907192133314,93014120066774,67065879994578,1,31187400
1,68,18241159416480,5288764710468,1424915071958,1990388109906,1,111c6009
1,69,419546666579040,120445557260874,32829186296756,47294696854332,1,11143409
1,70,18241159416480,4943029298370,1218199993388,-3590919011484,0,01b45402
1,71,1295122318570080,374449869229078,97288075604156,36533404172052,1,310c6401
1,72,18241159416480,4952321453520,1119483736062,-6256257959286,0,111c2409
1,73,1331604637403040,380990241910784,96041850425882,-70079313307266,0,31186600
1,74,674922898409760,191730191806186,49266886471136,-19639862098848,0,119c7000
1,75,91205797082400,25750410917604,6140698786586,-16612726926978,0,11b45400
1,76,18241159416480,5146379308988,1405709994558,1471851020106,1,15303401
1,77,18241159416480,5284406858888,1402078353140,1373796701820,1,111c5401
1,78,18241159416480,4991104219412,1379134564610,754314411510,1,31086482
1,79,1441051593901920,402485938926856,102690131550578,-109469635938234,0,31144409
1,81,164170434748320,45783940663652,11554017805494,-16382388748302,0,11a07480
1,82,747887536075680,204531004323200,48642044118280,-182439880957800,0,112c7400
1,83,1514016231567840,417879342151276,103363166379404,-237226970891772,0,11947400
1,86,784369854908640,216586780196938,56443265014744,-44771554419192,0,11387400
