  done triple (1, 2, 3)  (n=17578, min=0.0033500, bad=0)
  done triple (1, 2, 4)  (n=35156, min=0.0032323, bad=0)
  done triple (1, 2, 5)  (n=52734, min=0.0030974, bad=0)
  done triple (1, 2, 6)  (n=70312, min=0.0030034, bad=0)
  done triple (1, 2, 7)  (n=87890, min=0.0030034, bad=0)
  done triple (1, 2, 8)  (n=105468, min=0.0030034, bad=0)
  done triple (1, 2, 9)  (n=123046, min=0.0030034, bad=0)
  done triple (1, 2, 10)  (n=140624, min=0.0030034, bad=0)
  done triple (1, 2, 11)  (n=158202, min=0.0030034, bad=0)
  done triple (1, 2, 12)  (n=175780, min=0.0030034, bad=0)
  done triple (1, 3, 4)  (n=193358, min=0.0030034, bad=0)
  done triple (1, 3, 5)  (n=210936, min=0.0030034, bad=0)
  done triple (1, 3, 6)  (n=228514, min=0.0030034, bad=0)
  done triple (1, 3, 7)  (n=246092, min=0.0030034, bad=0)
  done triple (1, 3, 8)  (n=263670, min=0.0030034, bad=0)
  done triple (1, 3, 9)  (n=281248, min=0.0030034, bad=0)
  done triple (1, 3, 10)  (n=298826, min=0.0030034, bad=0)
  done triple (1, 3, 11)  (n=316404, min=0.0030034, bad=0)
  done triple (1, 3, 12)  (n=333982, min=0.0030034, bad=0)
