  [1/78] removed (1, 7): raw 628877, scanned 93519, survivors 0,   3.4s
  [2/78] removed (1, 9): raw 628877, scanned 130403, survivors 0,   4.4s
  [3/78] removed (1, 8): raw 628877, scanned 139751, survivors 0,   4.7s
  [4/78] removed (1, 10): raw 628877, scanned 112135, survivors 0,   7.0s
  [5/78] removed (1, 12): raw 628877, scanned 93304, survivors 0,   7.7s
  [6/78] removed (1, 11): raw 628877, scanned 112323, survivors 0,   8.1s
  [7/78] removed (1, 13): raw 628877, scanned 93599, survivors 0,   9.7s
  [8/78] removed (1, 2): raw 628877, scanned 628877, survivors 0,  18.9s
  [9/78] removed (1, 5): raw 628877, scanned 628877, survivors 0,  18.9s
  [10/78] removed (1, 6): raw 628877, scanned 628877, survivors 0,  18.9s
  [11/78] removed (1, 3): raw 628877, scanned 628877, survivors 0,  19.0s
  [12/78] removed (1, 4): raw 628877, scanned 628877, survivors 0,  19.1s
  [13/78] removed (2, 7): raw 628877, scanned 93519, survivors 0,  23.1s
  [14/78] removed (2, 10): raw 628877, scanned 112135, survivors 0,  23.9s
  [15/78] removed (2, 9): raw 628877, scanned 130403, survivors 0,  24.6s
  [16/78] removed (2, 8): raw 628877, scanned 139751, survivors 0,  24.7s
  [17/78] removed (2, 13): raw 628877, scanned 93599, survivors 0,  28.1s
  [18/78] removed (2, 11): raw 628877, scanned 112323, survivors 0,  28.2s
  [19/78] removed (2, 12): raw 628877, scanned 93304, survivors 0,  28.4s
  [20/78] removed (2, 3): raw 628877, scanned 628877, survivors 0,  31.6s
  [21/78] removed (3, 7): raw 628877, scanned 93519, survivors 0,  32.6s
  [22/78] removed (2, 4): raw 628877, scanned 628877, survivors 0,  34.1s
  [23/78] removed (2, 5): raw 628877, scanned 628877, survivors 0,  35.6s
  [24/78] removed (3, 8): raw 628877, scanned 139751, survivors 0,  37.8s
  [25/78] removed (3, 9): raw 628877, scanned 130403, survivors 0,  38.3s
  [26/78] removed (3, 10): raw 628877, scanned 112135, survivors 0,  39.1s
  [27/78] removed (3, 11): raw 628877, scanned 112323, survivors 0,  39.2s
