=== growth of sup_w |w*Delta_w| with core span (does the uniform bound hold?) ===
  core (span) : sup_w|wD|  at w   | #N1cells
  consec8                  span=  7 : sup|wD|=0.7296=3754/5145  w=68  #cells=28
  odd-struct s11           span= 11 : sup|wD|=2.5417=1370/539  w=90  #cells=60
  odds5+ends               span= 11 : sup|wD|=2.2462=8475/3773  w=90  #cells=47
  odds7                    span= 13 : sup|wD|=1.5793=1006/637  w=90  #cells=59
  odds9                    span= 17 : sup|wD|=1.0829=386965/357357  w=21  #cells=65
  dilate2 consec           span= 14 : sup|wD|=0.4909=1347/2744  w=67  #cells=56
  dilate3 consec           span= 21 : sup|wD|=0.9366=8261/8820  w=119  #cells=84
  wide {0,1,2,20,21,22,40} span= 40 : sup|wD|=2.0958=316303/150920  w=41  #cells=89
  multiscale               span= 61 : sup|wD|=3.9088=2804017/717360  w=62  #cells=220
  AP-step2 long            span= 18 : sup|wD|=0.6260=1227/1960  w=63  #cells=58
  sidon-ish                span= 44 : sup|wD|=1.8251=626/343  w=44  #cells=110
