r = 1/14, independence (2r)^2 = 1/49 = 0.020408
   (P,Q)   PQ    exact min     float  Fourier bd                verdict
  (1,1)    1            0   0.00000    -0.31293      DANGEROUS (min=0)
  (1,2)    2            0   0.00000    -0.14626      DANGEROUS (min=0)
  (1,3)    3            0   0.00000    -0.09070      DANGEROUS (min=0)
  (2,3)    6            0   0.00000    -0.03515      DANGEROUS (min=0)
  (1,4)    4            0   0.00000    -0.06293      DANGEROUS (min=0)
  (3,4)   12            0   0.00000    -0.00737      DANGEROUS (min=0)
  (1,5)    5            0   0.00000    -0.04626      DANGEROUS (min=0)
  (2,5)   10            0   0.00000    -0.01293      DANGEROUS (min=0)
  (3,5)   15        1/105   0.00952    -0.00181           safe (min>0)
  (4,5)   20         1/70   0.01429     0.00374           safe (min>0)
  (1,6)    6            0   0.00000    -0.03515      DANGEROUS (min=0)
  (1,7)    7         1/49   0.02041    -0.02721           safe (min>0)
  (2,7)   14         1/49   0.02041    -0.00340           safe (min>0)
  (1,8)    8         1/56   0.01786    -0.02126           safe (min>0)
  (1,9)    9         1/63   0.01587    -0.01663           safe (min>0)
  (2,9)   18         1/63   0.01587     0.00189           safe (min>0)
  (1,10)   10         1/70   0.01429    -0.01293           safe (min>0)
  (1,11)   11         1/77   0.01299    -0.00989           safe (min>0)
  (1,12)   12         1/84   0.01190    -0.00737           safe (min>0)
  (1,13)   13         1/91   0.01099    -0.00523           safe (min>0)
  (1,14)   14         1/49   0.02041    -0.00340           safe (min>0)
  (1,15)   15        2/105   0.01905    -0.00181           safe (min>0)
  (1,16)   16         1/56   0.01786    -0.00043           safe (min>0)
  (1,17)   17        2/119   0.01681     0.00080           safe (min>0)
  (1,18)   18         1/63   0.01587     0.00189           safe (min>0)
  (1,19)   19        2/133   0.01504     0.00286           safe (min>0)
  (1,20)   20         1/70   0.01429     0.00374           safe (min>0)

TRUE dangerous list (exact min = 0): [(1, 1), (1, 2), (1, 3), (2, 3), (1, 4), (3, 4), (1, 5), (2, 5), (1, 6)]
Fourier-suspect list was PQ <= 16; exact table verdict above.
