GENUINE high-scale near-dilated-AP (c*{1..12}, one elt +delta), min safe by scale:
     c  height     min safe  argmin (non-AP)
     1      12     0.003405  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13] M=1/12 [ok>=2/25]
     2      24     0.003405  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13] M=1/12 [ok>=2/25]
     3      36     0.003405  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13] M=1/12 [ok>=2/25]
     5      60     0.007647  [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 62] M=1/12 [ok>=2/25]
     8      96     0.007740  [4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 49] M=1/12 [ok>=2/25]
    13     156     0.008010  [13, 26, 39, 52, 65, 78, 91, 104, 117, 130, 143, 157] M=1/12 [ok>=2/25]
    21     252     0.007956  [21, 42, 63, 84, 105, 126, 147, 168, 189, 210, 231, 251] M=1/12 [ok>=2/25]
    34     408     0.008007  [34, 68, 102, 136, 170, 204, 238, 272, 306, 340, 374, 407] M=1/12 [ok>=2/25]

=> min safe vs scale: does it grow (=> height bound) or stay ~0 (=> subtle)?
