max_level=10000;threads=12;ordered_level_pairs=24989160;edge_orientation_checks=449804880;exception_checks=3998
PASS
edge_orientation=0;p=6000;q=10000;num=16128192000;den=1693436304002
edge_orientation=1;p=5555;q=9999;num=25562326488;den=1567682122778
edge_orientation=2;p=9;q=13;num=62304;den=3295491
edge_orientation=3;p=6000;q=10000;num=16129488000;den=1693433952003
edge_orientation=4;p=5555;q=9999;num=27476732052;den=1567681002892
edge_orientation=5;p=8;q=10;num=31068;den=2249860
edge_orientation=6;p=7498;q=9997;num=40421137488;den=2115591411870
edge_orientation=7;p=6;q=10;num=12180;den=1682358
edge_orientation=8;p=7;q=8;num=26220;den=1565100
edge_orientation=9;p=5554;q=9997;num=28266039780;den=1567069604700
edge_orientation=10;p=6000;q=10000;num=16128096000;den=1693433616006
edge_orientation=11;p=10;q=12;num=63936;den=3377478
edge_orientation=12;p=5555;q=9999;num=27579721752;den=1567679323064
edge_orientation=13;p=6000;q=10000;num=16225412760;den=1693431264008
edge_orientation=14;p=8000;q=10000;num=32256960000;den=2257908576012
edge_orientation=15;p=9;q=14;num=63552;den=3539100
edge_orientation=16;p=8000;q=10000;num=32258688000;den=2257900512024
edge_orientation=17;p=8;q=13;num=45024;den=2906424
