==============================================================================
S702: lower-half deletion ladder M(AP_n \ {a}), a < n/2
==============================================================================

--- n=4  (1/n=1/4, 2/n=2/4) ---
  a= 1: M=     2/5=0.40000  1/M=5/2  t=4/5  binders=[2, 3]

--- n=5  (1/n=1/5, 2/n=2/5) ---
  a= 1: M=     1/3=0.33333  1/M=3  t=1/6  binders=[2, 4]
  a= 2: M=     2/7=0.28571  1/M=7/2  t=4/7  binders=[3, 4]

--- n=6  (1/n=1/6, 2/n=2/6) ---
  a= 1: M=     2/7=0.28571  1/M=7/2  t=6/7  binders=[2, 5]
  a= 2: M=     2/9=0.22222  1/M=9/2  t=5/9  binders=[4, 5]

--- n=7  (1/n=1/7, 2/n=2/7) ---
  a= 1: M=     1/4=0.25000  1/M=4  t=1/8  binders=[2, 6]
  a= 2: M=     2/9=0.22222  1/M=9/2  t=5/9  binders=[4, 5]
  a= 3: M=     1/5=0.20000  1/M=5  t=7/10  binders=[4, 6]

--- n=8  (1/n=1/8, 2/n=2/8) ---
  a= 1: M=     2/9=0.22222  1/M=9/2  t=8/9  binders=[2, 7]
  a= 2: M=    2/11=0.18182  1/M=11/2  t=6/11  binders=[4, 7]
  a= 3: M=    2/11=0.18182  1/M=11/2  t=4/11  binders=[5, 6]

--- n=9  (1/n=1/9, 2/n=2/9) ---
  a= 1: M=     1/5=0.20000  1/M=5  t=1/10  binders=[2, 8]
  a= 2: M=    2/11=0.18182  1/M=11/2  t=5/11  binders=[4, 7]
  a= 3: M=    2/13=0.15385  1/M=13/2  t=4/13  binders=[6, 7]
  a= 4: M=    2/13=0.15385  1/M=13/2  t=3/13  binders=[5, 8]

--- n=10  (1/n=1/10, 2/n=2/10) ---
  a= 1: M=    2/11=0.18182  1/M=11/2  t=10/11  binders=[2, 9]
  a= 2: M=    2/13=0.15385  1/M=13/2  t=7/13  binders=[4, 9]
  a= 3: M=    2/13=0.15385  1/M=13/2  t=4/13  binders=[6, 7]
  a= 4: M=    2/15=0.13333  1/M=15/2  t=11/15  binders=[7, 8]

--- n=11  (1/n=1/11, 2/n=2/11) ---
  a= 1: M=     1/6=0.16667  1/M=6  t=11/12  binders=[2, 10]
  a= 2: M=    2/13=0.15385  1/M=13/2  t=7/13  binders=[4, 9]
  a= 3: M=     1/7=0.14286  1/M=7  t=5/14  binders=[6, 8]
  a= 4: M=    2/15=0.13333  1/M=15/2  t=11/15  binders=[7, 8]
  a= 5: M=     1/8=0.12500  1/M=8  t=3/16  binders=[6, 10]

--- n=12  (1/n=1/12, 2/n=2/12) ---
  a= 1: M=    2/13=0.15385  1/M=13/2  t=12/13  binders=[2, 11]
  a= 2: M=    2/15=0.13333  1/M=15/2  t=8/15  binders=[4, 11]
  a= 3: M=     1/8=0.12500  1/M=8  t=5/16  binders=[6, 10]
  a= 4: M=    2/17=0.11765  1/M=17/2  t=13/17  binders=[8, 9]
  a= 5: M=    2/17=0.11765  1/M=17/2  t=10/17  binders=[7, 10]

--- n=13  (1/n=1/13, 2/n=2/13) ---
  a= 1: M=     1/7=0.14286  1/M=7  t=13/14  binders=[2, 12]
  a= 2: M=    2/15=0.13333  1/M=15/2  t=8/15  binders=[4, 11]
