==============================================================================
Lemma A CORE: min nu(E) over primitive k-shapes by spread w (exact)
==============================================================================

--- k=8: nu_consec=691/735=0.94014, tail thr 1-cap=0.61854 ---
    w  : min_nu(spread=w)   (D=1-nu)   minimizer        >=consec? >=1-cap?
      7: 0.94014  (0.05986)  [0, 1, 2, 3, 4, 5, 6, 7]     yes     yes  <-- consec
      8: 1.00000  (0.00000)  [0, 1, 2, 3, 4, 5, 6, 8]     yes     yes
      9: 0.97188  (0.02812)  [0, 2, 3, 4, 5, 6, 7, 9]     yes     yes
     10: 0.97188  (0.02812)  [0, 1, 3, 4, 5, 6, 7, 10]    yes     yes
     11: 0.98054  (0.01946)  [0, 1, 2, 4, 5, 6, 7, 11]    yes     yes
     12: 0.97188  (0.02812)  [0, 2, 3, 5, 6, 7, 9, 12]    yes     yes
     13: 0.97395  (0.02605)  [0, 2, 4, 6, 7, 9, 11, 13]   yes     yes
     14: 0.97526  (0.02474)  [0, 1, 2, 3, 11, 12, 13, 14] yes     yes
     15: 0.97460  (0.02540)  [0, 3, 5, 6, 9, 10, 12, 15]  yes     yes
     16: 0.98901  (0.01099)  [0, 3, 5, 7, 9, 11, 13, 16]  yes     yes
     17: 0.97905  (0.02095)  [0, 5, 6, 7, 10, 11, 12, 17] yes     yes
     18: 0.97900  (0.02100)  [0, 3, 5, 6, 9, 12, 15, 18]  yes     yes
