support-3 depression vs Tmax (finer, {1,2,3,4,5}):
  Tmax= 1: s3=-0.015483  delta=-0.015483
  Tmax= 2: s3=-0.063789  delta=-0.048305
  Tmax= 3: s3=-0.108283  delta=-0.044495
  Tmax= 4: s3=-0.148820  delta=-0.040537
  Tmax= 5: s3=-0.167503  delta=-0.018683
  Tmax= 6: s3=-0.180176  delta=-0.012673
  Tmax= 7: s3=-0.180176  delta=+0.000000
  Tmax= 8: s3=-0.172819  delta=+0.007357
  Tmax= 9: s3=-0.163898  delta=+0.008921
  Tmax=10: s3=-0.157225  delta=+0.006673
  Tmax=11: s3=-0.150288  delta=+0.006937
  Tmax=12: s3=-0.147596  delta=+0.002692
  Tmax=13: s3=-0.146094  delta=+0.001502
  Tmax=14: s3=-0.146094  delta=+0.000000
  Tmax=15: s3=-0.146332  delta=-0.000238
  Tmax=16: s3=-0.147728  delta=-0.001396
  Tmax=17: s3=-0.148762  delta=-0.001033
  Tmax=18: s3=-0.150989  delta=-0.002227
  Tmax=19: s3=-0.151654  delta=-0.000665
  Tmax=20: s3=-0.152073  delta=-0.000419
