n=3: C(n,2)=T_{n-1}=3; 8*C(n,2)+1=25=(2n-1)^2=25; +2 gnomon(2n+1)=7
n=4: C(n,2)=T_{n-1}=6; 8*C(n,2)+1=49=(2n-1)^2=49; +2 gnomon(2n+1)=9
n=5: C(n,2)=T_{n-1}=10; 8*C(n,2)+1=81=(2n-1)^2=81; +2 gnomon(2n+1)=11
n=6: C(n,2)=T_{n-1}=15; 8*C(n,2)+1=121=(2n-1)^2=121; +2 gnomon(2n+1)=13
n=7: C(n,2)=T_{n-1}=21; 8*C(n,2)+1=169=(2n-1)^2=169; +2 gnomon(2n+1)=15
n=8: C(n,2)=T_{n-1}=28; 8*C(n,2)+1=225=(2n-1)^2=225; +2 gnomon(2n+1)=17
n=9: C(n,2)=T_{n-1}=36; 8*C(n,2)+1=289=(2n-1)^2=289; +2 gnomon(2n+1)=19
n=10: C(n,2)=T_{n-1}=45; 8*C(n,2)+1=361=(2n-1)^2=361; +2 gnomon(2n+1)=21
n=11: C(n,2)=T_{n-1}=55; 8*C(n,2)+1=441=(2n-1)^2=441; +2 gnomon(2n+1)=23
n=12: C(n,2)=T_{n-1}=66; 8*C(n,2)+1=529=(2n-1)^2=529; +2 gnomon(2n+1)=25
n=13: C(n,2)=T_{n-1}=78; 8*C(n,2)+1=625=(2n-1)^2=625; +2 gnomon(2n+1)=27
n=14: C(n,2)=T_{n-1}=91; 8*C(n,2)+1=729=(2n-1)^2=729; +2 gnomon(2n+1)=-
n=15: C(n,2)=T_{n-1}=105; 8*C(n,2)+1=841=(2n-1)^2=841; +2 gnomon(2n+1)=-
