D	u	v	xA	xC	xB	dA	dC	dB	first_M1_layer	J3,J4,J5,J6,J7,J8	eta
4483414	5d538e	415679a	1acc7	baa7	7d1ce	10850a	89068	50a14	5	0,0,1,0,-1,0	1
18e4e8a	8a8388	104cd02	4d0c4	11507	921c8	ccb85	31c9d	9974a	6	0,0,0,-1,1,1	-1
4c41818	d95608	41d4e10	5ad84	1b2ac	f5308	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	e8d608	42cce10	69d84	1d1ac	d3308	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	e8d68a	42cce92	69d85	1d1ad	d334a	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	e8d708	42ccf10	69dc4	1d1ae	d3388	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	e8d78a	42ccf92	69dc5	1d1af	d33ca	14060c	98830	c8418	5	0,0,1,-1,0,0	1
5c67a9e	14cdc06	48aa698	89f03	299b8	5b606	1c4e8f	b8cf5	c9d5e	5	0,0,1,1,-2,-1	1
4c41818	1db1508	51f0d10	de544	3b62a	f4288	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	1db760c	51f6e14	ded86	3b6ec	f5b0c	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	1db768e	51f6e96	ded87	3b6ed	f5b4e	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	1db770c	51f6f14	dedc6	3b6ee	f5b8c	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4c41818	1db778e	51f6f96	dedc7	3b6ef	f5bce	14060c	98830	c8418	5	0,0,1,-1,0,0	1
5df5e18	1e15408	43e0a10	e2d04	3c2a8	c5208	1def8c	bbebc	fd718	5	0,0,1,-1,-1,1	1
5df5e18	1e15508	43e0b10	e2d44	3c2aa	c5288	1def8c	bbebc	fd718	5	0,0,1,-1,-1,1	1
4c41818	1ea5608	52e4e10	ecd84	3d4ac	d1308	14060c	98830	c8418	5	0,0,1,-1,0,0	1
4483414	1ea5a04	5a26e10	ece82	3d4b4	d1504	10850a	89068	50a14	5	0,0,1,0,-1,0	1
4c41818	2d1f22c	615ea34	53c96	5a3e4	1e792c	14060c	98830	c8418	5	0,0,1,-1,0,0	1
