a	b	c	denominator	E0_numerator	E1_numerator	E2_numerator	mass_numerator	raw_carriers
1	2	4	336	0	0	0	0	0
1	2	5	420	0	0	0	0	0
1	2	7	588	0	0	0	0	0
1	2	8	672	0	0	0	0	0
1	2	10	840	0	0	0	0	0
1	2	11	924	0	0	0	0	0
1	2	13	1092	0	0	0	0	0
1	2	14	1176	0	0	0	0	0
1	2	16	1344	0	0	0	0	0
1	2	17	1428	0	0	0	0	0
1	2	19	1596	0	0	0	0	0
1	2	20	1680	0	0	0	0	0
1	2	22	1848	0	0	0	0	0
1	2	23	1932	0	0	0	0	0
1	2	25	2100	0	0	0	0	0
1	2	26	2184	0	0	0	0	0
1	2	28	2352	0	0	0	0	0
1	2	29	2436	0	0	0	0	0
1	2	31	2604	0	0	0	0	0
1	2	32	2688	0	0	0	0	0
1	2	34	2856	0	0	0	0	0
1	2	35	2940	0	0	0	0	0
1	2	37	3108	0	0	0	0	0
1	2	38	3192	0	0	0	0	0
1	2	40	3360	0	0	0	0	0
1	2	41	3444	0	0	0	0	0
1	2	43	3612	0	0	0	0	0
1	2	44	3696	0	0	0	0	0
1	2	46	3864	0	0	0	0	0
1	2	47	3948	0	0	0	0	0
1	2	49	4116	0	0	0	0	0
1	2	50	4200	0	0	0	0	0
1	2	52	4368	0	0	0	0	0
1	2	53	4452	0	0	0	0	0
1	2	55	4620	0	0	0	0	0
1	2	56	4704	0	0	0	0	0
1	2	58	4872	0	0	0	0	0
1	2	59	4956	0	0	0	0	0
1	2	61	5124	0	0	0	0	0
1	2	62	5208	0	0	0	0	0
1	4	5	840	78	96	30	30	2
1	4	7	1176	0	0	0	0	0
1	4	8	1344	0	0	0	0	0
1	4	10	1680	84	120	60	60	2
1	4	11	1848	0	0	0	0	0
1	4	13	2184	0	0	0	0	0
1	4	14	2352	0	0	0	0	0
1	4	16	2688	0	0	0	0	0
1	4	17	2856	0	0	0	0	0
1	4	19	3192	0	0	0	0	0
1	4	20	3360	96	144	120	96	2
1	4	22	3696	0	0	0	0	0
1	4	23	3864	0	0	0	0	0
1	4	25	4200	102	144	144	102	2
1	4	26	4368	0	0	0	0	0
1	4	28	4704	0	0	0	0	0
1	4	29	4872	0	0	0	0	0
1	4	31	5208	0	0	0	0	0
1	4	32	5376	144	24	144	24	2
1	4	34	5712	0	0	0	0	0
1	4	35	5880	114	144	144	114	2
1	4	37	6216	144	48	144	48	2
1	4	38	6384	0	0	0	0	0
1	4	40	6720	120	144	144	120	2
1	4	41	6888	0	0	0	0	0
1	4	43	7224	0	0	0	0	0
1	4	44	7392	0	0	0	0	0
1	4	46	7728	0	0	0	0	0
1	4	47	7896	144	96	144	96	2
1	4	49	8232	0	0	0	0	0
1	4	50	8400	132	144	144	132	2
1	4	52	8736	144	120	144	120	2
1	4	53	8904	0	0	0	0	0
1	4	55	9240	138	144	144	138	2
1	4	56	9408	0	0	0	0	0
1	4	58	9744	0	0	0	0	0
1	4	59	9912	0	0	0	0	0
1	4	61	10248	0	0	0	0	0
1	4	62	10416	144	144	144	144	2
1	5	7	1470	48	180	168	48	2
1	5	8	1680	0	0	0	0	0
1	5	10	2100	0	0	0	0	0
1	5	11	2310	180	180	180	180	2
1	5	13	2730	0	0	0	0	0
1	5	14	2940	6	180	180	6	2
