P_19 (m=9), d=9
QR = [1, 4, 5, 6, 7, 9, 11, 16, 17]
Streaming Gaussian elimination mod 997

Ω_8 = 331958, R_8 = 63618, R_9 = 268340
  100000 reps, rank=100000, junk_orbits=289776, 7.4s (13483 reps/s)
  200000 reps, rank=200000, junk_orbits=489080, 14.0s (14280 reps/s)
  300000 reps, rank=300000, junk_orbits=691973, 21.0s (14267 reps/s)
  400000 reps, rank=400000, junk_orbits=945835, 28.8s (13892 reps/s)
  500000 reps, rank=500000, junk_orbits=1227600, 37.9s (13202 reps/s)
  600000 reps, rank=600000, junk_orbits=1461576, 46.4s (12944 reps/s)
  700000 reps, rank=688829, junk_orbits=1600095, 53.7s (13029 reps/s)
  800000 reps, rank=784526, junk_orbits=1730506, 61.2s (13070 reps/s)
  900000 reps, rank=861834, junk_orbits=1832473, 69.3s (12995 reps/s)
  1000000 reps, rank=954574, junk_orbits=1939137, 77.2s (12957 reps/s)
  1100000 reps, rank=1037687, junk_orbits=2074797, 87.2s (12611 reps/s)
  1200000 reps, rank=1136039, junk_orbits=2243984, 100.4s (11947 reps/s)
  1300000 reps, rank=1210263, junk_orbits=2332813, 115.1s (11299 reps/s)
  1400000 reps, rank=1299838, junk_orbits=2448925, 121.4s (11536 reps/s)
  1500000 reps, rank=1376859, junk_orbits=2558236, 129.4s (11593 reps/s)
  1600000 reps, rank=1456061, junk_orbits=2658806, 144.5s (11070 reps/s)
  1700000 reps, rank=1530832, junk_orbits=2755416, 152.9s (11119 reps/s)
  1800000 reps, rank=1630832, junk_orbits=2908020, 163.1s (11038 reps/s)
  1900000 reps, rank=1700257, junk_orbits=2995508, 175.5s (10826 reps/s)
  2000000 reps, rank=1781848, junk_orbits=3107734, 193.9s (10317 reps/s)
  2100000 reps, rank=1873822, junk_orbits=3256148, 204.7s (10261 reps/s)
  2200000 reps, rank=1954201, junk_orbits=3367808, 221.8s (9920 reps/s)
  2300000 reps, rank=2027628, junk_orbits=3467186, 236.7s (9719 reps/s)
  2400000 reps, rank=2111092, junk_orbits=3580231, 251.8s (9531 reps/s)
  2500000 reps, rank=2189579, junk_orbits=3692593, 269.3s (9282 reps/s)
  2600000 reps, rank=2255829, junk_orbits=3775493, 279.4s (9306 reps/s)
  2700000 reps, rank=2331413, junk_orbits=3880037, 296.7s (9100 reps/s)
  2800000 reps, rank=2399443, junk_orbits=3979040, 311.5s (8989 reps/s)
  2900000 reps, rank=2492641, junk_orbits=4146573, 336.5s (8619 reps/s)
  3000000 reps, rank=2581747, junk_orbits=4293980, 371.3s (8079 reps/s)
  3100000 reps, rank=2674062, junk_orbits=4452661, 407.1s (7614 reps/s)
  3200000 reps, rank=2760894, junk_orbits=4582153, 457.5s (6995 reps/s)
  3300000 reps, rank=2837098, junk_orbits=4688689, 506.0s (6522 reps/s)
  3400000 reps, rank=2917618, junk_orbits=4802498, 582.0s (5842 reps/s)
  3500000 reps, rank=3003486, junk_orbits=4937727, 659.6s (5307 reps/s)
  3600000 reps, rank=3089808, junk_orbits=5074787, 738.4s (4875 reps/s)
  3700000 reps, rank=3171301, junk_orbits=5192350, 834.4s (4434 reps/s)
  3800000 reps, rank=3245154, junk_orbits=5289501, 947.0s (4013 reps/s)
