 x1    x2     g   Y(res)   err          err*Y
  543   1513   1      5   0.000174      0.001
  857    567   1     13   0.000964      0.013
  678   1536   6      6   0.000427      0.003
  785   1581   1     11   0.004304      0.047
  894    434   2      8   0.000006      0.000
  313   1260   1      1   0.000295      0.000
  565   1428   1      5   0.000009      0.000
  539    692   1      7   0.000162      0.001
  781   1407   1      6   0.000014      0.000
  862   1275   1      2   0.000736      0.001
  706   1608   2      2   0.000015      0.000
  454    774   2      6   0.000278      0.002
  455   1371   1      6   0.002367      0.014
  699   1818   3      3   0.000008      0.000
  500   6001   1      1   0.000463      0.000
  500   6013   1      6   0.000086      0.001
  700   8397   1      3   0.000717      0.002
  611    613   1      2   0.008202      0.016
  400    407   1      1   0.008386      0.008

max err*Y over sample: 0.047  (conjectured sharp law err <= c/Y, c ~ 0.05)
budget per tree edge for phi* = 17/546 with muE >= 3/13: 0.000599 => need Y >= 79
