==================================================================================
COVERING regime-C families: near={8,9,10,11,12,13} (cover 8-13) + far={w1..w1+6} (14|w1 covers 14)
==================================================================================
    w1 covering?    M(scan)  >=1/14?  smallest lonely q     a q vs 183?
    23      True    0.27765     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    24      True    0.29720     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    25      True    0.31555     True                 17     1 q=17 (183=3*61; q%61=17, q%183=17, q%7=3)
    26      True    0.33310     True                 17     1 q=17 (183=3*61; q%61=17, q%183=17, q%7=3)
    27      True    0.35000     True                 18     1 q=18 (183=3*61; q%61=18, q%183=18, q%7=4)
    28      True    0.35440     True                 18     1 q=18 (183=3*61; q%61=18, q%183=18, q%7=4)
    36      True    0.32000     True                 15     1 q=15 (183=3*61; q%61=15, q%183=15, q%7=1)
    37      True    0.31360     True                 15     1 q=15 (183=3*61; q%61=15, q%183=15, q%7=1)
    38      True    0.30760     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    39      True    0.30160     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    40      True    0.29600     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    41      True    0.29080     True                 17     1 q=17 (183=3*61; q%61=17, q%183=17, q%7=3)
    42      True    0.29085     True                 17     1 q=17 (183=3*61; q%61=17, q%183=17, q%7=3)
    50      True    0.35750     True                 15     1 q=15 (183=3*61; q%61=15, q%183=15, q%7=1)
    51      True    0.36090     True                 15     1 q=15 (183=3*61; q%61=15, q%183=15, q%7=1)
    52      True    0.36340     True                 15     1 q=15 (183=3*61; q%61=15, q%183=15, q%7=1)
    53      True    0.35800     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    54      True    0.35280     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    55      True    0.34760     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)
    56      True    0.34280     True                 16     1 q=16 (183=3*61; q%61=16, q%183=16, q%7=2)

# covering regime-C families found (w1 in 23..599): 290
# smallest-lonely-q distribution: min=15, max=20, all<=183? True
# families needing q>14 (genuinely past the sieve): 290 -> [(23, 16), (24, 16), (25, 17), (26, 17), (27, 18), (28, 18), (36, 15), (37, 15), (38, 16), (39, 16), (40, 16), (41, 17), (42, 17), (50, 15), (51, 15)]
