======================================================================
SC MAXIMIZER — FIXED COMPLEMENTARY PAIR ANALYSIS (n=6)
======================================================================

  Total regular n=6 tournaments: 2640

  H=41: 720 tournaments
    Has invol anti-aut: 720/720
    comp_both (complement pairs both cyclic): {2: 720}
    alpha_2 (from full I.P.): {2: 720}
    Full IP: {(1, 16, 2): 720}

  H=43: 1440 tournaments
    Has invol anti-aut: 0/1440
    comp_both (complement pairs both cyclic): {1: 1440}
    alpha_2 (from full I.P.): {1: 1440}
    Full IP: {(1, 19, 1): 1440}

  H=45: 480 tournaments
    Has invol anti-aut: 480/480
    comp_both (complement pairs both cyclic): {1: 240, 4: 240}
    alpha_2 (from full I.P.): {1: 240, 4: 240}
    Full IP: {(1, 14, 4): 240, (1, 20, 1): 240}

  ===== THEOREM STRUCTURE =====
  comp_both -> alpha_2 -> H mapping:
  comp_both=1: 1680 tours, H={43: 1440, 45: 240}, alpha_2={1: 1680}, anti_aut=240/1680
  comp_both=2: 720 tours, H={41: 720}, alpha_2={2: 720}, anti_aut=720/720
  comp_both=4: 240 tours, H={45: 240}, alpha_2={4: 240}, anti_aut=240/240

  Does comp_both determine alpha_2?
  bits=280: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=284: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=344: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=345: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=401: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=404: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=405: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=408: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=409: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=412: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=465: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=473: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=792: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=794: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
